,atletas.clube.id.full.name,atletas.nome,atletas.pontos_num,atletas.apelido_abreviado,atletas.status_id,atletas.minimo_para_valorizar,atletas.media_num,atletas.clube_id,atletas.atleta_id,atletas.posicao_id,atletas.entrou_em_campo,atletas.foto,atletas.rodada_id,atletas.jogos_num,atletas.preco_num,atletas.apelido,atletas.slug,atletas.variacao_num,DS,FC,FF,FS,SG,FT,G,I,A,CA,FD,DE,CV,GS,PP,PS,PC,V,DP,GC
0,Vitória,Leonardo Rodrigues Condé,2.74,L. Condé,7,,3.04,287,37457,6,True,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_kxDsG3A.png,5,4,4.44,Léo Condé,leo-conde,0.13,,,,,,,,,,,,,,,,,,,,
1,Fluminense,Fábio Deivson Lopes Maciel,3.0,Fábio,7,,2.75,266,37656,1,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,5,4,9.48,Fábio,fabio,-0.53,,,,,,,,,,,,19.0,,8.0,,,,,,
2,São Paulo,Márcio Rafael Ferreira de Souza,0.0,Rafinha,6,,0.0,276,38144,2,False,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,5,0,7.0,Rafinha,rafinha,0.0,,,,,,,,,,,,,,,,,,,,
3,Athlético-PR,Thiago Heleno Henrique Ferreira,0.0,T. Heleno,5,,3.67,293,38394,3,False,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,5,3,6.53,Thiago Heleno,thiago-heleno,0.0,2.0,3.0,,1.0,2.0,,,,,1.0,,,,,,,,,,
4,Fluminense,Renato Soares de Oliveira Augusto,9.2,R. Augusto,7,,4.95,266,38398,4,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,5,2,7.78,Renato Augusto,renato-augusto,1.78,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,
5,Fluminense,Marcelo Vieira da Silva Júnior,7.1,Marcelo,7,,6.63,266,38402,2,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,5,4,11.22,Marcelo,marcelo,0.53,12.0,4.0,2.0,5.0,,1.0,,,1.0,,1.0,,,,,,,,,
6,Fluminense,Felipe Melo de Carvalho,-0.1,F. Melo,7,,1.57,266,38545,3,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,5,4,4.46,Felipe Melo,felipe-melo,-0.75,6.0,4.0,1.0,3.0,,,,,,2.0,,,,,,,,,,
7,Atlético-MG,Mariano Ferreira Filho,0.0,Mariano,6,,0.0,282,38877,2,False,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,5,0,6.0,Mariano,mariano,0.0,,,,,,,,,,,,,,,,,,,,
8,Juventude,Anderson Luis de Carvalho - Luiz,0.0,Nenê,7,,1.5,286,38913,4,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,5,4,3.95,Nenê,nene,0.0,2.0,2.0,1.0,5.0,,,,3.0,,,1.0,,,,,,,,,
9,Atlético-GO,Vagner Silva de Souza,0.0,V. Love,6,,3.4,373,38959,5,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_BmOmgCS.png,5,1,5.1,Vagner Love,vagner-love,0.0,1.0,,,2.0,,,,,,1.0,1.0,,,,,,,,,
10,Atlético-MG,Givanildo Vieira de Souza,1.6,Hulk,7,,3.85,282,39148,5,True,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,5,4,14.21,Hulk,hulk,-1.56,1.0,5.0,2.0,11.0,,,,4.0,2.0,1.0,,,,,,,,,,
11,Atlético-MG,Alan Steven Franco Palma,2.3,A. Franco,7,,1.5,282,39656,4,True,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,5,5,3.68,Alan Franco,alan-franco,0.16,8.0,8.0,1.0,3.0,,,,,,2.0,,,,,,,,,,
12,Grêmio,Renato Portaluppi,0.0,R. Gaúcho,7,,5.0,284,41929,6,False,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,5,4,9.28,Renato Gaúcho,renato-gaucho,0.0,,,,,,,,,,,,,,,,,,2.0,,
13,Vitória,Osvaldo Lourenço Filho,1.9,Osvaldo,7,,1.88,287,42222,5,True,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,5,4,4.96,Osvaldo,osvaldo,-0.16,2.0,3.0,,5.0,,,,1.0,,,3.0,,,,,,,,,
14,Corinthians,Cássio Roberto Ramos,0.0,Cássio,6,,4.33,264,42234,1,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ma7sU2r.png,5,3,11.4,Cássio,cassio,0.0,,,,,1.0,,,,,,,11.0,,3.0,,,,,,
15,Athlético-PR,Alexi Stival,9.87,Cuca,7,,6.57,293,42411,6,True,https://s.sde.globo.com/media/person_role/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,5,5,11.59,Cuca,cuca,0.87,,,,,,,,,,,,,,,,,,3.0,,
16,Corinthians,Fagner Conserva Lemos,6.7,Fagner,7,,5.57,264,42500,2,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,5,4,8.11,Fagner,fagner,0.32,3.0,,,1.0,3.0,1.0,,,,1.0,1.0,,,,,,,,,
17,Flamengo,Adenor Leonardo Bachi,4.39,Tite,7,,4.35,262,45125,6,True,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,5,5,9.69,Tite,tite,-0.21,,,,,,,,,,,,,,,,,,2.0,,
18,Atlético-MG,Alan Kardec de Sousa Pereira Júnior,0.0,A. Kardec,6,,0.0,282,50347,5,False,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,5,1,4.11,Alan Kardec,alan-kardec,0.0,,,,,,,,,,,,,,,,,,,,
