,atletas.rodada_id,atletas.slug,atletas.clube_id,atletas.status_id,atletas.apelido_abreviado,atletas.apelido,atletas.foto,atletas.entrou_em_campo,atletas.preco_num,atletas.minimo_para_valorizar,atletas.media_num,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.clube.id.full.name,atletas.posicao_id,atletas.atleta_id,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,DE,GS,DP,PC,PS,PP,V,GC,CV
0,6,leo-conde,287,7,L. Condé,Léo Condé,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_kxDsG3A.png,True,4.54,,3.1,0.1,Leonardo Rodrigues Condé,5,Vitória,6,37457,3.35,,,,,,,,,,,,,,,,,,,,
1,6,fabio,266,7,Fábio,Fábio,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,True,9.24,,3.0,-0.24,Fábio Deivson Lopes Maciel,5,Fluminense,1,37656,4.0,,,,,,,,,,,,25.0,10.0,,,,,,,
2,6,rafinha,276,6,Rafinha,Rafinha,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,False,7.0,,0.0,0.0,Márcio Rafael Ferreira de Souza,0,São Paulo,2,38144,0.0,,,,,,,,,,,,,,,,,,,,
3,6,thiago-heleno,293,5,T. Heleno,Thiago Heleno,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,False,6.53,,3.67,0.0,Thiago Heleno Henrique Ferreira,3,Athlético-PR,3,38394,0.0,,1.0,2.0,3.0,,,1.0,,,2.0,,,,,,,,,,
4,6,renato-augusto,266,6,R. Augusto,Renato Augusto,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,False,7.78,,4.95,0.0,Renato Soares de Oliveira Augusto,2,Fluminense,4,38398,0.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,
5,6,marcelo,266,6,Marcelo,Marcelo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,True,10.22,,5.9,-1.0,Marcelo Vieira da Silva Júnior,5,Fluminense,2,38402,3.0,1.0,,12.0,4.0,1.0,2.0,5.0,,,,2.0,,,,,,,,,
6,6,felipe-melo,266,6,F. Melo,Felipe Melo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,False,4.46,,1.57,0.0,Felipe Melo de Carvalho,4,Fluminense,3,38545,0.0,,2.0,6.0,4.0,,1.0,3.0,,,,,,,,,,,,,
7,6,mariano,282,6,Mariano,Mariano,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,False,6.0,,0.0,0.0,Mariano Ferreira Filho,0,Atlético-MG,2,38877,0.0,,,,,,,,,,,,,,,,,,,,
8,6,nene,286,6,Nenê,Nenê,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,False,3.95,,1.5,0.0,Anderson Luis de Carvalho - Luiz,4,Juventude,4,38913,0.0,,,2.0,2.0,1.0,1.0,5.0,,3.0,,,,,,,,,,,
9,6,vagner-love,373,6,V. Love,Vagner Love,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_BmOmgCS.png,True,4.76,,1.7,-0.34,Vagner Silva de Souza,2,Atlético-GO,5,38959,0.0,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,
10,6,hulk,282,6,Hulk,Hulk,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,False,14.21,,3.85,0.0,Givanildo Vieira de Souza,4,Atlético-MG,5,39148,0.0,2.0,1.0,1.0,5.0,,2.0,11.0,,4.0,,,,,,,,,,,
11,6,alan-franco,282,6,A. Franco,Alan Franco,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,False,3.68,,1.5,0.0,Alan Steven Franco Palma,5,Atlético-MG,4,39656,0.0,,2.0,8.0,8.0,,1.0,3.0,,,,,,,,,,,,,
12,6,renato-gaucho,284,6,R. Gaúcho,Renato Gaúcho,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,False,9.28,,5.0,0.0,Renato Portaluppi,4,Grêmio,6,41929,0.0,,,,,,,,,,,,,,,,,,2.0,,
13,6,osvaldo,287,6,Osvaldo,Osvaldo,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,False,4.96,,1.88,0.0,Osvaldo Lourenço Filho,4,Vitória,5,42222,0.0,,,2.0,3.0,3.0,,5.0,,1.0,,,,,,,,,,,
14,6,cassio,264,6,Cássio,Cássio,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ma7sU2r.png,False,11.4,,4.33,0.0,Cássio Roberto Ramos,3,Corinthians,1,42234,0.0,,,,,,,,,,1.0,,11.0,3.0,,,,,,,
15,6,cuca,293,7,Cuca,Cuca,https://s.sde.globo.com/media/person_role/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,True,11.57,,6.68,-0.02,Alexi Stival,6,Athlético-PR,6,42411,7.25,,,,,,,,,,,,,,,,,,4.0,,
16,6,fagner,264,7,Fagner,Fagner,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,True,6.97,,4.64,-1.14,Fagner Conserva Lemos,5,Corinthians,2,42500,0.9,,1.0,4.0,1.0,1.0,,1.0,,,3.0,1.0,,,,,,,,,
17,6,tite,262,7,Tite,Tite,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,True,11.07,,5.38,1.38,Adenor Leonardo Bachi,6,Flamengo,6,45125,10.51,,,,,,,,,,,,,,,,,,3.0,,
18,6,alan-kardec,282,6,A. Kardec,Alan Kardec,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,False,4.11,,0.0,0.0,Alan Kardec de Sousa Pereira Júnior,1,Atlético-MG,5,50347,0.0,,,,,,,,,,,,,,,,,,,,
19,6,titi,356,7,Titi,Titi,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,True,3.54,,1.84,-1.22,Christian Chagas Tarouco,5,Fortaleza,3,50353,-1.4,,1.0,4.0,9.0,,2.0,3.0,,,1.0,,,,,,,,,,
20,6,walter,1371,6,Walter,Walter,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,False,3.82,,1.25,0.0,Walter Leandro Capeloza Artune,4,Cuiabá,1,51413,0.0,,,,,,,,,,,,15.0,10.0,,,,,,,
21,6,everton-ribeiro,265,7,E. Ribeiro,Everton Ribeiro,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,True,9.72,,5.2,-0.25,Everton Augusto de Barros Ribeiro,5,Bahia,4,51772,4.6,1.0,1.0,13.0,5.0,2.0,2.0,8.0,,1.0,,,,,,,,,,,
22,6,fernando,285,6,Fernando,Fernando,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,False,8.3,,5.1,0.0,Fernando Francisco Reges,2,Internacional,4,52271,0.0,,1.0,3.0,3.0,,,1.0,1.0,,,,,,,,,,,,
23,6,david-luiz,262,6,D. Luiz,David Luiz,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,False,6.0,,0.0,0.0,David Luiz Moreira Marinho,0,Flamengo,3,52827,0.0,,,,,,,,,,,,,,,,,,,,
24,6,leo-gamalho,287,6,L. Gamalho,Léo Gamalho,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,False,4.11,,0.0,0.0,Leonardo Gamalho de Souza,1,Vitória,5,53865,0.0,,,,,,,,,,,,,,,,,,,,
25,6,renan,286,5,Renan,Renan,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,False,4.0,,0.0,0.0,Renan dos Santos,0,Juventude,1,60795,0.0,,,,,,,,,,,,,,,,,,,,
