,atletas.atleta_id,atletas.clube.id.full.name,atletas.foto,atletas.variacao_num,atletas.apelido,atletas.apelido_abreviado,atletas.media_num,atletas.jogos_num,atletas.entrou_em_campo,atletas.clube_id,atletas.nome,atletas.rodada_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.status_id,atletas.posicao_id,atletas.slug,atletas.pontos_num,DE,GS,A,CA,DS,FC,FD,FF,FS,G,I,SG,DP,PC,FT,PP,PS,CV,V,GC
0,37656,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,-0.77,Fábio,Fábio,2.67,6,True,266,Fábio Deivson Lopes Maciel,7,8.47,,7,1,fabio,1.0,27.0,11.0,,,,,,,,,,,,,,,,,,
1,38144,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,0.0,Rafinha,Rafinha,0.0,0,False,276,Márcio Rafael Ferreira de Souza,7,7.0,,6,2,rafinha,0.0,,,,,,,,,,,,,,,,,,,,
2,38394,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,-0.96,Thiago Heleno,T. Heleno,2.65,4,True,293,Thiago Heleno Henrique Ferreira,7,5.57,,7,3,thiago-heleno,-0.4,,,,1.0,2.0,6.0,,,2.0,,,2.0,,,,,,,,
3,38398,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,-0.69,Renato Augusto,R. Augusto,3.93,3,True,266,Renato Soares de Oliveira Augusto,7,7.09,,6,4,renato-augusto,1.9,,,,,2.0,,,2.0,,1.0,2.0,,,,,,,,,
4,38402,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,1.35,Marcelo,Marcelo,6.7,6,True,266,Marcelo Vieira da Silva Júnior,7,11.57,,7,2,marcelo,10.7,,,1.0,,13.0,6.0,1.0,4.0,6.0,1.0,,,,,2.0,,,,,
5,38545,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,-0.46,Felipe Melo,F. Melo,1.26,5,True,266,Felipe Melo de Carvalho,7,4.0,,7,3,felipe-melo,0.0,,,,2.0,6.0,4.0,,1.0,3.0,,,,,,,,,,,
6,38877,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,0.0,Mariano,Mariano,0.0,0,False,282,Mariano Ferreira Filho,7,6.0,,2,2,mariano,0.0,,,,,,,,,,,,,,,,,,,,
7,38913,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,0.42,Nenê,Nenê,2.0,5,True,286,Anderson Luis de Carvalho - Luiz,7,4.37,,7,4,nene,4.0,,,,,2.0,2.0,1.0,1.0,7.0,,3.0,,,,1.0,,,,,
8,38959,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_BmOmgCS.png,1.6,Vagner Love,V. Love,3.87,3,True,373,Vagner Silva de Souza,7,6.36,,7,5,vagner-love,8.2,,,,1.0,1.0,1.0,1.0,,3.0,1.0,,,,,,,,,,
9,39148,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,1.04,Hulk,Hulk,5.32,5,True,282,Givanildo Vieira de Souza,7,15.25,,7,5,hulk,11.2,,,2.0,1.0,1.0,5.0,,5.0,13.0,1.0,6.0,,,,,,,,,
10,39656,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,-0.67,Alan Franco,A. Franco,1.02,6,True,282,Alan Steven Franco Palma,7,3.01,,3,4,alan-franco,-1.4,,,,3.0,8.0,11.0,,1.0,4.0,,,,,,,,,,,
11,41929,Grêmio,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,-0.47,Renato Gaúcho,R. Gaúcho,4.4,5,True,284,Renato Portaluppi,7,8.81,,7,6,renato-gaucho,2.02,,,,,,,,,,,,,,,,,,,2.0,
12,42222,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,0.0,Osvaldo,Osvaldo,1.88,4,False,287,Osvaldo Lourenço Filho,7,4.96,,2,5,osvaldo,0.0,,,,,2.0,3.0,3.0,,5.0,,1.0,,,,,,,,,
13,42234,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,0.0,Cássio,Cássio,4.33,3,False,283,Cássio Roberto Ramos,7,11.4,,6,1,cassio,0.0,11.0,3.0,,,,,,,,,,1.0,,,,,,,,
14,42411,Athlético-PR,https://s.sde.globo.com/media/person_role/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,-1.08,Cuca,Cuca,5.95,7,True,293,Alexi Stival,7,10.49,,7,6,cuca,1.58,,,,,,,,,,,,,,,,,,,4.0,
15,42500,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,0.0,Fagner,Fagner,4.64,5,False,264,Fagner Conserva Lemos,7,6.97,,5,2,fagner,0.0,,,,1.0,4.0,1.0,1.0,,1.0,,,3.0,,,1.0,,,,,
16,45125,Flamengo,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,0.54,Tite,Tite,6.22,7,True,262,Adenor Leonardo Bachi,7,11.61,,7,6,tite,11.25,,,,,,,,,,,,,,,,,,,4.0,
17,50347,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,-0.16,Alan Kardec,A. Kardec,0.25,2,True,282,Alan Kardec de Sousa Pereira Júnior,7,3.95,,6,5,alan-kardec,0.5,,,,,,,,,1.0,,,,,,,,,,,
18,50353,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,0.0,Titi,Titi,1.84,5,False,356,Christian Chagas Tarouco,7,3.54,,7,3,titi,0.0,,,,1.0,4.0,9.0,,2.0,3.0,,,1.0,,,,,,,,
19,51413,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,-0.53,Walter,Walter,1.0,5,True,1371,Walter Leandro Capeloza Artune,7,3.29,,7,1,walter,0.0,16.0,11.0,,,,,,,,,,,,,,,,,,
20,51772,Bahia,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,-0.78,Everton Ribeiro,E. Ribeiro,4.57,6,True,265,Everton Augusto de Barros Ribeiro,7,8.94,,7,4,everton-ribeiro,1.4,,,1.0,1.0,14.0,6.0,2.0,2.0,9.0,,1.0,,,,,,,,,
21,52271,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,-1.13,Fernando,Fernando,3.57,3,True,285,Fernando Francisco Reges,7,7.17,,7,4,fernando,0.5,,,,1.0,3.0,3.0,,,2.0,1.0,,,,,,,,,,
22,52827,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,2.24,David Luiz,D. Luiz,7.4,1,True,262,David Luiz Moreira Marinho,7,8.24,,6,3,david-luiz,7.4,,,,,,2.0,,,,1.0,,,,,,,,,,
23,53865,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,0.0,Léo Gamalho,L. Gamalho,0.0,1,False,287,Leonardo Gamalho de Souza,7,4.11,,6,5,leo-gamalho,0.0,,,,,,,,,,,,,,,,,,,,
24,60795,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,0.0,Renan,Renan,0.0,0,False,286,Renan dos Santos,7,4.0,,5,1,renan,0.0,,,,,,,,,,,,,,,,,,,,
25,61106,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,0.0,Cicinho,Cicinho,0.0,0,False,265,Neuciano de Jesus Gusmão,7,4.0,,6,2,cicinho,0.0,,,,,,,,,,,,,,,,,,,,
26,61188,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,-0.5,Gilberto,Gilberto,0.25,2,True,286,Gilberto Oliveira Souza Júnior,7,4.72,,6,5,gilberto,-0.3,,,,,,1.0,,1.0,,,,,,,,,,,,
27,61228,Internacional,https://s.sde.globo.com/media/person_role/2024/04/08/photo_220x220_ck7S2ST.png,0.0,Fabrício,Fabrício,0.0,0,False,285,Fabrício Barros Santana,7,2.0,,7,1,fabricio,0.0,,,,,,,,,,,,,,,,,,,,
28,62020,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,0.0,Douglas Costa,D. Costa,1.9,4,False,266,Douglas Costa de Souza,7,5.33,,6,5,douglas-costa,0.0,,,,,4.0,2.0,2.0,,2.0,,,,,,,,,,,
29,62977,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,-1.36,Ganso,Ganso,3.72,5,True,266,Paulo Henrique Chagas de Lima,7,7.37,,7,4,ganso,-1.3,,,2.0,3.0,2.0,6.0,,,6.0,1.0,,,,,,,,,,
30,63013,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,-0.72,Marcos Rocha,M. Rocha,3.58,5,True,275,Marcos Luis Rocha Aquino,7,6.59,,7,2,marcos-rocha,2.1,,,,,3.0,4.0,,,1.0,,,3.0,,,,,,,,
31,63110,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,0.01,Alan Ruschel,A. Ruschel,0.85,2,True,286,Alan Luciano Ruschel,7,3.54,,7,2,alan-ruschel,1.0,,,,,1.0,5.0,,,4.0,,,,,,,,,,,
32,63289,Grêmio,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,-0.03,Edenílson,Edenílson,0.7,2,True,284,Edenílson Andrade dos Santos,7,5.72,,6,4,edenilson,1.4,,,,,,2.0,,,4.0,,,,,,,,,,,
33,68685,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,-2.24,Alan Patrick,A. Patrick,-1.6,1,True,285,Alan Patrick Lourenço,7,13.76,,7,4,alan-patrick,-1.6,,,,1.0,,2.0,,,,,,,,,,,,,,
34,68708,Botafogo,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,0.0,Eduardo,Eduardo,-0.1,2,False,263,Carlos Eduardo de Oliveira Alves,7,7.46,,6,4,eduardo,0.0,,,,,,2.0,,,1.0,,1.0,,,,,,,,,
35,68872,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,0.0,Marcelo Lomba,M. Lomba,0.0,0,False,275,Marcelo Lomba do Nascimento,7,6.0,,6,1,marcelo-lomba,0.0,,,,,,,,,,,,,,,,,,,,
