,atletas.nome,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.apelido,atletas.clube_id,atletas.slug,atletas.jogos_num,atletas.media_num,atletas.preco_num,atletas.atleta_id,atletas.foto,atletas.status_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.posicao_id,atletas.variacao_num,atletas.rodada_id,atletas.pontos_num,CA,DS,FC,FF,FS,SG,A,FD,G,I,FT,DE,DP,GS,PC,PP,PS,V,GC,CV
0,Fábio Deivson Lopes Maciel,,True,Fábio,266,fabio,7,2.86,8.76,37656,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,7,Fábio,Fluminense,1,0.29,8,4.0,,,,,,,,,,,,32.0,,12.0,,,,,,
1,Thiago Emiliano da Silva de Souza,,False,Thiago Silva,266,thiago-silva,0,0.0,10.0,37715,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,6,T. Silva,Fluminense,3,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
2,Márcio Rafael Ferreira de Souza,,False,Rafinha,276,rafinha,0,0.0,7.0,38144,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,6,Rafinha,São Paulo,2,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
3,Thiago Heleno Henrique Ferreira,,True,Thiago Heleno,293,thiago-heleno,5,2.6,5.6,38394,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,7,T. Heleno,Athlético-PR,3,0.03,8,2.4,1.0,3.0,6.0,,2.0,2.0,,1.0,,,,,,,,,,,,
4,Renato Soares de Oliveira Augusto,,True,Renato Augusto,266,renato-augusto,4,2.95,6.26,38398,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,6,R. Augusto,Fluminense,4,-0.83,8,0.0,,2.0,,2.0,,,,,1.0,2.0,,,,,,,,,,
5,Marcelo Vieira da Silva Júnior,,True,Marcelo,266,marcelo,7,6.17,10.44,38402,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,7,Marcelo,Fluminense,2,-1.13,8,3.0,1.0,14.0,7.0,6.0,9.0,,1.0,1.0,1.0,,2.0,,,,,,,,,
6,Felipe Melo de Carvalho,,False,Felipe Melo,266,felipe-melo,5,1.26,4.0,38545,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,7,F. Melo,Fluminense,3,0.0,8,0.0,2.0,6.0,4.0,1.0,3.0,,,,,,,,,,,,,,,
7,Mariano Ferreira Filho,,False,Mariano,282,mariano,0,0.0,6.0,38877,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,6,Mariano,Atlético-MG,2,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
8,Anderson Luis de Carvalho - Luiz,,True,Nenê,286,nene,6,2.43,4.68,38913,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,7,Nenê,Juventude,4,0.31,8,4.6,,2.0,5.0,1.0,8.0,,1.0,1.0,,3.0,1.0,,,,,,,,,
9,Vagner Silva de Souza,,True,Vagner Love,373,vagner-love,4,3.3,5.45,38959,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_BmOmgCS.png,2,V. Love,Atlético-GO,5,-0.91,8,1.6,1.0,1.0,1.0,2.0,3.0,,,1.0,1.0,,,,,,,,,,,
10,Givanildo Vieira de Souza,,False,Hulk,282,hulk,5,5.32,15.25,39148,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,2,Hulk,Atlético-MG,5,0.0,8,0.0,1.0,1.0,5.0,5.0,13.0,,2.0,,1.0,6.0,,,,,,,,,,
11,Alan Steven Franco Palma,,False,Alan Franco,282,alan-franco,6,1.02,3.01,39656,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,6,A. Franco,Atlético-MG,4,0.0,8,0.0,3.0,8.0,11.0,1.0,4.0,,,,,,,,,,,,,,,
12,Renato Portaluppi,,True,Renato Gaúcho,284,renato-gaucho,6,4.1,8.65,41929,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,7,R. Gaúcho,Grêmio,6,-0.16,8,2.61,,,,,,,,,,,,,,,,,,2.0,,
13,Osvaldo Lourenço Filho,,True,Osvaldo,287,osvaldo,5,1.84,4.73,42222,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,7,Osvaldo,Vitória,5,-0.23,8,1.7,,3.0,3.0,,6.0,,,3.0,,1.0,,,,,,,,,,
14,Cássio Roberto Ramos,,False,Cássio,283,cassio,3,4.33,11.4,42234,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,6,Cássio,Cruzeiro,1,0.0,8,0.0,,,,,,1.0,,,,,,11.0,,3.0,,,,,,
15,Alexi Stival,,True,Cuca,293,cuca,8,6.2,11.41,42411,https://s.sde.globo.com/media/person_role/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,7,Cuca,Athlético-PR,6,0.92,8,7.95,,,,,,,,,,,,,,,,,,5.0,,
16,Fagner Conserva Lemos,,False,Fagner,264,fagner,5,4.64,6.97,42500,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,5,Fagner,Corinthians,2,0.0,8,0.0,1.0,4.0,1.0,,1.0,3.0,,1.0,,,1.0,,,,,,,,,
17,Adenor Leonardo Bachi,,True,Tite,262,tite,8,6.3,11.19,45125,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,7,Tite,Flamengo,6,-0.42,8,6.9,,,,,,,,,,,,,,,,,,5.0,,
18,Alan Kardec de Sousa Pereira Júnior,,False,Alan Kardec,282,alan-kardec,2,0.25,3.95,50347,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,2,A. Kardec,Atlético-MG,5,0.0,8,0.0,,,,,1.0,,,,,,,,,,,,,,,
19,Christian Chagas Tarouco,,True,Titi,356,titi,6,1.6,3.57,50353,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,7,Titi,Fortaleza,3,0.03,8,0.4,1.0,4.0,9.0,2.0,4.0,1.0,,,,1.0,,,,,,,,,,
20,Walter Leandro Capeloza Artune,,True,Walter,1371,walter,6,1.5,3.96,51413,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,7,Walter,Cuiabá,1,0.67,8,4.0,,,,,,,,,,,,22.0,,13.0,,,,,,
21,Everton Augusto de Barros Ribeiro,,True,Everton Ribeiro,265,everton-ribeiro,7,5.12,10.06,51772,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,7,E. Ribeiro,Bahia,4,1.12,8,8.4,1.0,16.0,6.0,2.0,11.0,,2.0,2.0,,1.0,,,,,,,,,,
22,Fernando Francisco Reges,,True,Fernando,285,fernando,4,2.73,6.48,52271,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,7,Fernando,Internacional,4,-0.69,8,0.2,2.0,4.0,3.0,,2.0,,,,1.0,,,,,,,,,,,
23,David Luiz Moreira Marinho,,True,David Luiz,262,david-luiz,2,5.05,7.93,52827,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,7,D. Luiz,Flamengo,3,-0.31,8,2.7,,,3.0,,,,,,1.0,,1.0,,,,,,,,,
24,Leonardo Gamalho de Souza,,False,Léo Gamalho,287,leo-gamalho,1,0.0,4.11,53865,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,5,L. Gamalho,Vitória,5,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
25,Renan dos Santos,,False,Renan,286,renan,0,0.0,4.0,60795,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,5,Renan,Juventude,1,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,
26,Neuciano de Jesus Gusmão,,True,Cicinho,265,cicinho,1,5.2,5.62,61106,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,6,Cicinho,Bahia,2,1.62,8,5.2,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
27,Gilberto Oliveira Souza Júnior,,True,Gilberto,286,gilberto,3,0.3,4.27,61188,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,6,Gilberto,Juventude,5,-0.45,8,0.4,,,2.0,2.0,,,,,,1.0,,,,,,,,,,
28,Fabrício Barros Santana,,True,Fabrício,285,fabricio,1,10.0,5.67,61228,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,7,Fabrício,Internacional,1,3.67,8,10.0,,,,,,1.0,,,,,,5.0,,,,,,,,
29,Douglas Costa de Souza,,True,Douglas Costa,266,douglas-costa,5,1.56,4.72,62020,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,6,D. Costa,Fluminense,5,-0.61,8,0.2,,4.0,3.0,,3.0,,,2.0,,,,,,,,,,,,
30,Paulo Henrique Chagas de Lima,,True,Ganso,266,ganso,6,3.22,7.24,62977,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,7,Ganso,Fluminense,4,-0.13,8,0.7,4.0,3.0,6.0,,7.0,,2.0,,1.0,,,,,,,,,,,
31,Marcos Luis Rocha Aquino,,True,Marcos Rocha,275,marcos-rocha,6,3.9,7.17,63013,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,7,M. Rocha,Palmeiras,2,0.58,8,5.5,,3.0,4.0,,2.0,4.0,,,,,,,,,,,,,,
32,Alan Luciano Ruschel,,True,Alan Ruschel,286,alan-ruschel,3,1.5,3.79,63110,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,7,A. Ruschel,Juventude,2,0.25,8,2.8,,3.0,7.0,,6.0,,,,,,,,,,,,,,,
