,atletas.variacao_num,atletas.jogos_num,atletas.status_id,atletas.nome,atletas.apelido,atletas.rodada_id,atletas.foto,atletas.preco_num,atletas.clube_id,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.pontos_num,atletas.media_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.slug,atletas.atleta_id,CA,DS,FC,FF,FS,G,I,SG,A,CV,FD,DE,GS,FT,DP,PC,PP,PS,V,GC
0,-0.08,8,7,Fábio Deivson Lopes Maciel,Fábio,9,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,8.68,266,Fluminense,Fábio,4.0,3.0,True,1,,fabio,37656,,,,,,,,,,,,38.0,14.0,,,,,,,
1,0.0,0,6,Thiago Emiliano da Silva de Souza,Thiago Silva,9,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,10.0,266,Fluminense,T. Silva,0.0,0.0,False,3,,thiago-silva,37715,,,,,,,,,,,,,,,,,,,,
2,0.0,0,6,Márcio Rafael Ferreira de Souza,Rafinha,9,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,7.0,276,São Paulo,Rafinha,0.0,0.0,False,2,,rafinha,38144,,,,,,,,,,,,,,,,,,,,
3,-0.6,6,7,Thiago Heleno Henrique Ferreira,Thiago Heleno,9,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,5.0,293,Athlético-PR,T. Heleno,0.0,2.17,True,3,,thiago-heleno,38394,1.0,3.0,6.0,,2.0,,,2.0,,,1.0,,,,,,,,,
4,-0.65,5,7,Renato Soares de Oliveira Augusto,Renato Augusto,9,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,5.61,266,Fluminense,R. Augusto,0.0,2.36,True,4,,renato-augusto,38398,,2.0,,2.0,,1.0,2.0,,,,,,,,,,,,,
5,-0.72,8,7,Marcelo Vieira da Silva Júnior,Marcelo,9,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,9.72,266,Fluminense,Marcelo,0.5,5.46,True,2,,marcelo,38402,1.0,14.0,7.0,6.0,10.0,1.0,,,1.0,,1.0,,,2.0,,,,,,
6,-0.77,6,3,Felipe Melo de Carvalho,Felipe Melo,9,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,3.23,266,Fluminense,F. Melo,-2.5,0.63,True,3,,felipe-melo,38545,2.0,6.0,4.0,1.0,4.0,,,,,1.0,,,,,,,,,,
7,0.0,0,6,Mariano Ferreira Filho,Mariano,9,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,6.0,282,Atlético-MG,Mariano,0.0,0.0,False,2,,mariano,38877,,,,,,,,,,,,,,,,,,,,
8,0.0,6,7,Anderson Luis de Carvalho - Luiz,Nenê,9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,4.68,286,Juventude,Nenê,0.0,2.43,False,4,,nene,38913,,2.0,5.0,1.0,8.0,,3.0,,1.0,,1.0,,,1.0,,,,,,
9,0.0,4,6,Vagner Silva de Souza,Vagner Love,9,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_BmOmgCS.png,5.45,373,Atlético-GO,V. Love,0.0,3.3,False,5,,vagner-love,38959,1.0,1.0,1.0,2.0,3.0,1.0,,,,,1.0,,,,,,,,,
