,atletas.posicao_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.foto,atletas.atleta_id,atletas.status_id,atletas.clube_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.pontos_num,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.apelido,atletas.rodada_id,atletas.preco_num,atletas.slug,atletas.variacao_num,atletas.nome,CA,DS,FC,FS,SG,FD,FF,I,CV,A,FT,G,DE,DP,GS,PS,PC,V,PP,GC
0,6,5.78,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,37281,7,284,GRE,7,10.61,M. Menezes,True,Mano Menezes,11,10.52,mano-menezes,0.78,Luis Antônio Venker de Menezes,,,,,,,,,,,,,,,,,,3.0,,
1,6,6.09,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,37457,6,354,CEA,9,2.78,L. Condé,True,Léo Condé,11,7.96,leo-conde,-0.85,Leonardo Rodrigues Condé,,,,,,,,,,,,,,,,,,3.0,,
2,1,3.36,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,37656,6,266,FLU,11,10.2,Fábio,True,Fábio,11,9.71,fabio,1.49,Fábio Deivson Lopes Maciel,1.0,,,,3.0,,,,,,,,27.0,,12.0,,,,,
3,3,2.22,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,37715,6,266,FLU,7,5.5,T. Silva,True,Thiago Silva,11,8.87,thiago-silva,0.53,Thiago Emiliano da Silva,,1.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,
4,4,1.67,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,38913,6,286,JUV,6,3.0,Nenê,True,Nenê,11,4.0,nene,0.18,Anderson Luis de Carvalho - Luiz,,2.0,1.0,9.0,,1.0,2.0,,,,,,,,,,,,,
5,5,5.17,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,39148,7,282,CAM,10,3.5,Hulk,True,Hulk,11,14.31,hulk,-0.98,Givanildo Vieira de Souza,3.0,4.0,11.0,23.0,,10.0,10.0,5.0,,2.0,1.0,1.0,,,,,,,,
6,4,1.94,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,39656,7,282,CAM,7,-1.1,A. Franco,True,Alan Franco,11,4.56,alan-franco,-1.21,Alan Steven Franco Palma,1.0,10.0,9.0,3.0,,,1.0,,,,,,,,,,,,,
7,6,5.67,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,40990,7,264,COR,5,5.69,D. Júnior,True,Dorival Júnior,11,10.8,dorival-junior,-0.39,Dorival Silvestre Júnior,,,,,,,,,,,,,,,,,,2.0,,
8,6,5.75,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,41929,6,266,FLU,10,10.65,R. Gaúcho,True,Renato Gaúcho,11,10.66,renato-gaucho,0.9,Renato Portaluppi,,,,,,,,,,,,,,,,,,6.0,,
9,5,2.25,,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,42222,6,287,VIT,6,0.0,Osvaldo,False,Osvaldo,11,4.19,osvaldo,0.0,Osvaldo Lourenço Filho,1.0,2.0,2.0,5.0,,2.0,3.0,2.0,,1.0,,,,,,,,,,
