,atletas.apelido_abreviado,atletas.foto,atletas.jogos_num,atletas.apelido,atletas.minimo_para_valorizar,atletas.nome,atletas.atleta_id,atletas.posicao_id,atletas.entrou_em_campo,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.slug,atletas.variacao_num,CA,DS,FC,FD,FF,FS,SG,DE,DP,GS,G,I,V,A,FT,PS,CV,PC,PP,GC
0,M. Menezes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,8,Mano Menezes,,Luis Antônio Venker de Menezes,37281,6,True,7,5.23,5.71,284,9.9,12,GRE,mano-menezes,-0.62,,,,,,,,,,,,,3.0,,,,,,,
1,L. Condé,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,9,Léo Condé,,Leonardo Rodrigues Condé,37457,6,False,7,0.0,6.09,354,7.96,12,CEA,leo-conde,0.0,,,,,,,,,,,,,3.0,,,,,,,
2,Fábio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,11,Fábio,,Fábio Deivson Lopes Maciel,37656,1,False,7,0.0,3.36,266,9.71,12,FLU,fabio,0.0,1.0,,,,,,3.0,27.0,,12.0,,,,,,,,,,
3,T. Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,Thiago Silva,,Thiago Emiliano da Silva,37715,3,False,7,0.0,2.22,266,8.87,12,FLU,thiago-silva,0.0,,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,
4,Nenê,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,Nenê,,Anderson Luis de Carvalho - Luiz,38913,4,False,7,0.0,1.67,286,4.0,12,JUV,nene,0.0,,2.0,1.0,1.0,2.0,9.0,,,,,,,,,,,,,,
5,Hulk,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,11,Hulk,,Givanildo Vieira de Souza,39148,5,True,7,3.3,5.0,282,14.06,12,CAM,hulk,-0.25,3.0,4.0,11.0,10.0,13.0,25.0,,,,,1.0,6.0,,2.0,1.0,,,,,
6,A. Franco,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,8,Alan Franco,,Alan Steven Franco Palma,39656,4,True,7,2.0,1.95,282,4.88,12,CAM,alan-franco,0.32,1.0,11.0,9.0,,1.0,4.0,,,,,,,,,,,,,,
7,D. Júnior,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,6,Dorival Júnior,,Dorival Silvestre Júnior,40990,6,True,7,3.77,5.35,264,10.39,12,COR,dorival-junior,-0.41,,,,,,,,,,,,,2.0,,,,,,,
8,R. Gaúcho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,10,Renato Gaúcho,,Renato Portaluppi,41929,6,False,7,0.0,5.75,266,10.66,12,FLU,renato-gaucho,0.0,,,,,,,,,,,,,6.0,,,,,,,
9,Osvaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7,Osvaldo,,Osvaldo Lourenço Filho,42222,5,True,6,0.7,2.03,287,3.85,12,VIT,osvaldo,-0.34,1.0,2.0,3.0,2.0,3.0,7.0,,,,,,2.0,,1.0,,,,,,
10,Cássio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,12,Cássio,,Cássio Roberto Ramos,42234,1,True,7,6.3,6.47,283,10.43,12,CRU,cassio,0.32,2.0,,,,,,6.0,39.0,1.0,8.0,,,,,,,,,,
11,Cuca,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,12,Cuca,,Alexi Stival,42411,6,True,7,9.35,6.27,282,10.83,12,CAM,cuca,0.43,,,,,,,,,,,,,5.0,,,,,,,
12,Fagner,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,6,Fagner,,Fagner Conserva Lemos,42500,2,False,6,0.0,6.67,283,9.39,12,CRU,fagner,0.0,1.0,14.0,9.0,,1.0,4.0,4.0,,,,,1.0,,,,,,,,
