,atletas.slug,atletas.preco_num,atletas.foto,atletas.jogos_num,atletas.rodada_id,atletas.pontos_num,atletas.apelido,atletas.entrou_em_campo,atletas.clube_id,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.media_num,atletas.apelido_abreviado,atletas.status_id,atletas.atleta_id,atletas.variacao_num,CA,DS,FC,FD,FS,CV,FF,FT,I,PC,G,SG,DE,GS,A,PS,V,DP,GC,PP
0,mano-menezes,9.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,9,14,0.0,Mano Menezes,False,284,6,Luis Antônio Venker de Menezes,GRE,5.45,M. Menezes,7,37281,0.0,,,,,,,,,,,,,,,,,3.0,,,
1,leo-conde,7.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,11,14,1.57,Léo Condé,True,354,6,Leonardo Rodrigues Condé,CEA,5.81,L. Condé,7,37457,-0.81,,,,,,,,,,,,,,,,,4.0,,,
2,fabio,8.7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,12,14,1.9,Fábio,True,266,1,Fábio Deivson Lopes Maciel,FLU,3.24,Fábio,7,37656,-1.01,1.0,,,,,,,,,,,3.0,30.0,14.0,,,,,,
3,thiago-silva,9.21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,8,14,6.2,Thiago Silva,True,266,3,Thiago Emiliano da Silva,FLU,2.72,T. Silva,7,37715,0.34,,2.0,2.0,2.0,3.0,,3.0,1.0,,,,2.0,,,,,,,,
4,nene,3.69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,7,14,0.0,Nenê,False,286,4,Anderson Luis de Carvalho - Luiz,JUV,1.57,Nenê,6,38913,0.0,,2.0,1.0,1.0,11.0,,2.0,,,,,,,,,,,,,
5,hulk,15.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,12,14,0.0,Hulk,False,282,5,Givanildo Vieira de Souza,CAM,5.5,Hulk,7,39148,0.0,3.0,4.0,12.0,11.0,26.0,,15.0,1.0,6.0,,2.0,,,,2.0,,,,,
6,alan-franco,4.7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,9,14,0.0,Alan Franco,False,282,4,Alan Steven Franco Palma,CAM,1.87,A. Franco,7,39656,0.0,1.0,11.0,10.0,,7.0,,1.0,,,,,,,,,,,,,
7,dorival-junior,11.12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,8,14,8.51,Dorival Júnior,True,264,6,Dorival Silvestre Júnior,COR,5.53,D. Júnior,7,40990,0.89,,,,,,,,,,,,,,,,,3.0,,,
8,renato-gaucho,9.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,11,14,3.59,Renato Gaúcho,True,266,6,Renato Portaluppi,FLU,5.55,R. Gaúcho,7,41929,-0.79,,,,,,,,,,,,,,,,,6.0,,,
9,osvaldo,3.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,9,14,0.0,Osvaldo,True,287,5,Osvaldo Lourenço Filho,VIT,1.58,Osvaldo,6,42222,-0.11,2.0,2.0,4.0,2.0,8.0,,4.0,,2.0,,,,,,1.0,,,,,
10,cassio,11.28,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,14,14,11.8,Cássio,True,283,1,Cássio Roberto Ramos,CRU,6.41,Cássio,3,42234,1.8,3.0,,,,,,,,,,,7.0,46.0,9.0,,,,1.0,,
11,cuca,10.12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,13,14,0.0,Cuca,False,282,6,Alexi Stival,CAM,6.09,Cuca,7,42411,0.0,,,,,,,,,,,,,,,,,5.0,,,
12,fagner,10.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,8,14,11.5,Fagner,True,283,2,Fagner Conserva Lemos,CRU,6.75,Fagner,7,42500,1.67,1.0,19.0,9.0,,7.0,,1.0,,1.0,,,5.0,,,,,,,,
13,david-braz,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,14,0.0,David Braz,False,2305,3,David Braz de Oliveira Filho,MIR,0.0,D. Braz,6,50317,0.0,,,,,,,,,,,,,,,,,,,,
14,walter,9.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6,14,1.6,Walter,True,2305,1,Walter Leandro Capeloza Artune,MIR,7.07,Walter,7,51413,-1.28,1.0,,,,1.0,,,,,,,2.0,23.0,4.0,,,,1.0,,
15,everton-ribeiro,7.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,12,14,0.0,Everton Ribeiro,False,265,4,Everton Augusto de Barros Ribeiro,BAH,3.48,E. Ribeiro,7,51772,0.0,2.0,18.0,11.0,4.0,17.0,1.0,2.0,,,,1.0,,,,,,,,,
16,fernando,5.95,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6,14,0.0,Fernando,False,285,4,Fernando Francisco Reges,INT,2.75,Fernando,5,52271,0.0,,8.0,2.0,3.0,3.0,,,,,,,,,,,,,,,
17,david-luiz,7.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,14,0.0,David Luiz,False,356,3,David Luiz Moreira Marinho,FOR,3.18,D. Luiz,6,52827,0.0,2.0,5.0,6.0,1.0,2.0,,4.0,,,,,2.0,,,,,,,,
