,atletas.slug,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.atleta_id,atletas.status_id,atletas.clube.id.full.name,atletas.preco_num,atletas.jogos_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.foto,atletas.apelido,DS,FC,FD,FF,FS,I,SG,CA,A,FT,G,CV,PC,PS,DE,GS,DP,V,PP,GC
0,mano-menezes,4.25,284,6,M. Menezes,Luis Antônio Venker de Menezes,5.33,0.09,37281,6,GRE,9.66,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Mano Menezes,,,,,,,,,,,,,,,,,,3.0,,
1,leo-conde,3.68,354,6,L. Condé,Leonardo Rodrigues Condé,5.63,0.19,37457,7,CEA,8.15,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Léo Condé,,,,,,,,,,,,,,,,,,4.0,,
2,fabio,1.6,266,1,Fábio,Fábio Deivson Lopes Maciel,3.11,-0.22,37656,7,FLU,8.48,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Fábio,,,,,,,3.0,1.0,,,,,,,32.0,15.0,,,,
3,thiago-silva,-0.3,266,3,T. Silva,Thiago Emiliano da Silva,2.38,-1.16,37715,7,FLU,8.05,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Thiago Silva,2.0,3.0,2.0,3.0,3.0,,2.0,,,1.0,,,,,,,,,,
4,nene,0.0,286,4,Nenê,Anderson Luis de Carvalho - Luiz,1.57,0.0,38913,6,JUV,3.69,7,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Nenê,2.0,1.0,1.0,2.0,11.0,,,,,,,,,,,,,,,
5,hulk,20.8,282,5,Hulk,Givanildo Vieira de Souza,6.68,1.89,39148,6,CAM,17.09,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Hulk,6.0,16.0,12.0,16.0,30.0,6.0,,4.0,2.0,1.0,4.0,,,,,,,,,
6,alan-franco,3.0,282,4,A. Franco,Alan Steven Franco Palma,1.98,0.27,39656,6,CAM,4.97,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Alan Franco,13.0,10.0,,1.0,7.0,,,1.0,,,,,,,,,,,,
7,dorival-junior,2.31,264,6,D. Júnior,Dorival Silvestre Júnior,5.17,-1.03,40990,7,COR,10.09,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Dorival Júnior,,,,,,,,,,,,,,,,,,3.0,,
8,renato-gaucho,2.14,266,6,R. Gaúcho,Renato Portaluppi,5.27,-0.39,41929,7,FLU,9.48,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Renato Gaúcho,,,,,,,,,,,,,,,,,,6.0,,
9,osvaldo,-0.5,287,5,Osvaldo,Osvaldo Lourenço Filho,1.37,-0.23,42222,3,VIT,3.28,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Osvaldo,2.0,4.0,2.0,4.0,9.0,2.0,,3.0,1.0,,,,,,,,,,,
