,atletas.variacao_num,atletas.preco_num,atletas.nome,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.media_num,atletas.atleta_id,atletas.jogos_num,atletas.rodada_id,atletas.foto,atletas.slug,atletas.clube_id,atletas.posicao_id,atletas.pontos_num,atletas.apelido,atletas.status_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,CV,FT,PC,PS,DE,DP,GS,V,PP,GC
0,0.0,9.66,Luis Antônio Venker de Menezes,False,GRE,M. Menezes,5.33,37281,10,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,mano-menezes,284,6,0.0,Mano Menezes,7,,,,,,,,,,,,,,,,,,3.0,,
1,-0.01,8.14,Leonardo Rodrigues Condé,True,CEA,L. Condé,5.47,37457,13,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,leo-conde,354,6,3.6,Léo Condé,7,,,,,,,,,,,,,,,,,,4.0,,
2,-0.27,8.21,Fábio Deivson Lopes Maciel,True,FLU,Fábio,2.93,37656,14,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,fabio,266,1,0.6,Fábio,7,,1.0,,,,,,,,3.0,,,,,34.0,,17.0,,,
3,-0.21,7.84,Thiago Emiliano da Silva,True,FLU,T. Silva,2.14,37715,10,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,thiago-silva,266,3,0.0,Thiago Silva,7,,,2.0,3.0,2.0,3.0,3.0,,,2.0,,1.0,,,,,,,,
4,-0.24,3.45,Anderson Luis de Carvalho - Luiz,True,JUV,Nenê,1.37,38913,8,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,nene,286,4,0.0,Nenê,6,,,2.0,1.0,1.0,2.0,11.0,,,,,,,,,,,,,
5,0.0,17.09,Givanildo Vieira de Souza,False,CAM,Hulk,6.68,39148,13,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,hulk,282,5,0.0,Hulk,7,2.0,4.0,6.0,16.0,12.0,16.0,30.0,4.0,6.0,,,1.0,,,,,,,,
6,0.0,4.97,Alan Steven Franco Palma,False,CAM,A. Franco,1.98,39656,10,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,alan-franco,282,4,0.0,Alan Franco,7,,1.0,13.0,10.0,,1.0,7.0,,,,,,,,,,,,,
7,0.34,10.43,Dorival Silvestre Júnior,True,COR,D. Júnior,5.15,40990,10,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,dorival-junior,264,6,5.02,Dorival Júnior,7,,,,,,,,,,,,,,,,,,3.0,,
8,0.03,9.51,Renato Portaluppi,True,FLU,R. Gaúcho,5.09,41929,13,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,renato-gaucho,266,6,2.89,Renato Gaúcho,7,,,,,,,,,,,,,,,,,,6.0,,
9,0.0,3.28,Osvaldo Lourenço Filho,False,VIT,Osvaldo,1.37,42222,10,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,osvaldo,287,5,0.0,Osvaldo,7,1.0,3.0,2.0,4.0,2.0,4.0,9.0,,2.0,,,,,,,,,,,
10,-0.22,11.06,Cássio Roberto Ramos,True,CRU,Cássio,6.58,42234,15,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,cassio,283,1,8.9,Cássio,7,,3.0,,,,,,,,8.0,,,,,49.0,1.0,9.0,,,
11,0.0,10.04,Alexi Stival,False,CAM,Cuca,5.91,42411,14,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,cuca,282,6,0.0,Cuca,7,,,,,,,,,,,,,,,,,,5.0,,
12,0.0,10.02,Fagner Conserva Lemos,False,CRU,Fagner,6.75,42500,8,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,fagner,283,2,0.0,Fagner,6,,1.0,19.0,9.0,,1.0,7.0,,1.0,5.0,,,,,,,,,,
13,0.0,5.0,David Braz de Oliveira Filho,False,MIR,D. Braz,0.0,50317,0,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,david-braz,2305,3,0.0,David Braz,6,,,,,,,,,,,,,,,,,,,,
14,1.61,11.3,Walter Leandro Capeloza Artune,True,MIR,Walter,7.56,51413,8,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,walter,2305,1,13.1,Walter,7,,2.0,,,,,1.0,,,4.0,,,,,30.0,1.0,4.0,,,
