,atletas.foto,atletas.status_id,atletas.apelido,atletas.nome,atletas.clube_id,atletas.variacao_num,atletas.posicao_id,atletas.jogos_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.pontos_num,atletas.entrou_em_campo,atletas.preco_num,atletas.media_num,atletas.atleta_id,atletas.slug,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PC,A,SG,PS,DE,DP,GS,V,GC,PP
0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,7,Mano Menezes,Luis Antônio Venker de Menezes,284,-0.16,6,11,17,GRE,M. Menezes,3.16,True,9.5,5.13,37281,mano-menezes,,,,,,,,,,,,,,,,,,3.0,,
1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,7,Léo Condé,Leonardo Rodrigues Condé,354,0.23,6,14,17,CEA,L. Condé,4.98,True,8.37,5.44,37457,leo-conde,,,,,,,,,,,,,,,,,,5.0,,
2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,Fábio,Fábio Deivson Lopes Maciel,266,1.08,1,15,17,FLU,Fábio,7.9,True,9.29,3.26,37656,fabio,1.0,,,,,,,,,,,,3.0,,37.0,1.0,20.0,,,
3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,Thiago Silva,Thiago Emiliano da Silva,266,-0.19,3,11,17,FLU,T. Silva,0.2,True,7.65,1.96,37715,thiago-silva,,,2.0,4.0,2.0,3.0,4.0,1.0,,,,,2.0,,,,,,,
4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,Nenê,Anderson Luis de Carvalho - Luiz,286,0.0,4,8,17,JUV,Nenê,0.0,False,3.45,1.37,38913,nene,,,2.0,1.0,1.0,2.0,11.0,,,,,,,,,,,,,
5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,Hulk,Givanildo Vieira de Souza,282,-2.83,5,14,17,CAM,Hulk,-0.1,True,14.26,6.2,39148,hulk,5.0,,6.0,19.0,12.0,17.0,32.0,1.0,4.0,6.0,,2.0,,,,,,,,
6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,Alan Franco,Alan Steven Franco Palma,282,-0.1,4,11,17,CAM,A. Franco,2.1,True,4.87,1.99,39656,alan-franco,1.0,,15.0,13.0,,1.0,7.0,,,,,,,,,,,,,
7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,7,Dorival Júnior,Dorival Silvestre Júnior,264,-0.21,6,11,17,COR,D. Júnior,3.76,True,10.22,5.02,40990,dorival-junior,,,,,,,,,,,,,,,,,,3.0,,
8,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,Renato Gaúcho,Renato Portaluppi,266,-0.08,6,14,17,FLU,R. Gaúcho,2.77,True,9.43,4.92,41929,renato-gaucho,,,,,,,,,,,,,,,,,,6.0,,
9,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,Osvaldo,Osvaldo Lourenço Filho,287,1.4,5,11,17,VIT,Osvaldo,7.9,True,4.68,1.96,42222,osvaldo,3.0,,3.0,6.0,5.0,4.0,10.0,1.0,,3.0,,1.0,,,,,,,,
10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,7,Cássio,Cássio Roberto Ramos,283,-1.41,1,16,17,CRU,Cássio,-0.7,True,9.65,6.12,42234,cassio,3.0,,,,,,,,,,,,8.0,,50.0,1.0,11.0,,,
11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,Cuca,Alexi Stival,282,-0.03,6,15,17,CAM,Cuca,3.27,True,10.01,5.73,42411,cuca,,,,,,,,,,,,,,,,,,5.0,,
12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,6,Fagner,Fagner Conserva Lemos,283,-1.51,2,9,17,CRU,Fagner,0.9,True,8.51,6.1,42500,fagner,1.0,,20.0,11.0,,1.0,7.0,,,1.0,,,5.0,,,,,,,
13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6,David Braz,David Braz de Oliveira Filho,2305,0.0,3,0,17,MIR,D. Braz,0.0,False,5.0,0.0,50317,david-braz,,,,,,,,,,,,,,,,,,,,
14,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,7,Walter,Walter Leandro Capeloza Artune,2305,-0.39,1,9,17,MIR,Walter,8.1,True,10.91,7.62,51413,walter,2.0,,,,,,1.0,,,,,,4.0,,37.0,1.0,5.0,,,
15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,7,Everton Ribeiro,Everton Augusto de Barros Ribeiro,265,0.54,4,14,17,BAH,E. Ribeiro,7.0,True,8.31,3.79,51772,everton-ribeiro,2.0,1.0,22.0,14.0,4.0,4.0,20.0,1.0,1.0,,,,,,,,,,,
16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,5,Fernando,Fernando Francisco Reges,285,0.0,4,6,17,INT,Fernando,0.0,False,5.95,2.75,52271,fernando,,,8.0,2.0,3.0,,3.0,,,,,,,,,,,,,
17,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5,David Luiz,David Luiz Moreira Marinho,356,0.0,3,6,17,FOR,D. Luiz,0.0,False,7.34,3.18,52827,david-luiz,2.0,,5.0,6.0,1.0,4.0,2.0,,,,,,2.0,,,,,,,
18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6,Léo Gamalho,Leonardo Gamalho de Souza,2305,0.0,5,0,17,MIR,L. Gamalho,0.0,False,4.0,0.0,53865,leo-gamalho,,,,,,,,,,,,,,,,,,,,
