,atletas.atleta_id,atletas.jogos_num,atletas.preco_num,atletas.status_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.slug,atletas.entrou_em_campo,atletas.nome,atletas.apelido,atletas.media_num,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,atletas.posicao_id,atletas.clube_id,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,DE,GS,PC,V,DP,CV,PP,GC
0,37281,12,9.21,7,GRE,18,mano-menezes,True,Luis Antônio Venker de Menezes,Mano Menezes,4.91,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,M. Menezes,-0.29,6,284,2.49,,,,,,,,,,,,,,,,3.0,,,,
1,37457,15,8.09,7,CEA,18,leo-conde,True,Leonardo Rodrigues Condé,Léo Condé,5.31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,L. Condé,-0.28,6,354,3.48,,,,,,,,,,,,,,,,5.0,,,,
2,37656,16,8.96,7,FLU,18,fabio,True,Fábio Deivson Lopes Maciel,Fábio,3.4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Fábio,-0.33,1,266,5.5,,1.0,,,,,1.0,,,4.0,,,37.0,20.0,,,1.0,,,
3,37715,12,8.44,5,FLU,18,thiago-silva,True,Thiago Emiliano da Silva,Thiago Silva,2.31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,T. Silva,0.79,3,266,6.2,,,3.0,5.0,2.0,3.0,4.0,,,3.0,1.0,,,,,,,,,
4,38913,8,3.45,6,JUV,18,nene,False,Anderson Luis de Carvalho - Luiz,Nenê,1.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Nenê,0.0,4,286,0.0,,,2.0,1.0,1.0,2.0,11.0,,,,,,,,,,,,,
5,39148,15,14.2,7,CAM,18,hulk,True,Givanildo Vieira de Souza,Hulk,5.93,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Hulk,-0.06,5,282,2.1,2.0,5.0,6.0,19.0,12.0,19.0,33.0,4.0,6.0,,1.0,,,,,,,,,
6,39656,12,4.45,7,CAM,18,alan-franco,True,Alan Steven Franco Palma,Alan Franco,1.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,A. Franco,-0.42,4,282,0.0,,1.0,15.0,13.0,,1.0,7.0,,,,,,,,,,,,,
7,40990,12,10.26,7,COR,18,dorival-junior,True,Dorival Silvestre Júnior,Dorival Júnior,5.01,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,D. Júnior,0.04,6,264,4.92,,,,,,,,,,,,,,,,3.0,,,,
8,41929,15,10.02,7,FLU,18,renato-gaucho,True,Renato Portaluppi,Renato Gaúcho,5.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,R. Gaúcho,0.59,6,266,7.32,,,,,,,,,,,,,,,,7.0,,,,
9,42222,12,4.64,2,VIT,18,osvaldo,True,Osvaldo Lourenço Filho,Osvaldo,2.31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Osvaldo,-0.04,5,287,6.2,1.0,3.0,6.0,6.0,6.0,4.0,11.0,,3.0,,1.0,,,,,,,,,
