,atletas.atleta_id,atletas.jogos_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.slug,atletas.nome,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.pontos_num,atletas.rodada_id,atletas.status_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.apelido,atletas.clube.id.full.name,atletas.foto,A,DS,FC,FF,FS,I,CA,FD,G,FT,SG,V,DE,DP,GS,PC,PS,CV,PP,GC
0,37281,13,True,6,mano-menezes,Luis Antônio Venker de Menezes,4.76,284,9.12,2.98,19,7,-0.09,M. Menezes,Mano Menezes,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,,,,,,,,,,,,3.0,,,,,,,,
1,37457,16,True,6,leo-conde,Leonardo Rodrigues Condé,5.18,354,7.98,3.27,19,7,-0.11,L. Condé,Léo Condé,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,,,,,,,,,,,5.0,,,,,,,,
2,37656,17,True,1,fabio,Fábio Deivson Lopes Maciel,3.36,266,8.48,2.7,19,7,-0.48,Fábio,Fábio,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,,,,2.0,,1.0,,,,4.0,,41.0,1.0,23.0,,,,,
3,37715,12,False,3,thiago-silva,Thiago Emiliano da Silva,2.31,266,8.44,0.0,19,5,0.0,T. Silva,Thiago Silva,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,3.0,5.0,3.0,4.0,,,2.0,,1.0,3.0,,,,,,,,,
4,38913,9,True,4,nene,Anderson Luis de Carvalho - Luiz,1.83,286,4.32,5.5,19,6,0.87,Nenê,Nenê,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.0,2.0,1.0,2.0,12.0,,,1.0,,,,,,,,,,,,
5,39148,15,False,5,hulk,Givanildo Vieira de Souza,5.93,282,14.2,0.0,19,7,0.0,Hulk,Hulk,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2.0,6.0,19.0,19.0,33.0,6.0,5.0,12.0,4.0,1.0,,,,,,,,,,
6,39656,13,True,4,alan-franco,Alan Steven Franco Palma,1.79,282,4.54,1.4,19,7,0.09,A. Franco,Alan Franco,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,,16.0,15.0,1.0,8.0,,1.0,,,,,,,,,,,,,
7,40990,13,True,6,dorival-junior,Dorival Silvestre Júnior,4.9,264,9.93,3.54,19,7,-0.33,D. Júnior,Dorival Júnior,COR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,,,,,,,,,,,,3.0,,,,,,,,
8,41929,16,True,6,renato-gaucho,Renato Portaluppi,5.11,266,9.74,5.5,19,7,-0.28,R. Gaúcho,Renato Gaúcho,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,,,,,,,,,,,7.0,,,,,,,,
9,42222,13,True,5,osvaldo,Osvaldo Lourenço Filho,2.23,287,3.97,1.3,19,7,-0.67,Osvaldo,Osvaldo,VIT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,1.0,6.0,6.0,5.0,12.0,3.0,3.0,6.0,,1.0,,,,,,,,,,
10,42234,18,True,1,cassio,Cássio Roberto Ramos,5.78,283,9.27,-1.5,19,7,-1.43,Cássio,Cássio,CRU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,,,,,1.0,,3.0,,,,9.0,,52.0,1.0,13.0,,,,,
11,42411,17,True,6,cuca,Alexi Stival,5.77,282,10.13,4.92,19,7,-0.35,Cuca,Cuca,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,,,,,,,,,,,,6.0,,,,,,,,
12,42500,9,False,2,fagner,Fagner Conserva Lemos,6.1,283,8.51,0.0,19,5,0.0,Fagner,Fagner,CRU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,,20.0,11.0,1.0,7.0,1.0,1.0,,,,5.0,,,,,,,,,
