,atletas.slug,atletas.preco_num,atletas.foto,atletas.clube.id.full.name,atletas.atleta_id,atletas.status_id,atletas.apelido_abreviado,atletas.pontos_num,atletas.apelido,atletas.clube_id,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.rodada_id,atletas.posicao_id,atletas.variacao_num,A,DS,FC,FD,FF,FS,V,I,CA,SG,DE,GS,G,CV,PP,PC,FT,DP,PS,GC
0,leo-conde,7.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,37457,7,L. Condé,10.02,Léo Condé,354,,True,2,7.82,Leonardo Rodrigues Condé,2,6,1.86,,,,,,,1.0,,,,,,,,,,,,,
1,fabio,11.15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,37656,7,Fábio,4.2,Fábio,266,,True,2,2.4,Fábio Deivson Lopes Maciel,2,1,-0.51,,,,,,,,,,,6.0,3.0,,,,,,,,
2,thiago-silva,11.31,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,37715,7,T. Silva,2.8,Thiago Silva,266,,True,2,1.4,Thiago Emiliano da Silva,2,3,-0.96,,,,1.0,2.0,,,,,,,,,,,,,,,
3,renato-augusto,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,38398,6,R. Augusto,0.0,Renato Augusto,266,,False,0,0.0,Renato Soares de Oliveira Augusto,2,4,0.0,,,,,,,,,,,,,,,,,,,,
4,nene,4.53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,38913,6,Nenê,1.0,Nenê,286,,True,1,1.0,Anderson Luis de Carvalho - Luiz,2,4,-0.47,,,,,,2.0,,,,,,,,,,,,,,
5,hulk,19.09,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,39148,7,Hulk,3.6,Hulk,282,,True,2,3.95,Givanildo Vieira de Souza,2,5,-2.04,,,2.0,3.0,3.0,5.0,,,,,,,,,,,,,,
6,alan-franco,5.46,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,39656,7,A. Franco,0.9,Alan Franco,282,,True,2,0.95,Alan Steven Franco Palma,2,4,-0.62,,1.0,2.0,,,2.0,,,,,,,,,,,,,,
7,renato-gaucho,9.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,41929,7,R. Gaúcho,5.72,Renato Gaúcho,266,,True,1,5.72,Renato Portaluppi,2,6,0.55,,,,,,,1.0,,,,,,,,,,,,,
8,osvaldo,4.17,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,42222,6,Osvaldo,0.0,Osvaldo,287,,True,1,0.0,Osvaldo Lourenço Filho,2,5,-0.83,,,,,,,,,,,,,,,,,,,,
9,cassio,9.56,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,42234,7,Cássio,3.8,Cássio,283,,True,2,7.0,Cássio Roberto Ramos,2,1,-0.56,,,,,,,,,2.0,,10.0,4.0,,,,,,1.0,,
10,cuca,9.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,42411,7,Cuca,5.85,Cuca,282,,True,2,5.16,Alexi Stival,2,6,0.13,,,,,,,,,,,,,,,,,,,,
11,fagner,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,42500,6,Fagner,0.0,Fagner,283,,False,0,0.0,Fagner Conserva Lemos,2,2,0.0,,,,,,,,,,,,,,,,,,,,
12,david-braz,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,50317,5,D. Braz,0.0,David Braz,2305,,False,0,0.0,David Braz de Oliveira Filho,2,3,0.0,,,,,,,,,,,,,,,,,,,,
13,titi,5.88,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,50353,7,Titi,2.4,Titi,356,,True,2,5.45,Christian Chagas Tarouco,2,3,-0.37,,4.0,2.0,,,1.0,,,,1.0,,,,,,,,,,
14,walter,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,51413,6,Walter,0.0,Walter,2305,,False,0,0.0,Walter Leandro Capeloza Artune,2,1,0.0,,,,,,,,,,,,,,,,,,,,
