,atletas.jogos_num,atletas.slug,atletas.clube.id.full.name,atletas.variacao_num,atletas.pontos_num,atletas.atleta_id,atletas.clube_id,atletas.apelido,atletas.preco_num,atletas.posicao_id,atletas.media_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.nome,atletas.foto,atletas.entrou_em_campo,atletas.status_id,DS,FD,FS,SG,CA,FC,FF,FT,G,A,I,CV,DE,GS,PS,V,PC,GC,DP,PP
0,15,mano-menezes,GRE,-0.2,6.66,37281,284,Mano Menezes,9.49,6,5.04,21,M. Menezes,Luis Antônio Venker de Menezes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,7,,,,,,,,,,,,,,,,4.0,,,,
1,18,leo-conde,CEA,-0.3,6.17,37457,354,Léo Condé,8.31,6,5.37,21,L. Condé,Leonardo Rodrigues Condé,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,7,,,,,,,,,,,,,,,,6.0,,,,
2,19,fabio,FLU,-1.42,-2.7,37656,266,Fábio,7.42,1,3.15,21,Fábio,Fábio Deivson Lopes Maciel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,7,,,2.0,4.0,1.0,,,,,,,,47.0,28.0,,,,,1.0,
3,12,thiago-silva,FLU,0.0,0.0,37715,266,Thiago Silva,8.44,3,2.31,21,T. Silva,Thiago Emiliano da Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,False,6,3.0,2.0,4.0,3.0,,5.0,3.0,1.0,,,,,,,,,,,,
4,11,nene,JUV,-0.98,6.0,38913,286,Nenê,5.2,4,3.38,21,Nenê,Anderson Luis de Carvalho - Luiz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,7,2.0,2.0,14.0,,,2.0,3.0,,1.0,3.0,,,,,,,,,,
5,16,hulk,CAM,0.0,0.0,39148,282,Hulk,14.38,5,5.89,21,Hulk,Givanildo Vieira de Souza,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,False,3,6.0,12.0,34.0,,6.0,19.0,20.0,1.0,4.0,3.0,6.0,,,,,,,,,
6,15,alan-franco,CAM,0.3,3.0,39656,282,Alan Franco,4.53,4,1.74,21,A. Franco,Alan Steven Franco Palma,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,7,18.0,,9.0,,1.0,17.0,1.0,,,,,,,,,,,,,
7,15,dorival-junior,COR,0.46,9.77,40990,264,Dorival Júnior,10.62,6,5.26,21,D. Júnior,Dorival Silvestre Júnior,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,True,7,,,,,,,,,,,,,,,,4.0,,,,
8,18,renato-gaucho,FLU,-0.32,5.19,41929,266,Renato Gaúcho,9.5,6,5.16,21,R. Gaúcho,Renato Portaluppi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,7,,,,,,,,,,,,,,,,8.0,,,,
9,15,osvaldo,VIT,-0.45,0.0,42222,287,Osvaldo,3.64,5,2.09,21,Osvaldo,Osvaldo Lourenço Filho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,True,6,7.0,6.0,12.0,,3.0,6.0,6.0,1.0,,1.0,3.0,,,,,,,,,
10,20,cassio,CRU,-0.48,1.6,42234,283,Cássio,9.23,1,5.43,21,Cássio,Cássio Roberto Ramos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,7,,,1.0,9.0,3.0,,,,,,,,57.0,15.0,,,,,1.0,
11,19,cuca,CAM,-0.13,4.02,42411,282,Cuca,9.66,6,5.54,21,Cuca,Alexi Stival,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,7,,,,,,,,,,,,,,,,6.0,,,,
12,9,fagner,CRU,0.0,0.0,42500,283,Fagner,8.51,2,6.1,21,Fagner,Fagner Conserva Lemos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,False,5,20.0,,7.0,5.0,1.0,11.0,1.0,,,,1.0,,,,,,,,,
13,13,walter,MIR,2.49,19.0,51413,2305,Walter,12.22,1,7.69,21,Walter,Walter Leandro Capeloza Artune,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,7,,,3.0,5.0,2.0,,,,,,,,55.0,10.0,,,,,2.0,
14,17,everton-ribeiro,BAH,0.55,12.5,51772,265,Everton Ribeiro,9.08,4,4.53,21,E. Ribeiro,Everton Augusto de Barros Ribeiro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,True,7,24.0,4.0,28.0,,3.0,17.0,5.0,1.0,2.0,2.0,,1.0,,,,,,,,
15,8,alex-teixeira,VAS,0.0,0.0,60793,267,Alex Teixeira,2.47,5,0.66,21,A. Teixeira,Alex Teixeira Santos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,False,6,3.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,
16,13,gilberto,JUV,0.0,0.0,61188,286,Gilberto,4.15,5,2.56,21,Gilberto,Gilberto Oliveira Souza Júnior,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,False,5,3.0,7.0,11.0,,4.0,16.0,4.0,,2.0,1.0,4.0,,,,,,,,,
17,13,alex-sandro,FLA,0.14,4.7,61987,262,Alex Sandro,10.0,2,4.48,21,A. Sandro,Alex Sandro Lobo Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,True,7,12.0,1.0,11.0,8.0,1.0,26.0,3.0,,,,1.0,,,,,,,,,
18,12,ganso,FLU,0.0,0.0,62977,266,Ganso,6.02,4,1.38,21,Ganso,Paulo Henrique Chagas de Lima,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,False,6,7.0,,13.0,,1.0,4.0,2.0,,,,,,,,,,,,,
19,11,neymar,SAN,0.0,0.0,63007,277,Neymar,14.2,4,5.02,21,Neymar,Neymar da Silva Santos Júnior,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,3,2.0,8.0,40.0,,3.0,15.0,8.0,1.0,3.0,,2.0,1.0,,,,,,,,
20,0,rafael-toloi,SAO,0.0,0.0,63008,276,Rafael Tolói,7.0,3,0.0,21,R. Tolói,Rafael Toloi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,6,,,,,,,,,,,,,,,,,,,,
21,2,marcos-rocha,GRE,2.49,12.5,63013,284,Marcos Rocha,9.89,2,7.55,21,M. Rocha,Marcos Luis Rocha Aquino,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,7,6.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,
22,12,alan-ruschel,JUV,-0.27,0.0,63110,286,Alan Ruschel,4.97,2,2.41,21,A. Ruschel,Alan Luciano Ruschel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,7,10.0,,17.0,2.0,2.0,8.0,,,,,2.0,,,,,,,,,
23,14,edenilson,GRE,-0.88,2.4,63289,284,Edenílson,5.12,4,2.59,21,Edenílson,Edenílson Andrade dos Santos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,7,8.0,1.0,15.0,,4.0,9.0,2.0,,2.0,1.0,1.0,,,,,,,,,
24,14,alan-patrick,INT,-1.11,2.8,68685,285,Alan Patrick,12.91,4,6.37,21,A. Patrick,Alan Patrick Lourenço,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,True,7,12.0,6.0,17.0,,3.0,13.0,3.0,1.0,4.0,5.0,2.0,,,,,,,,,
25,17,eduardo,CRU,-0.32,1.5,68708,283,Eduardo,3.56,4,1.6,21,Eduardo,Carlos Eduardo de Oliveira Alves,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,6,11.0,2.0,6.0,,1.0,9.0,4.0,,1.0,,1.0,1.0,,,1.0,,,,,
