,atletas.posicao_id,atletas.jogos_num,atletas.entrou_em_campo,atletas.media_num,atletas.apelido,atletas.variacao_num,atletas.clube_id,atletas.foto,atletas.clube.id.full.name,atletas.status_id,atletas.pontos_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.slug,atletas.atleta_id,atletas.preco_num,atletas.nome,CA,DS,FC,FD,FF,FS,G,SG,A,I,PS,FT,V,CV,DE,DP,GS,PP,PC,GC
0,6,18,True,5.15,Mano Menezes,0.37,284,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,7,7.05,24,M. Menezes,mano-menezes,37281,9.82,Luis Antônio Venker de Menezes,,,,,,,,,,,,,5.0,,,,,,,
1,6,21,True,5.21,Léo Condé,0.02,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,7,4.22,24,L. Condé,leo-conde,37457,8.24,Leonardo Rodrigues Condé,,,,,,,,,,,,,6.0,,,,,,,
2,1,22,True,3.5,Fábio,1.71,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,7,10.7,24,Fábio,fabio,37656,9.37,Fábio Deivson Lopes Maciel,1.0,,,,,3.0,,6.0,,,,,,,53.0,1.0,29.0,,,
3,3,13,False,2.76,Thiago Silva,0.0,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,7,0.0,24,T. Silva,thiago-silva,37715,8.73,Thiago Emiliano da Silva,,5.0,6.0,2.0,3.0,5.0,,4.0,,,,1.0,,,,,,,,
4,4,12,False,3.16,Nenê,0.0,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,6,0.0,24,Nenê,nene,38913,4.53,Anderson Luis de Carvalho - Luiz,,2.0,3.0,2.0,3.0,16.0,1.0,,3.0,,,,,,,,,,,
5,5,19,True,5.73,Hulk,0.25,282,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,7,4.8,24,Hulk,hulk,39148,14.05,Givanildo Vieira de Souza,8.0,7.0,23.0,16.0,27.0,46.0,4.0,,3.0,7.0,,1.0,,,,,,,,
6,4,18,True,1.95,Alan Franco,-1.14,282,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,7,-0.9,24,A. Franco,alan-franco,39656,4.21,Alan Steven Franco Palma,1.0,24.0,23.0,,2.0,11.0,,,,,,,,,,,,,,
7,6,18,True,5.13,Dorival Júnior,-0.12,264,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,COR,7,4.35,24,D. Júnior,dorival-junior,40990,10.08,Dorival Silvestre Júnior,,,,,,,,,,,,,5.0,,,,,,,
8,6,21,True,5.21,Renato Gaúcho,0.64,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,7,7.34,24,R. Gaúcho,renato-gaucho,41929,10.02,Renato Portaluppi,,,,,,,,,,,,,9.0,,,,,,,
9,4,1,True,5.9,Willian,1.47,284,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,7,5.9,24,Willian,willian,42135,10.47,Willian Borges da Silva,,,2.0,,,3.0,,,1.0,,,,,,,,,,,
10,5,18,True,2.25,Osvaldo,0.03,287,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,7,0.8,24,Osvaldo,osvaldo,42222,3.93,Osvaldo Lourenço Filho,3.0,8.0,6.0,6.0,8.0,14.0,,,2.0,3.0,,1.0,,,,,,,,
11,1,23,True,5.51,Cássio,0.34,283,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,7,5.0,24,Cássio,cassio,42234,9.94,Cássio Roberto Ramos,4.0,,,,,2.0,,10.0,,,,,,,69.0,1.0,17.0,,,
12,2,9,False,6.1,Fagner,0.0,283,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,5,0.0,24,Fagner,fagner,42500,8.51,Fagner Conserva Lemos,1.0,20.0,11.0,,1.0,7.0,,5.0,,1.0,,,,,,,,,,
13,1,16,True,7.94,Walter,0.1,2305,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,7,10.2,24,Walter,walter,51413,11.78,Walter Leandro Capeloza Artune,2.0,,,,,3.0,,7.0,,,,,,,69.0,2.0,11.0,,,
14,4,20,True,4.44,Everton Ribeiro,0.64,265,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,7,6.5,24,E. Ribeiro,everton-ribeiro,51772,8.49,Everton Augusto de Barros Ribeiro,3.0,27.0,17.0,4.0,6.0,31.0,2.0,,3.0,,,1.0,,1.0,,,,,,
15,5,15,True,2.24,Gilberto,0.06,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,6,0.5,24,Gilberto,gilberto,61188,4.22,Gilberto Oliveira Souza Júnior,4.0,3.0,17.0,7.0,4.0,12.0,2.0,,1.0,4.0,,,,,,,,,,
