,atletas.preco_num,atletas.pontos_num,atletas.apelido_abreviado,atletas.apelido,atletas.jogos_num,atletas.nome,atletas.posicao_id,atletas.media_num,atletas.clube_id,atletas.entrou_em_campo,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.atleta_id,atletas.slug,atletas.rodada_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,FT,V,CV,DE,DP,GS,PP,PC,GC
0,9.83,6.94,M. Menezes,Mano Menezes,19,Luis Antônio Venker de Menezes,6,5.24,284,True,7,0.01,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,37281,mano-menezes,25,GRE,,,,,,,,,,,,,6.0,,,,,,,
1,8.54,6.38,L. Condé,Léo Condé,22,Leonardo Rodrigues Condé,6,5.26,354,True,7,0.3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,37457,leo-conde,25,CEA,,,,,,,,,,,,,7.0,,,,,,,
2,8.84,6.3,Fábio,Fábio,23,Fábio Deivson Lopes Maciel,1,3.62,266,True,7,-0.53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,37656,fabio,25,FLU,,1.0,,,,,3.0,,,,7.0,,,,54.0,1.0,29.0,,,
3,8.37,4.7,T. Silva,Thiago Silva,14,Thiago Emiliano da Silva,3,2.9,266,True,2,-0.36,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,37715,thiago-silva,25,FLU,,,5.0,7.0,2.0,3.0,5.0,,,,5.0,1.0,,,,,,,,
4,4.35,0.0,Nenê,Nenê,13,Anderson Luis de Carvalho - Luiz,4,2.92,286,True,6,-0.18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,38913,nene,25,JUV,3.0,,2.0,3.0,2.0,3.0,16.0,1.0,,,,,,,,,,,,
5,13.56,-1.0,Hulk,Hulk,19,Givanildo Vieira de Souza,5,5.68,282,False,6,-0.49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,39148,hulk,25,CAM,3.0,9.0,7.0,23.0,16.0,27.0,46.0,4.0,7.0,,,1.0,,,,,,,,
6,4.42,1.2,A. Franco,Alan Franco,19,Alan Steven Franco Palma,4,1.91,282,True,6,0.21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,39656,alan-franco,25,CAM,,1.0,25.0,24.0,,2.0,11.0,,,,,,,,,,,,,
7,9.98,4.16,D. Júnior,Dorival Júnior,19,Dorival Silvestre Júnior,6,5.08,264,True,7,-0.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,40990,dorival-junior,25,COR,,,,,,,,,,,,,5.0,,,,,,,
8,9.58,1.5,Willian,Willian,2,Willian Borges da Silva,4,3.7,284,True,5,-0.89,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,42135,willian,25,GRE,1.0,,1.0,2.0,,,3.0,,,,,,,,,,,,,
9,3.74,0.0,Osvaldo,Osvaldo,19,Osvaldo Lourenço Filho,5,2.13,287,True,7,-0.19,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,42222,osvaldo,25,VIT,2.0,3.0,8.0,6.0,6.0,8.0,14.0,,3.0,,,1.0,,,,,,,,
10,9.24,0.6,Cássio,Cássio,24,Cássio Roberto Ramos,1,5.31,283,True,7,-0.7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,42234,cassio,25,CRU,,4.0,,,,,2.0,,,,10.0,,,,71.0,1.0,19.0,,,
11,8.51,0.0,Fagner,Fagner,9,Fagner Conserva Lemos,2,6.1,283,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,42500,fagner,25,CRU,,1.0,20.0,11.0,,1.0,7.0,,1.0,,5.0,,,,,,,,,
12,10.94,4.2,Walter,Walter,17,Walter Leandro Capeloza Artune,1,7.72,2305,True,7,-0.84,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,51413,walter,25,MIR,,2.0,,,,,3.0,,,,7.0,,,,73.0,2.0,12.0,,,
13,8.25,4.7,E. Ribeiro,Everton Ribeiro,21,Everton Augusto de Barros Ribeiro,4,4.45,265,True,7,-0.24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,51772,everton-ribeiro,25,BAH,3.0,3.0,28.0,17.0,5.0,6.0,35.0,2.0,,,,1.0,,1.0,,,,,,
14,4.86,5.0,Gilberto,Gilberto,16,Gilberto Oliveira Souza Júnior,5,2.41,286,True,6,0.64,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,61188,gilberto,25,JUV,2.0,4.0,3.0,17.0,7.0,4.0,12.0,2.0,4.0,,,,,,,,,,,
15,9.26,-0.8,A. Sandro,Alex Sandro,14,Alex Sandro Lobo Silva,2,4.1,262,True,7,-0.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,61987,alex-sandro,25,FLA,,2.0,12.0,27.0,1.0,3.0,12.0,,1.0,,8.0,,,,,,,,,
16,5.49,0.0,Ganso,Ganso,14,Paulo Henrique Chagas de Lima,4,1.18,266,False,5,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,62977,ganso,25,FLU,,2.0,7.0,6.0,,2.0,16.0,,,,,,,,,,,,,
17,13.81,0.0,Neymar,Neymar,13,Neymar da Silva Santos Júnior,4,4.78,277,False,5,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,63007,neymar,25,SAN,,4.0,3.0,15.0,9.0,9.0,49.0,3.0,2.0,,,1.0,,1.0,,,,,,
18,9.37,0.0,R. Tolói,Rafael Tolói,3,Rafael Toloi,3,5.63,276,True,6,-1.48,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,63008,rafael-toloi,25,SAO,,,8.0,2.0,,,1.0,,,,1.0,,,,,,,,,
19,9.81,3.5,M. Rocha,Marcos Rocha,5,Marcos Luis Rocha Aquino,2,6.86,284,True,2,-0.97,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,63013,marcos-rocha,25,GRE,,,17.0,3.0,1.0,,7.0,,,,1.0,,,,,,,,,
20,5.29,0.0,A. Ruschel,Alan Ruschel,13,Alan Luciano Ruschel,2,2.4,286,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,63110,alan-ruschel,25,JUV,,2.0,11.0,10.0,,,20.0,,3.0,,2.0,,,,,,,,,
21,5.08,2.4,Edenílson,Edenílson,17,Edenílson Andrade dos Santos,4,2.41,284,True,7,0.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,63289,edenilson,25,GRE,1.0,4.0,9.0,10.0,2.0,3.0,18.0,2.0,1.0,,,,,,,,,,,
22,14.58,11.0,A. Patrick,Alan Patrick,18,Alan Patrick Lourenço,4,7.23,285,True,7,-0.62,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,68685,alan-patrick,25,INT,5.0,3.0,15.0,16.0,6.0,6.0,25.0,8.0,2.0,,,2.0,,,,,,1.0,,
23,3.43,0.0,Eduardo,Eduardo,18,Carlos Eduardo de Oliveira Alves,4,1.54,283,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,68708,eduardo,25,CRU,,1.0,11.0,9.0,2.0,4.0,7.0,1.0,1.0,1.0,,,,1.0,,,,,,
24,7.25,0.0,Neto,Neto,3,Norberto Murara Neto,1,2.03,263,False,5,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,68806,neto,25,BOT,,,,,,,,,,,,,,,7.0,,3.0,,,
25,11.39,0.0,Oscar,Oscar,6,Oscar dos Santos Emboaba Júnior,4,1.67,276,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,68811,oscar,25,SAO,,1.0,5.0,3.0,2.0,,4.0,,,,,,,,,,,,,
26,7.63,0.0,M. Lomba,Marcelo Lomba,1,Marcelo Lomba do Nascimento,1,3.2,275,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,68872,marcelo-lomba,25,PAL,,,,,,,,,,,,,,,4.0,,2.0,,,
27,9.99,2.4,P. Coutinho,Philippe Coutinho,17,Philippe Coutinho Correia,4,5.23,267,True,7,-0.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,68899,philippe-coutinho,25,VAS,2.0,,6.0,11.0,14.0,13.0,26.0,4.0,1.0,1.0,,1.0,,1.0,,,,,,
28,7.8,0.0,Dudu,Dudu,9,Eduardo Pereira Rodrigues,5,2.09,282,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,68920,dudu,25,CAM,,,4.0,5.0,,1.0,11.0,1.0,,,,,,,,,,,,
29,9.84,6.0,Rafael,Rafael,22,Rafael Pires Monteiro,1,4.66,276,True,7,-0.11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,68928,rafael,25,SAO,,2.0,1.0,,,,6.0,,,,7.0,,,,67.0,,22.0,,,
30,6.22,0.0,Marinho,Marinho,14,Mário Sérgio Santos Costa,5,3.09,356,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,68952,marinho,25,FOR,2.0,2.0,10.0,23.0,5.0,10.0,19.0,1.0,13.0,,,,,1.0,,,,,,
