,atletas.slug,atletas.media_num,atletas.entrou_em_campo,atletas.preco_num,atletas.foto,atletas.status_id,atletas.atleta_id,atletas.clube_id,atletas.rodada_id,atletas.apelido,atletas.jogos_num,atletas.nome,atletas.pontos_num,atletas.variacao_num,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.posicao_id,V,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,FT,CV,DE,DP,GS,PP,PC,GC
0,mano-menezes,5.18,True,9.44,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,7,37281,284,26,Mano Menezes,20,Luis Antônio Venker de Menezes,4.03,-0.39,GRE,M. Menezes,6,6.0,,,,,,,,,,,,,,,,,,,
1,leo-conde,5.14,True,8.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,7,37457,354,26,Léo Condé,23,Leonardo Rodrigues Condé,2.42,-0.54,CEA,L. Condé,6,7.0,,,,,,,,,,,,,,,,,,,
2,fabio,3.44,True,7.83,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,37656,266,26,Fábio,24,Fábio Deivson Lopes Maciel,-0.7,-1.01,FLU,Fábio,1,,,1.0,,,,,3.0,,,,7.0,,,55.0,1.0,31.0,,,
3,thiago-silva,2.9,False,8.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,7,37715,266,26,Thiago Silva,14,Thiago Emiliano da Silva,0.0,0.0,FLU,T. Silva,3,,,,5.0,7.0,2.0,3.0,5.0,,,,5.0,1.0,,,,,,,
4,nene,2.92,False,4.35,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,38913,286,26,Nenê,13,Anderson Luis de Carvalho - Luiz,0.0,0.0,JUV,Nenê,4,,3.0,,2.0,3.0,2.0,3.0,16.0,1.0,,,,,,,,,,,
5,hulk,5.68,False,13.56,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,39148,282,26,Hulk,19,Givanildo Vieira de Souza,0.0,0.0,CAM,Hulk,5,,3.0,9.0,7.0,23.0,16.0,27.0,46.0,4.0,7.0,,,1.0,,,,,,,
6,alan-franco,1.91,False,4.42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,39656,282,26,Alan Franco,19,Alan Steven Franco Palma,0.0,0.0,CAM,A. Franco,4,,,1.0,25.0,24.0,,2.0,11.0,,,,,,,,,,,,
7,dorival-junior,5.08,True,10.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,7,40990,264,26,Dorival Júnior,20,Dorival Silvestre Júnior,5.01,0.1,COR,D. Júnior,6,5.0,,,,,,,,,,,,,,,,,,,
8,willian,3.7,False,9.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5,42135,284,26,Willian,2,Willian Borges da Silva,0.0,0.0,GRE,Willian,4,,1.0,,1.0,2.0,,,3.0,,,,,,,,,,,,
9,osvaldo,2.07,True,3.82,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,42222,287,26,Osvaldo,20,Osvaldo Lourenço Filho,0.9,0.08,VIT,Osvaldo,5,,2.0,3.0,8.0,6.0,6.0,8.0,16.0,,4.0,,,1.0,,,,,,,
