,atletas.foto,atletas.clube.id.full.name,atletas.variacao_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.pontos_num,atletas.slug,atletas.apelido_abreviado,atletas.posicao_id,atletas.nome,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.jogos_num,DE,GS,A,CA,DS,FC,FD,FF,FS,FT,G,I,PS,SG,V,CV,DP,PP,PC,GC
0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,1.02,28,True,8.49,mano-menezes,M. Menezes,6,Luis Antônio Venker de Menezes,Mano Menezes,37281,284,7,10.11,5.21,22,,,,,,,,,,,,,,,7.0,,,,,
1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,-0.49,28,True,4.91,leo-conde,L. Condé,6,Leonardo Rodrigues Condé,Léo Condé,37457,354,7,8.54,5.33,25,,,,,,,,,,,,,,,8.0,,,,,
2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,0.19,28,True,6.3,fabio,Fábio,1,Fábio Deivson Lopes Maciel,Fábio,37656,266,7,8.87,3.66,26,57.0,31.0,,1.0,,,,,3.0,,,,,9.0,,,1.0,,,
3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,1.21,28,True,13.6,thiago-silva,T. Silva,3,Thiago Emiliano da Silva,Thiago Silva,37715,266,7,10.04,3.88,16,,,,1.0,6.0,8.0,3.0,5.0,6.0,1.0,1.0,,,7.0,,,,,,
4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,-0.01,28,True,0.5,nene,Nenê,4,Anderson Luis de Carvalho - Luiz,Nenê,38913,286,7,4.29,2.6,15,,,3.0,,2.0,3.0,2.0,3.0,18.0,,1.0,,,,,,,,,
5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,0.28,28,True,3.1,hulk,Hulk,5,Givanildo Vieira de Souza,Hulk,39148,282,2,13.6,5.37,21,,,3.0,9.0,7.0,25.0,18.0,27.0,52.0,1.0,4.0,7.0,,,,,,,,
6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,0.0,28,False,0.0,alan-franco,A. Franco,4,Alan Steven Franco Palma,Alan Franco,39656,282,2,4.44,1.9,20,,,,2.0,27.0,28.0,,2.0,13.0,,,,,,,,,,,
7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,COR,-0.68,28,True,3.15,dorival-junior,D. Júnior,6,Dorival Silvestre Júnior,Dorival Júnior,40990,264,7,9.99,5.19,22,,,,,,,,,,,,,,,6.0,,,,,
8,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,0.0,28,False,0.0,willian,Willian,4,Willian Borges da Silva,Willian,42135,284,5,9.58,3.7,2,,,1.0,,1.0,2.0,,,3.0,,,,,,,,,,,
9,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,0.18,28,True,1.5,osvaldo,Osvaldo,5,Osvaldo Lourenço Filho,Osvaldo,42222,287,2,3.87,1.98,22,,,2.0,3.0,9.0,6.0,6.0,8.0,17.0,1.0,,4.0,,,,,,,,
10,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,-0.54,28,True,0.0,cassio,Cássio,1,Cássio Roberto Ramos,Cássio,42234,283,6,9.22,5.24,27,78.0,20.0,,4.0,,,,,4.0,,,,,11.0,,,1.0,,,
11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,0.0,28,False,0.0,fagner,Fagner,2,Fagner Conserva Lemos,Fagner,42500,283,6,8.51,6.1,9,,,,1.0,20.0,11.0,,1.0,7.0,,,1.0,,5.0,,,,,,
12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,0.0,28,False,0.0,walter,Walter,1,Walter Leandro Capeloza Artune,Walter,51413,2305,7,9.61,6.97,19,77.0,16.0,,2.0,,,,,3.0,,,,,7.0,,,2.0,,,
13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,0.0,28,False,0.0,everton-ribeiro,E. Ribeiro,4,Everton Augusto de Barros Ribeiro,Everton Ribeiro,51772,265,5,7.57,4.3,23,,,3.0,3.0,31.0,18.0,5.0,7.0,36.0,1.0,2.0,,,,,1.0,,,,
14,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,0.13,28,True,0.2,gilberto,Gilberto,5,Gilberto Oliveira Souza Júnior,Gilberto,61188,286,6,4.12,2.11,18,,,2.0,4.0,3.0,19.0,9.0,6.0,12.0,,2.0,4.0,,,,,,1.0,,
15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,-0.1,28,True,5.1,alex-sandro,A. Sandro,2,Alex Sandro Lobo Silva,Alex Sandro,61987,262,7,10.13,4.32,16,,,,3.0,14.0,33.0,1.0,3.0,15.0,,,1.0,,10.0,,,,,,
16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,0.0,28,False,0.0,ganso,Ganso,4,Paulo Henrique Chagas de Lima,Ganso,62977,266,5,5.49,1.18,14,,,,2.0,7.0,6.0,,2.0,16.0,,,,,,,,,,,
17,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,0.0,28,False,0.0,neymar,Neymar,4,Neymar da Silva Santos Júnior,Neymar,63007,277,5,13.81,4.78,13,,,,4.0,3.0,15.0,9.0,9.0,49.0,1.0,3.0,2.0,,,,1.0,,,,
18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,0.0,28,False,0.0,rafael-toloi,R. Tolói,3,Rafael Toloi,Rafael Tolói,63008,276,6,9.37,5.63,3,,,,,8.0,2.0,,,1.0,,,,,1.0,,,,,,
19,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,1.14,28,True,9.2,marcos-rocha,M. Rocha,2,Marcos Luis Rocha Aquino,Marcos Rocha,63013,284,7,10.95,7.25,6,,,,,20.0,4.0,1.0,,7.0,,,,,2.0,,,,,,
20,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,-0.43,28,True,-0.6,alan-ruschel,A. Ruschel,2,Alan Luciano Ruschel,Alan Ruschel,63110,286,3,4.86,2.19,14,,,,2.0,13.0,12.0,,,20.0,,,3.0,,2.0,,1.0,,,,
21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,0.56,28,True,4.0,edenilson,Edenílson,4,Edenílson Andrade dos Santos,Edenílson,63289,284,7,5.47,2.68,20,,,1.0,4.0,9.0,11.0,3.0,4.0,22.0,,3.0,1.0,1.0,,,,,,,
