,atletas.apelido_abreviado,atletas.foto,atletas.pontos_num,atletas.jogos_num,atletas.variacao_num,atletas.rodada_id,atletas.status_id,atletas.preco_num,atletas.atleta_id,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.slug,atletas.clube_id,atletas.apelido,atletas.nome,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,DE,GS,CV,V,PP,DP,PC,GC
0,M. Menezes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.59,23,-0.9,29,7,9.21,37281,GRE,True,mano-menezes,284,Mano Menezes,Luis Antônio Venker de Menezes,5.1,6,,,,,,,,,,,,,,,,7.0,,,,
1,L. Condé,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,2.61,26,-0.41,29,7,8.13,37457,CEA,True,leo-conde,354,Léo Condé,Leonardo Rodrigues Condé,5.23,6,,,,,,,,,,,,,,,,8.0,,,,
2,Fábio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,1.9,27,-0.69,29,7,8.18,37656,FLU,True,fabio,266,Fábio,Fábio Deivson Lopes Maciel,3.59,1,,1.0,,,,,3.0,,,9.0,,,60.0,33.0,,,,1.0,,
3,T. Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,17,-1.94,29,7,8.1,37715,FLU,True,thiago-silva,266,Thiago Silva,Thiago Emiliano da Silva,3.65,3,,1.0,6.0,8.0,3.0,5.0,6.0,1.0,,7.0,1.0,,,,,,,,,
4,Nenê,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,16,-0.19,29,6,4.1,38913,JUV,True,nene,286,Nenê,Anderson Luis de Carvalho - Luiz,2.44,4,3.0,1.0,2.0,3.0,2.0,3.0,20.0,1.0,,,,,,,,,,,,
5,Hulk,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2.1,22,-0.39,29,7,13.21,39148,CAM,True,hulk,282,Hulk,Givanildo Vieira de Souza,5.22,5,3.0,9.0,7.0,29.0,18.0,28.0,57.0,4.0,7.0,,1.0,,,,,,,,,
6,A. Franco,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,-0.7,21,-0.37,29,7,4.07,39656,CAM,True,alan-franco,282,Alan Franco,Alan Steven Franco Palma,1.78,4,,3.0,28.0,32.0,,2.0,13.0,,,,,,,,,,,,,
7,D. Júnior,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,7.55,23,0.52,29,7,10.51,40990,COR,True,dorival-junior,264,Dorival Júnior,Dorival Silvestre Júnior,5.29,6,,,,,,,,,,,,,,,,7.0,,,,
8,Willian,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,2,0.0,29,5,9.58,42135,GRE,False,willian,284,Willian,Willian Borges da Silva,3.7,4,1.0,,1.0,2.0,,,3.0,,,,,,,,,,,,,
9,Osvaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,23,-0.28,29,6,3.59,42222,VIT,True,osvaldo,287,Osvaldo,Osvaldo Lourenço Filho,1.89,5,2.0,3.0,9.0,6.0,6.0,8.0,17.0,,4.0,,1.0,,,,,,,,,
