,atletas.entrou_em_campo,atletas.nome,atletas.slug,atletas.preco_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.variacao_num,atletas.pontos_num,atletas.rodada_id,atletas.apelido,atletas.posicao_id,atletas.clube_id,atletas.media_num,atletas.status_id,atletas.jogos_num,atletas.foto,atletas.clube.id.full.name,atletas.apelido_abreviado,DS,FC,FD,FF,FS,I,A,CA,SG,DE,GS,CV,PP,V,FT,G,PC,DP,PS,GC
0,True,Leonardo Rodrigues Condé,leo-conde,6.84,,37457,-0.26,3.45,3,Léo Condé,6,354,6.36,6,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,L. Condé,,,,,,,,,,,,,,1.0,,,,,,
1,True,Fábio Deivson Lopes Maciel,fabio,11.27,,37656,0.12,6.3,3,Fábio,1,266,3.7,7,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,Fábio,,,,,,,,,1.0,7.0,3.0,,,,,,,,,
2,True,Thiago Emiliano da Silva,thiago-silva,11.19,,37715,-0.12,5.2,3,Thiago Silva,3,266,2.67,5,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,T. Silva,,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,
3,False,Renato Soares de Oliveira Augusto,renato-augusto,7.0,,38398,0.0,0.0,3,Renato Augusto,4,266,0.0,6,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,R. Augusto,,,,,,,,,,,,,,,,,,,,
4,False,Anderson Luis de Carvalho - Luiz,nene,4.53,,38913,0.0,0.0,3,Nenê,4,286,1.0,6,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,Nenê,,,,,2.0,,,,,,,,,,,,,,,
5,True,Givanildo Vieira de Souza,hulk,18.24,,39148,-0.85,5.5,3,Hulk,5,282,4.47,7,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,Hulk,,2.0,6.0,5.0,6.0,2.0,,,,,,,,,,,,,,
6,False,Alan Steven Franco Palma,alan-franco,5.46,,39656,0.0,0.0,3,Alan Franco,4,282,0.95,5,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,A. Franco,1.0,2.0,,,2.0,,,,,,,,,,,,,,,
7,True,Renato Portaluppi,renato-gaucho,10.45,,41929,0.86,7.41,3,Renato Gaúcho,6,266,6.56,7,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,R. Gaúcho,,,,,,,,,,,,,,2.0,,,,,,
8,False,Osvaldo Lourenço Filho,osvaldo,4.17,,42222,0.0,0.0,3,Osvaldo,5,287,0.0,6,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,Osvaldo,,,,,,,,,,,,,,,,,,,,
9,True,Cássio Roberto Ramos,cassio,8.66,,42234,-0.9,0.3,3,Cássio,1,283,4.77,7,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,Cássio,,,,,,,,2.0,,11.0,5.0,,,,,,,1.0,,
