,atletas.jogos_num,atletas.foto,atletas.media_num,atletas.nome,atletas.status_id,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.variacao_num,atletas.entrou_em_campo,atletas.rodada_id,atletas.preco_num,atletas.clube_id,atletas.posicao_id,atletas.apelido,atletas.slug,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,DE,GS,FT,V,CV,DP,PP,PC,GC
0,24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5.27,Luis Antônio Venker de Menezes,7,37281,M. Menezes,GRE,0.87,True,30,10.08,284,6,Mano Menezes,mano-menezes,9.16,,,,,,,,,,,,,,,8.0,,,,,
1,27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,5.13,Leonardo Rodrigues Condé,7,37457,L. Condé,CEA,-0.09,True,30,8.04,354,6,Léo Condé,leo-conde,2.61,,,,,,,,,,,,,,,8.0,,,,,
2,28,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3.64,Fábio Deivson Lopes Maciel,7,37656,Fábio,FLU,0.34,True,30,8.52,266,1,Fábio,fabio,5.0,,1.0,,,,,3.0,,,,10.0,60.0,33.0,,,,1.0,,,
3,18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3.81,Thiago Emiliano da Silva,7,37715,T. Silva,FLU,0.81,True,30,8.91,266,3,Thiago Silva,thiago-silva,6.5,,1.0,7.0,8.0,3.0,5.0,6.0,1.0,,,8.0,,,1.0,,,,,,
4,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.44,Anderson Luis de Carvalho - Luiz,6,38913,Nenê,JUV,0.0,False,30,4.1,286,4,Nenê,nene,0.0,3.0,1.0,2.0,3.0,2.0,3.0,20.0,1.0,,,,,,,,,,,,
5,23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5.13,Givanildo Vieira de Souza,7,39148,Hulk,CAM,-0.07,True,30,13.14,282,5,Hulk,hulk,3.1,3.0,9.0,7.0,31.0,19.0,30.0,59.0,4.0,8.0,,,,,1.0,,,,,,
6,22,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2.15,Alan Steven Franco Palma,7,39656,A. Franco,CAM,1.52,True,30,5.59,282,4,Alan Franco,alan-franco,10.0,,3.0,29.0,32.0,,2.0,14.0,1.0,,,,,,,,,,,,
7,24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,5.35,Dorival Silvestre Júnior,7,40990,D. Júnior,COR,-0.15,True,30,10.36,264,6,Dorival Júnior,dorival-junior,6.65,,,,,,,,,,,,,,,8.0,,,,,
8,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,3.7,Willian Borges da Silva,5,42135,Willian,GRE,0.0,False,30,9.58,284,4,Willian,willian,0.0,1.0,,1.0,2.0,,,3.0,,,,,,,,,,,,,
9,23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,1.89,Osvaldo Lourenço Filho,6,42222,Osvaldo,VIT,0.0,False,30,3.59,287,5,Osvaldo,osvaldo,0.0,2.0,3.0,9.0,6.0,6.0,8.0,17.0,,4.0,,,,,1.0,,,,,,
10,28,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,5.43,Cássio Roberto Ramos,7,42234,Cássio,CRU,1.33,True,30,10.55,283,1,Cássio,cassio,10.7,,4.0,,,,,5.0,,,,12.0,82.0,20.0,,,,1.0,,,
11,9,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,6.1,Fagner Conserva Lemos,6,42500,Fagner,CRU,0.0,False,30,8.51,283,2,Fagner,fagner,0.0,,1.0,20.0,11.0,,1.0,7.0,,1.0,,5.0,,,,,,,,,
12,21,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6.87,Walter Leandro Capeloza Artune,7,51413,Walter,MIR,-0.91,True,30,10.38,2305,1,Walter,walter,2.9,,2.0,,,,,3.0,,,,8.0,83.0,17.0,,,,2.0,,,
13,23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4.3,Everton Augusto de Barros Ribeiro,5,51772,E. Ribeiro,BAH,0.0,False,30,7.57,265,4,Everton Ribeiro,everton-ribeiro,0.0,3.0,3.0,31.0,18.0,5.0,7.0,36.0,2.0,,,,,,1.0,,1.0,,,,
