,atletas.apelido,atletas.entrou_em_campo,atletas.rodada_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube_id,atletas.preco_num,atletas.media_num,atletas.foto,atletas.jogos_num,atletas.variacao_num,atletas.nome,atletas.pontos_num,atletas.status_id,atletas.slug,atletas.clube.id.full.name,CA,DS,FC,FF,FS,I,SG,A,FD,G,PS,DE,GS,FT,V,CV,DP,PP,PC,GC
0,Mano Menezes,True,31,6,M. Menezes,37281,284,9.35,5.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,25,-0.73,Luis Antônio Venker de Menezes,3.45,7,mano-menezes,GRE,,,,,,,,,,,,,,,8.0,,,,,
1,Léo Condé,True,31,6,L. Condé,37457,354,9.0,5.28,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,28,0.96,Leonardo Rodrigues Condé,9.22,7,leo-conde,CEA,,,,,,,,,,,,,,,9.0,,,,,
2,Fábio,True,31,1,Fábio,37656,266,8.1,3.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,29,-0.42,Fábio Deivson Lopes Maciel,1.9,7,fabio,FLU,1.0,,,,3.0,,10.0,,,,,63.0,35.0,,,,1.0,,,
3,Thiago Silva,False,31,3,T. Silva,37715,266,8.91,3.81,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,18,0.0,Thiago Emiliano da Silva,0.0,7,thiago-silva,FLU,1.0,7.0,8.0,5.0,6.0,,8.0,,3.0,1.0,,,,1.0,,,,,,
4,Nenê,True,31,4,Nenê,38913,286,4.85,2.61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,17,0.75,Anderson Luis de Carvalho - Luiz,5.3,6,nene,JUV,1.0,3.0,4.0,3.0,21.0,,,3.0,5.0,1.0,,,,,,,,,,
5,Hulk,True,31,5,Hulk,39148,282,12.81,4.97,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,24,-0.33,Givanildo Vieira de Souza,1.4,6,hulk,CAM,9.0,8.0,33.0,30.0,60.0,8.0,,3.0,19.0,4.0,,,,1.0,,,,,,
6,Alan Franco,True,31,4,A. Franco,39656,282,4.54,2.13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,23,-1.05,Alan Steven Franco Palma,1.7,7,alan-franco,CAM,3.0,30.0,33.0,2.0,15.0,,,,,1.0,,,,,,,,,,
7,Vagner Mancini,True,31,6,V. Mancini,39850,280,8.84,2.8,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,1,0.26,Vagner Carmo Mancini,2.8,6,vagner-mancini,RBB,,,,,,,,,,,,,,,,,,,,
8,Dorival Júnior,True,31,6,D. Júnior,40990,264,10.62,5.46,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,25,0.26,Dorival Silvestre Júnior,7.98,7,dorival-junior,COR,,,,,,,,,,,,,,,9.0,,,,,
9,Willian,False,31,4,Willian,42135,284,9.58,3.7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2,0.0,Willian Borges da Silva,0.0,5,willian,GRE,,1.0,2.0,,3.0,,,1.0,,,,,,,,,,,,
