,atletas.atleta_id,atletas.posicao_id,atletas.slug,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.foto,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.media_num,atletas.variacao_num,atletas.apelido,atletas.status_id,atletas.jogos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,FS,DE,GS,SG,A,CA,DS,FC,FD,FF,FT,G,I,PS,V,CV,DP,PP,PC,GC
0,37281,6,mano-menezes,GRE,3.33,9.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,M. Menezes,5.13,-0.01,Mano Menezes,7,26,284,32,Luis Antônio Venker de Menezes,,,,,,,,,,,,,,,8.0,,,,,
1,37457,6,leo-conde,CEA,3.69,8.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,L. Condé,5.23,-0.67,Léo Condé,7,29,354,32,Leonardo Rodrigues Condé,,,,,,,,,,,,,,,9.0,,,,,
2,37656,1,fabio,FLU,8.1,9.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,Fábio,3.73,0.9,Fábio,7,30,266,32,Fábio Deivson Lopes Maciel,4.0,65.0,35.0,11.0,,1.0,,,,,,,,,,,1.0,,,
3,37715,3,thiago-silva,FLU,5.0,8.81,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,T. Silva,3.87,-0.1,Thiago Silva,7,19,266,32,Thiago Emiliano da Silva,6.0,,,9.0,,1.0,7.0,8.0,3.0,5.0,1.0,1.0,,,,,,,,
4,38913,4,nene,JUV,1.3,4.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,Nenê,2.54,-0.51,Nenê,7,18,286,32,Anderson Luis de Carvalho - Luiz,21.0,,,,3.0,1.0,3.0,6.0,6.0,4.0,,1.0,1.0,,,,,,,
5,39148,5,hulk,CAM,10.8,14.15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,Hulk,5.2,1.34,Hulk,7,25,282,32,Givanildo Vieira de Souza,60.0,,,,3.0,9.0,8.0,33.0,20.0,32.0,1.0,5.0,8.0,,,,,,,
6,39656,4,alan-franco,CAM,6.9,5.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,A. Franco,2.33,0.8,Alan Franco,7,24,282,32,Alan Steven Franco Palma,15.0,,,,,3.0,33.0,33.0,,5.0,,1.0,,,,,,,,
7,39850,6,vagner-mancini,RBB,5.01,9.27,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,True,V. Mancini,3.9,0.43,Vagner Mancini,7,2,280,32,Vagner Carmo Mancini,,,,,,,,,,,,,,,1.0,,,,,
8,40990,6,dorival-junior,COR,2.51,9.91,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,True,D. Júnior,5.35,-0.71,Dorival Júnior,7,26,264,32,Dorival Silvestre Júnior,,,,,,,,,,,,,,,9.0,,,,,
9,42135,4,willian,GRE,0.0,9.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,False,Willian,3.7,0.0,Willian,5,2,284,32,Willian Borges da Silva,3.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,
10,42222,5,osvaldo,VIT,0.0,3.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,True,Osvaldo,1.76,-0.09,Osvaldo,6,25,287,32,Osvaldo Lourenço Filho,18.0,,,,2.0,3.0,9.0,6.0,6.0,8.0,1.0,,4.0,,,,,,,
11,42234,1,cassio,CRU,13.3,11.13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,Cássio,5.71,1.14,Cássio,7,30,283,32,Cássio Roberto Ramos,7.0,93.0,21.0,13.0,,4.0,,,,,,,,,,,1.0,,,
12,42500,2,fagner,CRU,0.0,8.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,False,Fagner,6.1,0.0,Fagner,6,9,283,32,Fagner Conserva Lemos,7.0,,,5.0,,1.0,20.0,11.0,,1.0,,,1.0,,,,,,,
13,51413,1,walter,MIR,2.9,10.4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,Walter,6.67,-0.45,Walter,7,23,2305,32,Walter Leandro Capeloza Artune,3.0,87.0,18.0,9.0,,2.0,,,,,,,,,,,2.0,,,
14,51772,4,everton-ribeiro,BAH,0.0,7.45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,False,E. Ribeiro,4.12,0.0,Everton Ribeiro,2,24,265,32,Everton Augusto de Barros Ribeiro,36.0,,,,3.0,3.0,31.0,18.0,5.0,7.0,1.0,2.0,,,,1.0,,,,
15,61188,5,gilberto,JUV,0.0,4.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,False,Gilberto,2.05,0.0,Gilberto,6,21,286,32,Gilberto Oliveira Souza Júnior,16.0,,,,2.0,5.0,6.0,23.0,9.0,7.0,,2.0,4.0,,,,,1.0,,
16,61987,2,alex-sandro,FLA,-0.1,9.09,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,True,A. Sandro,3.91,-0.35,Alex Sandro,7,18,262,32,Alex Sandro Lobo Silva,16.0,,,10.0,,4.0,16.0,37.0,1.0,3.0,,,1.0,,,,,,,
17,62977,4,ganso,FLU,0.0,5.49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,False,Ganso,1.18,0.0,Ganso,6,14,266,32,Paulo Henrique Chagas de Lima,16.0,,,,,2.0,7.0,6.0,,2.0,,,,,,,,,,
18,63007,4,neymar,SAN,0.0,14.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,Neymar,5.09,0.0,Neymar,6,14,277,32,Neymar da Silva Santos Júnior,53.0,,,,1.0,4.0,3.0,16.0,11.0,9.0,1.0,3.0,2.0,,,1.0,,,,
19,63008,3,rafael-toloi,SAO,0.0,9.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,R. Tolói,5.63,0.0,Rafael Tolói,6,3,276,32,Rafael Toloi,1.0,,,1.0,,,8.0,2.0,,,,,,,,,,,,
20,63013,2,marcos-rocha,GRE,0.0,9.61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,False,M. Rocha,6.43,0.0,Marcos Rocha,5,7,284,32,Marcos Luis Rocha Aquino,7.0,,,2.0,,,21.0,4.0,1.0,,,,,,,,,,,
21,63110,2,alan-ruschel,JUV,0.0,5.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,False,A. Ruschel,2.25,0.0,Alan Ruschel,2,16,286,32,Alan Luciano Ruschel,24.0,,,2.0,,3.0,16.0,13.0,1.0,,,,3.0,,,1.0,,,1.0,
22,63289,4,edenilson,GRE,2.0,5.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,Edenílson,2.55,0.04,Edenílson,7,24,284,32,Edenílson Andrade dos Santos,29.0,,,,1.0,5.0,12.0,15.0,3.0,6.0,,3.0,1.0,1.0,,,,,,
23,68685,4,alan-patrick,INT,2.4,12.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,True,A. Patrick,6.1,-0.09,Alan Patrick,7,24,285,32,Alan Patrick Lourenço,33.0,,,,5.0,5.0,18.0,21.0,7.0,9.0,2.0,9.0,5.0,,,,,1.0,,
24,68708,4,eduardo,CRU,0.5,3.26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,Eduardo,1.35,-0.48,Eduardo,6,25,283,32,Carlos Eduardo de Oliveira Alves,13.0,,,,,1.0,15.0,19.0,2.0,4.0,,1.0,1.0,1.0,,1.0,,,,
25,68806,1,neto,BOT,0.0,7.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,False,Neto,2.03,0.0,Neto,5,3,263,32,Norberto Murara Neto,,7.0,3.0,,,,,,,,,,,,,,,,,
26,68811,4,oscar,SAO,0.0,11.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,Oscar,1.67,0.0,Oscar,6,6,276,32,Oscar dos Santos Emboaba Júnior,4.0,,,,,1.0,5.0,3.0,2.0,,,,,,,,,,,
27,68872,1,marcelo-lomba,PAL,0.0,7.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,False,M. Lomba,3.2,0.0,Marcelo Lomba,6,1,275,32,Marcelo Lomba do Nascimento,,4.0,2.0,,,,,,,,,,,,,,,,,
28,68899,4,philippe-coutinho,VAS,-0.3,9.11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,True,P. Coutinho,4.46,-0.38,Philippe Coutinho,7,24,267,32,Philippe Coutinho Correia,34.0,,,,3.0,1.0,9.0,16.0,16.0,19.0,1.0,4.0,1.0,1.0,,1.0,,,,
29,68920,5,dudu,CAM,4.3,7.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,Dudu,2.43,0.57,Dudu,7,14,282,32,Eduardo Pereira Rodrigues,15.0,,,,1.0,,6.0,6.0,1.0,3.0,1.0,1.0,2.0,,,,,,,
30,68928,1,rafael,SAO,-2.0,9.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,True,Rafael,5.14,-2.3,Rafael,7,29,276,32,Rafael Pires Monteiro,6.0,99.0,32.0,10.0,,2.0,1.0,,,,,,,,,,,,,
31,68952,5,marinho,FOR,0.0,6.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,False,Marinho,3.02,0.0,Marinho,6,16,356,32,Mário Sérgio Santos Costa,22.0,,,,2.0,2.0,11.0,24.0,5.0,13.0,,1.0,13.0,,,1.0,,,,
32,68991,4,lucas-sasha,FOR,3.2,8.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,L. Sasha,5.61,-0.18,Lucas Sasha,7,23,356,32,Lucas Pacheco Affini,19.0,,,,,2.0,78.0,43.0,6.0,4.0,,1.0,1.0,,,,,,1.0,
33,68996,5,willian-jose,BAH,1.2,7.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,True,W. José,4.61,-2.07,Willian José,7,25,265,32,Willian José da Silva,12.0,,,,5.0,3.0,1.0,9.0,10.0,8.0,2.0,8.0,2.0,,,,,,,
34,69014,3,manoel,FLU,0.0,5.3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,False,Manoel,2.46,0.0,Manoel,6,5,266,32,Manoel Messias Silva Carvalho,2.0,,,2.0,,,,1.0,,2.0,,,,,,,,,,
35,69051,1,danilo-fernandes,BAH,0.0,3.55,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,False,D. Fernandes,-1.0,0.0,Danilo Fernandes,6,0,265,32,Danilo Fernandes Batista,,,,,,1.0,,,,,,,,,,,,,,
36,69138,5,pablo,SPT,1.9,5.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,True,Pablo,1.89,0.22,Pablo,7,16,292,32,Pablo Felipe Teixeira,16.0,,,,,1.0,7.0,11.0,2.0,8.0,,1.0,7.0,,,,,,,
37,69140,4,allan,BOT,0.0,3.24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,True,Allan,1.38,0.11,Allan,6,17,263,32,Allan Marques Loureiro,9.0,,,,,6.0,20.0,23.0,1.0,1.0,,,,,,,,,,
38,69783,3,danilo,FLA,-1.3,10.52,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,True,Danilo,3.46,-1.15,Danilo,7,15,262,32,Danilo Luiz da Silva,5.0,,,7.0,,2.0,8.0,15.0,2.0,2.0,,1.0,,,,1.0,,,,
39,70164,4,lucas-moura,SAO,1.3,6.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,True,L. Moura,3.74,-0.88,Lucas Moura,2,9,276,32,Lucas Rodrigues Moura da Silva,9.0,,,,,,6.0,4.0,2.0,5.0,,2.0,1.0,,,,,,1.0,
40,70221,3,bruno-uvini,VIT,0.0,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,B. Uvini,0.0,0.0,Bruno Uvini,6,0,287,32,Bruno Uvini Bortolança,,,,,,,,,,,,,,,,,,,,
41,70360,5,eduardo-sasha,RBB,9.2,8.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,True,E. Sasha,4.24,0.69,Eduardo Sasha,3,28,280,32,Eduardo Colcenti Antunes,31.0,,,,2.0,6.0,10.0,9.0,21.0,14.0,2.0,6.0,3.0,,,1.0,,,,
