,atletas.preco_num,atletas.foto,atletas.media_num,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.clube_id,atletas.jogos_num,atletas.nome,atletas.entrou_em_campo,atletas.apelido,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.pontos_num,atletas.variacao_num,atletas.rodada_id,atletas.status_id,CA,DS,FC,FD,FF,FS,G,I,SG,A,PS,DE,GS,FT,CV,V,DP,PC,PP,GC
0,9.46,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5.11,6,mano-menezes,37281,284,27,Luis Antônio Venker de Menezes,True,Mano Menezes,M. Menezes,GRE,4.61,0.12,33,7,,,,,,,,,,,,,,,,8.0,,,,
1,8.98,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,5.34,6,leo-conde,37457,354,30,Leonardo Rodrigues Condé,True,Léo Condé,L. Condé,CEA,8.43,0.65,33,7,,,,,,,,,,,,,,,,10.0,,,,
2,9.53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3.98,1,fabio,37656,266,31,Fábio Deivson Lopes Maciel,True,Fábio,Fábio,FLU,11.5,0.53,33,7,1.0,,,,,4.0,,,12.0,,,70.0,35.0,,,,1.0,,,
3,8.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3.93,3,thiago-silva,37715,266,20,Thiago Emiliano da Silva,True,Thiago Silva,T. Silva,FLU,5.0,-0.03,33,7,1.0,7.0,8.0,3.0,5.0,6.0,1.0,,10.0,,,,,1.0,,,,,,
4,5.76,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.97,4,nene,38913,286,19,Anderson Luis de Carvalho - Luiz,True,Nenê,Nenê,JUV,10.7,1.42,33,7,2.0,3.0,7.0,7.0,5.0,25.0,2.0,1.0,,3.0,,,,,,,,,,
5,15.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5.69,5,hulk,39148,282,26,Givanildo Vieira de Souza,True,Hulk,Hulk,CAM,18.0,1.1,33,6,9.0,8.0,33.0,20.0,32.0,60.0,6.0,8.0,,5.0,,,,1.0,,,,,,
6,5.12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2.43,4,alan-franco,39656,282,25,Alan Steven Franco Palma,True,Alan Franco,A. Franco,CAM,4.9,-0.22,33,6,3.0,36.0,35.0,,5.0,17.0,1.0,,,,,,,,,,,,,
7,10.13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,5.45,6,vagner-mancini,39850,280,3,Vagner Carmo Mancini,True,Vagner Mancini,V. Mancini,RBB,8.55,0.86,33,6,,,,,,,,,,,,,,,,2.0,,,,
8,9.9,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,5.27,6,dorival-junior,40990,264,27,Dorival Silvestre Júnior,True,Dorival Júnior,D. Júnior,COR,3.11,-0.01,33,7,,,,,,,,,,,,,,,,9.0,,,,
9,9.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,3.7,4,willian,42135,284,2,Willian Borges da Silva,False,Willian,Willian,GRE,0.0,0.0,33,5,,1.0,2.0,,,3.0,,,,1.0,,,,,,,,,,
10,3.52,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,1.71,5,osvaldo,42222,287,26,Osvaldo Lourenço Filho,True,Osvaldo,Osvaldo,VIT,0.5,0.01,33,6,3.0,9.0,6.0,6.0,8.0,19.0,,4.0,,2.0,,,,1.0,,,,,,
11,10.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,5.85,1,cassio,42234,283,31,Cássio Roberto Ramos,True,Cássio,Cássio,CRU,9.9,-0.38,33,7,4.0,,,,,9.0,,,14.0,,,96.0,21.0,,,,1.0,,,
12,8.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,6.1,2,fagner,42500,283,9,Fagner Conserva Lemos,False,Fagner,Fagner,CRU,0.0,0.0,33,6,1.0,20.0,11.0,,1.0,7.0,,1.0,5.0,,,,,,,,,,,
13,10.53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6.58,1,walter,51413,2305,24,Walter Leandro Capeloza Artune,True,Walter,Walter,MIR,4.5,0.13,33,7,3.0,,,,,3.0,,,9.0,,,92.0,19.0,,,,2.0,,,
14,7.76,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4.06,4,everton-ribeiro,51772,265,25,Everton Augusto de Barros Ribeiro,True,Everton Ribeiro,E. Ribeiro,BAH,2.7,0.31,33,2,3.0,32.0,19.0,5.0,7.0,39.0,2.0,,,3.0,,,,1.0,1.0,,,,,
15,4.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.05,5,gilberto,61188,286,21,Gilberto Oliveira Souza Júnior,False,Gilberto,Gilberto,JUV,0.0,0.0,33,6,5.0,6.0,23.0,9.0,7.0,16.0,2.0,4.0,,2.0,,,,,,,,,1.0,
16,9.09,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,3.91,2,alex-sandro,61987,262,18,Alex Sandro Lobo Silva,False,Alex Sandro,A. Sandro,FLA,0.0,0.0,33,6,4.0,16.0,37.0,1.0,3.0,16.0,,1.0,10.0,,,,,,,,,,,
17,5.49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,1.18,4,ganso,62977,266,14,Paulo Henrique Chagas de Lima,False,Ganso,Ganso,FLU,0.0,0.0,33,6,2.0,7.0,6.0,,2.0,16.0,,,,,,,,,,,,,,
18,13.67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,4.88,4,neymar,63007,277,15,Neymar da Silva Santos Júnior,True,Neymar,Neymar,SAN,1.9,-1.11,33,7,5.0,3.0,16.0,12.0,10.0,55.0,3.0,3.0,,1.0,,,,1.0,1.0,,,,,
19,9.37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.63,3,rafael-toloi,63008,276,3,Rafael Toloi,False,Rafael Tolói,R. Tolói,SAO,0.0,0.0,33,6,,8.0,2.0,,,1.0,,,1.0,,,,,,,,,,,
