,atletas.apelido_abreviado,atletas.preco_num,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.entrou_em_campo,atletas.apelido,atletas.foto,atletas.media_num,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.pontos_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.variacao_num,CA,DS,FC,FD,FF,FS,G,I,SG,A,DE,GS,PS,FT,V,CV,DP,PC,PP,GC
0,M. Menezes,10.3,37281,284,Luis Antônio Venker de Menezes,7,True,Mano Menezes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5.28,mano-menezes,6,34,9.77,GRE,28,0.84,,,,,,,,,,,,,,,9.0,,,,,
1,L. Condé,8.2,37457,354,Leonardo Rodrigues Condé,7,True,Léo Condé,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,5.23,leo-conde,6,34,2.07,CEA,31,-0.78,,,,,,,,,,,,,,,10.0,,,,,
2,Fábio,8.49,37656,266,Fábio Deivson Lopes Maciel,7,True,Fábio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3.95,fabio,1,34,2.9,FLU,32,-1.04,1.0,,,,,4.0,,,12.0,,73.0,36.0,,,,,1.0,,,
3,T. Silva,8.1,37715,266,Thiago Emiliano da Silva,7,True,Thiago Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3.74,thiago-silva,3,34,0.0,FLU,21,-0.68,1.0,7.0,8.0,3.0,5.0,6.0,1.0,,10.0,,,,,1.0,,,,,,
4,Nenê,4.59,38913,286,Anderson Luis de Carvalho - Luiz,3,True,Nenê,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.89,nene,4,34,1.3,JUV,20,-1.17,3.0,4.0,10.0,8.0,5.0,26.0,2.0,1.0,,3.0,,,,,,,,,,
5,Hulk,15.25,39148,282,Givanildo Vieira de Souza,6,False,Hulk,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5.69,hulk,5,34,0.0,CAM,26,0.0,9.0,8.0,33.0,20.0,32.0,60.0,6.0,8.0,,5.0,,,,1.0,,,,,,
6,A. Franco,5.12,39656,282,Alan Steven Franco Palma,6,False,Alan Franco,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2.43,alan-franco,4,34,0.0,CAM,25,0.0,3.0,36.0,35.0,,5.0,17.0,1.0,,,,,,,,,,,,,
7,V. Mancini,10.13,39850,280,Vagner Carmo Mancini,7,False,Vagner Mancini,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,5.45,vagner-mancini,6,34,0.0,RBB,3,0.0,,,,,,,,,,,,,,,2.0,,,,,
8,D. Júnior,10.39,40990,264,Dorival Silvestre Júnior,7,True,Dorival Júnior,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,5.3,dorival-junior,6,34,6.15,COR,28,0.49,,,,,,,,,,,,,,,10.0,,,,,
9,Willian,9.58,42135,284,Willian Borges da Silva,6,False,Willian,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,3.7,willian,4,34,0.0,GRE,2,0.0,,1.0,2.0,,,3.0,,,,1.0,,,,,,,,,,
10,Osvaldo,3.52,42222,287,Osvaldo Lourenço Filho,6,False,Osvaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,1.71,osvaldo,5,34,0.0,VIT,26,0.0,3.0,9.0,6.0,6.0,8.0,19.0,,4.0,,2.0,,,,1.0,,,,,,
11,Cássio,9.8,42234,283,Cássio Roberto Ramos,7,True,Cássio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,5.74,cassio,1,34,2.2,CRU,32,-0.95,4.0,,,,,9.0,,,14.0,,100.0,24.0,,,,,1.0,,,
12,Fagner,8.51,42500,283,Fagner Conserva Lemos,6,False,Fagner,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,6.1,fagner,2,34,0.0,CRU,9,0.0,1.0,20.0,11.0,,1.0,7.0,,1.0,5.0,,,,,,,,,,,
13,Walter,11.02,51413,2305,Walter Leandro Capeloza Artune,7,True,Walter,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6.61,walter,1,34,7.3,MIR,25,0.49,3.0,,,,,4.0,,,9.0,,98.0,20.0,,,,,2.0,,,
14,E. Ribeiro,7.69,51772,265,Everton Augusto de Barros Ribeiro,7,True,Everton Ribeiro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,3.98,everton-ribeiro,4,34,2.0,BAH,26,-0.07,3.0,33.0,19.0,5.0,7.0,40.0,2.0,,,3.0,,,,1.0,,1.0,,,,
15,Gilberto,4.05,61188,286,Gilberto Oliveira Souza Júnior,5,False,Gilberto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.05,gilberto,5,34,0.0,JUV,21,0.0,5.0,6.0,23.0,9.0,7.0,16.0,2.0,4.0,,2.0,,,,,,,,,1.0,
16,A. Sandro,9.09,61987,262,Alex Sandro Lobo Silva,7,False,Alex Sandro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,3.91,alex-sandro,2,34,0.0,FLA,18,0.0,4.0,16.0,37.0,1.0,3.0,16.0,,1.0,10.0,,,,,,,,,,,
17,Ganso,5.49,62977,266,Paulo Henrique Chagas de Lima,6,False,Ganso,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,1.18,ganso,4,34,0.0,FLU,14,0.0,2.0,7.0,6.0,,2.0,16.0,,,,,,,,,,,,,,
18,Neymar,15.82,63007,277,Neymar da Silva Santos Júnior,7,True,Neymar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,5.56,neymar,4,34,15.7,SAN,16,2.15,5.0,4.0,17.0,13.0,13.0,57.0,4.0,4.0,,1.0,,,,2.0,,1.0,,1.0,,
19,R. Tolói,10.2,63008,276,Rafael Toloi,2,True,Rafael Tolói,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.85,rafael-toloi,3,34,6.5,SAO,4,0.83,,12.0,2.0,,,2.0,,,1.0,,,,,,,,,,,
20,M. Rocha,10.67,63013,284,Marcos Luis Rocha Aquino,2,True,Marcos Rocha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,6.64,marcos-rocha,2,34,8.1,GRE,8,1.06,,23.0,5.0,1.0,,8.0,,1.0,3.0,,,,,,,,,,,
21,A. Ruschel,4.68,63110,286,Alan Luciano Ruschel,3,True,Alan Ruschel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.07,alan-ruschel,2,34,-0.8,JUV,17,-0.89,4.0,16.0,14.0,1.0,,25.0,,3.0,2.0,,,,,,,1.0,,1.0,,
22,Edenílson,4.92,63289,284,Edenílson Andrade dos Santos,7,False,Edenílson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.5,edenilson,4,34,0.0,GRE,25,0.0,6.0,13.0,17.0,3.0,7.0,30.0,3.0,1.0,,1.0,,,1.0,,,,,,,
23,A. Patrick,13.53,68685,285,Alan Patrick Lourenço,7,True,Alan Patrick,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6.05,alan-patrick,4,34,8.7,INT,26,1.01,5.0,21.0,23.0,7.0,10.0,35.0,9.0,5.0,,6.0,,,,2.0,,,,,1.0,
24,Eduardo,3.08,68708,283,Carlos Eduardo de Oliveira Alves,7,False,Eduardo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1.28,eduardo,4,34,0.0,CRU,26,0.0,1.0,15.0,22.0,2.0,4.0,14.0,1.0,1.0,,,,,1.0,,,1.0,,,,
25,Neto,7.25,68806,263,Norberto Murara Neto,5,False,Neto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2.03,neto,1,34,0.0,BOT,3,0.0,,,,,,,,,,,7.0,3.0,,,,,,,,
26,Oscar,11.39,68811,276,Oscar dos Santos Emboaba Júnior,5,False,Oscar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1.67,oscar,4,34,0.0,SAO,6,0.0,1.0,5.0,3.0,2.0,,4.0,,,,,,,,,,,,,,
27,M. Lomba,7.63,68872,275,Marcelo Lomba do Nascimento,6,False,Marcelo Lomba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,3.2,marcelo-lomba,1,34,0.0,PAL,1,0.0,,,,,,,,,,,4.0,2.0,,,,,,,,
28,P. Coutinho,9.04,68899,267,Philippe Coutinho Correia,3,True,Philippe Coutinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,4.27,philippe-coutinho,4,34,0.0,VAS,26,-0.55,3.0,12.0,17.0,16.0,20.0,36.0,4.0,1.0,,3.0,,,1.0,1.0,,1.0,,,,
29,Dudu,7.68,68920,282,Eduardo Pereira Rodrigues,6,False,Dudu,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2.45,dudu,5,34,0.0,CAM,15,0.0,,6.0,6.0,1.0,6.0,16.0,1.0,3.0,,1.0,,,,1.0,,,,,,
30,Rafael,8.93,68928,276,Rafael Pires Monteiro,7,True,Rafael,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,4.76,rafael,1,34,-1.7,SAO,31,-0.3,2.0,1.0,,,,6.0,,,10.0,,101.0,36.0,,,,,,,,
31,Marinho,6.63,68952,356,Mário Sérgio Santos Costa,6,False,Marinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,3.02,marinho,5,34,0.0,FOR,16,0.0,2.0,11.0,24.0,5.0,13.0,22.0,1.0,13.0,,2.0,,,,,,1.0,,,,
32,L. Sasha,7.96,68991,356,Lucas Pacheco Affini,6,False,Lucas Sasha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,5.38,lucas-sasha,4,34,0.0,FOR,24,0.0,2.0,78.0,43.0,6.0,4.0,19.0,1.0,1.0,,,,,,,,,,1.0,,
33,W. José,9.57,68996,265,Willian José da Silva,7,True,Willian José,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,5.28,willian-jose,5,34,12.8,BAH,27,0.04,3.0,4.0,10.0,10.0,12.0,14.0,10.0,2.0,,5.0,,,,3.0,,,,,,
34,Manoel,5.3,69014,266,Manoel Messias Silva Carvalho,6,False,Manoel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,2.46,manoel,3,34,0.0,FLU,5,0.0,,,1.0,,2.0,2.0,,,2.0,,,,,,,,,,,
35,D. Fernandes,3.55,69051,265,Danilo Fernandes Batista,6,False,Danilo Fernandes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,-1.0,danilo-fernandes,1,34,0.0,BAH,0,0.0,1.0,,,,,,,,,,,,,,,,,,,
36,Pablo,5.72,69138,292,Pablo Felipe Teixeira,7,False,Pablo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2.07,pablo,5,34,0.0,SPT,17,0.0,1.0,7.0,13.0,2.0,8.0,17.0,1.0,7.0,,1.0,,,,,,,,,,
37,Allan,3.24,69140,263,Allan Marques Loureiro,6,False,Allan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1.38,allan,4,34,0.0,BOT,17,0.0,6.0,20.0,23.0,1.0,1.0,9.0,,,,,,,,,,,,,,
