,atletas.clube_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.nome,atletas.slug,atletas.apelido_abreviado,atletas.foto,atletas.apelido,atletas.jogos_num,atletas.media_num,atletas.pontos_num,atletas.variacao_num,atletas.entrou_em_campo,atletas.status_id,atletas.preco_num,atletas.rodada_id,atletas.atleta_id,CA,DS,FC,FD,FF,FS,G,I,SG,A,PS,DE,GS,V,FT,CV,DP,PC,PP,GC
0,284,GRE,6,Luis Antônio Venker de Menezes,mano-menezes,M. Menezes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Mano Menezes,29,5.26,4.83,-0.67,True,7,9.63,35,37281,,,,,,,,,,,,,,9.0,,,,,,
1,354,CEA,6,Leonardo Rodrigues Condé,leo-conde,L. Condé,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Léo Condé,32,5.15,2.75,0.02,True,7,8.22,35,37457,,,,,,,,,,,,,,10.0,,,,,,
2,266,FLU,1,Fábio Deivson Lopes Maciel,fabio,Fábio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Fábio,33,4.06,7.6,0.62,True,7,9.11,35,37656,1.0,,,,,4.0,,,13.0,,,75.0,36.0,,,,1.0,,,
3,266,FLU,3,Thiago Emiliano da Silva,thiago-silva,T. Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Thiago Silva,21,3.74,0.0,0.0,False,6,8.1,35,37715,1.0,7.0,8.0,3.0,5.0,6.0,1.0,,10.0,,,,,,1.0,,,,,
4,286,JUV,4,Anderson Luis de Carvalho - Luiz,nene,Nenê,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Nenê,20,2.89,0.0,0.0,False,3,4.59,35,38913,3.0,4.0,10.0,8.0,5.0,26.0,2.0,1.0,,3.0,,,,,,,,,,
5,282,CAM,5,Givanildo Vieira de Souza,hulk,Hulk,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Hulk,26,5.69,0.0,0.0,False,6,15.25,35,39148,9.0,8.0,33.0,20.0,32.0,60.0,6.0,8.0,,5.0,,,,,1.0,,,,,
6,282,CAM,4,Alan Steven Franco Palma,alan-franco,A. Franco,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Alan Franco,25,2.43,0.0,0.0,False,5,5.12,35,39656,3.0,36.0,35.0,,5.0,17.0,1.0,,,,,,,,,,,,,
7,280,RBB,6,Vagner Carmo Mancini,vagner-mancini,V. Mancini,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Vagner Mancini,4,4.57,1.94,-1.2,True,7,8.93,35,39850,,,,,,,,,,,,,,2.0,,,,,,
8,264,COR,6,Dorival Silvestre Júnior,dorival-junior,D. Júnior,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Dorival Júnior,29,5.2,2.37,-0.58,True,7,9.81,35,40990,,,,,,,,,,,,,,10.0,,,,,,
9,284,GRE,4,Willian Borges da Silva,willian,Willian,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Willian,2,3.7,0.0,0.0,False,6,9.58,35,42135,,1.0,2.0,,,3.0,,,,1.0,,,,,,,,,,
