,atletas.posicao_id,atletas.jogos_num,atletas.variacao_num,atletas.rodada_id,atletas.slug,atletas.preco_num,atletas.entrou_em_campo,atletas.nome,atletas.apelido_abreviado,atletas.media_num,atletas.foto,atletas.pontos_num,atletas.clube.id.full.name,atletas.atleta_id,atletas.clube_id,atletas.apelido,atletas.status_id,CA,DS,FC,FF,FS,I,SG,DE,GS,A,FD,G,PS,FT,V,CV,DP,PP,PC,GC
0,6,30,-0.07,37,mano-menezes,9.56,True,Luis Antônio Venker de Menezes,M. Menezes,5.26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5.15,GRE,37281,284,Mano Menezes,7,,,,,,,,,,,,,,,9.0,,,,,
1,6,34,-0.25,37,leo-conde,7.96,True,Leonardo Rodrigues Condé,L. Condé,5.01,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1.96,CEA,37457,354,Léo Condé,7,,,,,,,,,,,,,,,10.0,,,,,
2,1,35,-0.3,37,fabio,8.6,True,Fábio Deivson Lopes Maciel,Fábio,4.13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,4.2,FLU,37656,266,Fábio,7,1.0,,,,4.0,,14.0,80.0,37.0,,,,,,,,1.0,,,
3,3,22,0.0,37,thiago-silva,8.59,False,Thiago Emiliano da Silva,T. Silva,3.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,FLU,37715,266,Thiago Silva,6,1.0,7.0,9.0,5.0,6.0,,11.0,,,,3.0,1.0,,1.0,,,,,,
4,4,22,-0.17,37,nene,4.56,True,Anderson Luis de Carvalho - Luiz,Nenê,2.84,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.7,JUV,38913,286,Nenê,7,3.0,4.0,10.0,6.0,31.0,1.0,,,,3.0,9.0,2.0,,,,,,,,
5,5,26,0.0,37,hulk,15.25,False,Givanildo Vieira de Souza,Hulk,5.69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,CAM,39148,282,Hulk,6,9.0,8.0,33.0,32.0,60.0,8.0,,,,5.0,20.0,6.0,,1.0,,,,,,
6,4,25,0.0,37,alan-franco,5.12,False,Alan Steven Franco Palma,A. Franco,2.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,CAM,39656,282,Alan Franco,5,3.0,36.0,35.0,5.0,17.0,,,,,,,1.0,,,,,,,,
7,6,4,0.0,37,vagner-mancini,8.93,False,Vagner Carmo Mancini,V. Mancini,4.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,RBB,39850,280,Vagner Mancini,6,,,,,,,,,,,,,,,2.0,,,,,
8,6,1,0.5,37,abel-braga,9.59,True,Abel Carlos da Silva Braga,A. Braga,3.61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,3.61,INT,40006,285,Abel Braga,7,,,,,,,,,,,,,,,,,,,,
9,6,31,-0.14,37,dorival-junior,9.81,True,Dorival Silvestre Júnior,D. Júnior,5.12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,3.71,COR,40990,264,Dorival Júnior,7,,,,,,,,,,,,,,,10.0,,,,,
10,4,3,1.25,37,willian,10.83,True,Willian Borges da Silva,Willian,5.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,9.3,GRE,42135,284,Willian,7,,3.0,2.0,1.0,4.0,,,,,2.0,,,,,,,,,,
11,5,26,0.0,37,osvaldo,3.52,False,Osvaldo Lourenço Filho,Osvaldo,1.71,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,VIT,42222,287,Osvaldo,6,3.0,9.0,6.0,8.0,19.0,4.0,,,,2.0,6.0,,,1.0,,,,,,
12,1,35,-0.29,37,cassio,9.44,True,Cássio Roberto Ramos,Cássio,5.52,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1.4,CRU,42234,283,Cássio,7,5.0,,,,10.0,,15.0,106.0,27.0,,,,,,,,1.0,,,
13,2,9,0.0,37,fagner,8.51,False,Fagner Conserva Lemos,Fagner,6.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0.0,CRU,42500,283,Fagner,6,1.0,20.0,11.0,1.0,7.0,1.0,5.0,,,,,,,,,,,,,
14,1,28,1.63,37,walter,11.42,True,Walter Leandro Capeloza Artune,Walter,6.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,11.5,MIR,51413,2305,Walter,7,4.0,,,,4.0,,11.0,107.0,22.0,,,,,,,,2.0,,,
15,4,29,0.47,37,everton-ribeiro,7.96,True,Everton Augusto de Barros Ribeiro,E. Ribeiro,3.92,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,5.5,BAH,51772,265,Everton Ribeiro,7,3.0,34.0,20.0,9.0,45.0,,,,,4.0,5.0,2.0,,1.0,,1.0,,,,
16,5,21,0.0,37,gilberto,4.05,False,Gilberto Oliveira Souza Júnior,Gilberto,2.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,JUV,61188,286,Gilberto,5,5.0,6.0,23.0,7.0,16.0,4.0,,,,2.0,9.0,2.0,,,,,,1.0,,
17,2,20,-0.38,37,alex-sandro,9.45,True,Alex Sandro Lobo Silva,A. Sandro,3.99,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,3.8,FLA,61987,262,Alex Sandro,7,4.0,16.0,43.0,3.0,16.0,1.0,12.0,,,,2.0,,,,,,,,,
18,4,16,-0.32,37,ganso,5.29,True,Paulo Henrique Chagas de Lima,Ganso,1.13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,FLU,62977,266,Ganso,6,2.0,8.0,6.0,2.0,16.0,,,,,,,,,,,,,,,
19,4,18,1.44,37,neymar,17.9,True,Neymar da Silva Santos Júnior,Neymar,7.47,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,26.3,SAN,63007,277,Neymar,7,5.0,4.0,18.0,19.0,60.0,4.0,,,,2.0,15.0,8.0,,2.0,,1.0,,,1.0,
20,3,6,0.87,37,rafael-toloi,9.4,True,Rafael Toloi,R. Tolói,4.98,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,6.5,SAO,63008,276,Rafael Tolói,7,,13.0,2.0,,2.0,,2.0,,,,,,,,,,,,,
21,2,10,-0.2,37,marcos-rocha,10.03,True,Marcos Luis Rocha Aquino,M. Rocha,6.28,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4.7,GRE,63013,284,Marcos Rocha,7,,28.0,6.0,,13.0,1.0,3.0,,,,1.0,,,,,,,,,
22,2,17,0.0,37,alan-ruschel,4.68,False,Alan Luciano Ruschel,A. Ruschel,2.07,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,JUV,63110,286,Alan Ruschel,6,4.0,16.0,14.0,,25.0,3.0,2.0,,,,1.0,,,,,1.0,,,1.0,
23,4,27,-0.18,37,edenilson,4.63,True,Edenílson Andrade dos Santos,Edenílson,2.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,GRE,63289,284,Edenílson,6,6.0,13.0,17.0,7.0,31.0,1.0,,,,1.0,3.0,3.0,1.0,,,,,,,
24,4,29,0.41,37,alan-patrick,12.76,True,Alan Patrick Lourenço,A. Patrick,6.07,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,4.5,INT,68685,285,Alan Patrick,7,5.0,22.0,24.0,12.0,43.0,6.0,,,,6.0,8.0,10.0,,3.0,,,,1.0,,
25,4,28,0.03,37,eduardo,3.23,True,Carlos Eduardo de Oliveira Alves,Eduardo,1.26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1.2,CRU,68708,283,Eduardo,6,1.0,15.0,22.0,5.0,14.0,1.0,,,,,3.0,1.0,1.0,,,1.0,,,,
