,atletas.preco_num,atletas.clube.id.full.name,atletas.rodada_id,atletas.slug,atletas.entrou_em_campo,atletas.media_num,atletas.status_id,atletas.foto,atletas.posicao_id,atletas.pontos_num,atletas.clube_id,atletas.nome,atletas.variacao_num,atletas.jogos_num,atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,FS,FT,I,DS,FC,FD,FF,DE,GS,SG,A,CA,G,PS,V,CV,DP,PP,PC,GC
0,10.32,GRE,38,mano-menezes,True,5.43,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,6,10.67,284,Luis Antônio Venker de Menezes,0.76,31,Mano Menezes,M. Menezes,37281,,,,,,,,,,,,,,,10.0,,,,,
1,8.19,CEA,38,leo-conde,True,4.98,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,4.09,354,Leonardo Rodrigues Condé,0.23,35,Léo Condé,L. Condé,37457,,,,,,,,,,,,,,,10.0,,,,,
2,9.6,FLU,38,fabio,True,4.33,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,1,11.5,266,Fábio Deivson Lopes Maciel,1.0,36,Fábio,Fábio,37656,4.0,,,,,,,85.0,37.0,15.0,,1.0,,,,,1.0,,,
3,9.91,FLU,38,thiago-silva,True,4.22,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3,13.9,266,Thiago Emiliano da Silva,1.32,23,Thiago Silva,T. Silva,37715,6.0,1.0,,8.0,11.0,3.0,5.0,,,12.0,,1.0,2.0,,,,,,,
4,4.42,JUV,38,nene,True,2.76,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,4,1.0,286,Anderson Luis de Carvalho - Luiz,-0.14,23,Nenê,Nenê,38913,33.0,,1.0,4.0,10.0,9.0,6.0,,,,3.0,3.0,2.0,,,,,,,
5,15.51,CAM,38,hulk,True,6.19,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5,19.2,282,Givanildo Vieira de Souza,0.26,27,Hulk,Hulk,39148,60.0,3.0,8.0,8.0,35.0,20.0,33.0,,,,6.0,9.0,7.0,,,,,,,
6,4.58,CAM,38,alan-franco,True,2.38,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4,1.2,282,Alan Steven Franco Palma,-0.54,26,Alan Franco,A. Franco,39656,17.0,,,37.0,36.0,,5.0,,,,,3.0,1.0,,,,,,,
7,8.44,RBB,38,vagner-mancini,True,4.26,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,6,3.04,280,Vagner Carmo Mancini,-0.49,5,Vagner Mancini,V. Mancini,39850,,,,,,,,,,,,,,,2.0,,,,,
8,10.55,INT,38,abel-braga,True,5.6,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6,7.58,285,Abel Carlos da Silva Braga,0.96,2,Abel Braga,A. Braga,40006,,,,,,,,,,,,,,,1.0,,,,,
9,9.87,COR,38,dorival-junior,True,5.11,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,6,4.65,264,Dorival Silvestre Júnior,0.06,32,Dorival Júnior,D. Júnior,40990,,,,,,,,,,,,,,,10.0,,,,,
10,8.91,GRE,38,willian,True,4.18,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4,0.0,284,Willian Borges da Silva,-1.92,4,Willian,Willian,42135,4.0,,,3.0,2.0,,1.0,,,,2.0,,,,,,,,,
11,3.52,VIT,38,osvaldo,False,1.71,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,5,0.0,287,Osvaldo Lourenço Filho,0.0,26,Osvaldo,Osvaldo,42222,19.0,1.0,4.0,9.0,6.0,6.0,8.0,,,,2.0,3.0,,,,,,,,
12,9.44,CRU,38,cassio,False,5.52,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,1,0.0,283,Cássio Roberto Ramos,0.0,35,Cássio,Cássio,42234,10.0,,,,,,,106.0,27.0,15.0,,5.0,,,,,1.0,,,
13,8.68,CRU,38,fagner,True,5.91,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,2,4.2,283,Fagner Conserva Lemos,0.17,10,Fagner,Fagner,42500,7.0,,1.0,23.0,12.0,,1.0,,,5.0,,1.0,,,,,,,,
14,11.42,MIR,38,walter,False,6.57,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,1,0.0,2305,Walter Leandro Capeloza Artune,0.0,28,Walter,Walter,51413,4.0,,,,,,,107.0,22.0,11.0,,4.0,,,,,2.0,,,
15,7.4,BAH,38,everton-ribeiro,True,3.85,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4,1.7,265,Everton Augusto de Barros Ribeiro,-0.56,30,Everton Ribeiro,E. Ribeiro,51772,46.0,1.0,,35.0,21.0,5.0,9.0,,,,4.0,3.0,2.0,,,1.0,,,,
16,4.05,JUV,38,gilberto,False,2.05,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,5,0.0,286,Gilberto Oliveira Souza Júnior,0.0,21,Gilberto,Gilberto,61188,16.0,,4.0,6.0,23.0,9.0,7.0,,,,2.0,5.0,2.0,,,,,1.0,,
17,9.45,FLA,38,alex-sandro,False,3.99,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,2,0.0,262,Alex Sandro Lobo Silva,0.0,20,Alex Sandro,A. Sandro,61987,16.0,,1.0,16.0,43.0,2.0,3.0,,,12.0,,4.0,,,,,,,,
18,6.43,FLU,38,ganso,True,1.53,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,4,8.0,266,Paulo Henrique Chagas de Lima,1.14,17,Ganso,Ganso,62977,16.0,,,8.0,6.0,,2.0,,,,,2.0,1.0,,,,,,,
19,14.82,SAN,38,neymar,True,7.25,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,4,3.3,277,Neymar da Silva Santos Júnior,-3.08,19,Neymar,Neymar,63007,63.0,2.0,4.0,4.0,20.0,15.0,22.0,,,,2.0,5.0,8.0,,,1.0,,,1.0,
20,9.38,SAO,38,rafael-toloi,True,5.13,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3,6.0,276,Rafael Toloi,-0.02,7,Rafael Tolói,R. Tolói,63008,2.0,,,17.0,2.0,,,,,2.0,,,,,,,,,,
21,10.76,GRE,38,marcos-rocha,True,6.56,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2,9.4,284,Marcos Luis Rocha Aquino,0.73,11,Marcos Rocha,M. Rocha,63013,13.0,,1.0,31.0,9.0,1.0,1.0,,,4.0,,,,,,,,,,
22,4.61,JUV,38,alan-ruschel,True,1.95,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2,0.0,286,Alan Luciano Ruschel,-0.07,18,Alan Ruschel,A. Ruschel,63110,25.0,,3.0,16.0,14.0,1.0,,,,2.0,,4.0,,,,1.0,,,1.0,
23,5.51,GRE,38,edenilson,True,2.48,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4,6.5,284,Edenílson Andrade dos Santos,0.88,28,Edenílson,Edenílson,63289,31.0,,1.0,14.0,17.0,3.0,7.0,,,,2.0,6.0,3.0,1.0,,,,,,
24,13.26,INT,38,alan-patrick,True,6.16,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,4,8.7,285,Alan Patrick Lourenço,0.5,30,Alan Patrick,A. Patrick,68685,44.0,3.0,6.0,23.0,25.0,8.0,12.0,,,,6.0,6.0,11.0,,,,,1.0,,
25,3.03,CRU,38,eduardo,True,1.22,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,4,0.0,283,Carlos Eduardo de Oliveira Alves,-0.2,29,Eduardo,Eduardo,68708,14.0,,1.0,15.0,22.0,3.0,5.0,,,,,1.0,1.0,1.0,,1.0,,,,
26,7.25,BOT,38,neto,False,2.03,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,1,0.0,263,Norberto Murara Neto,0.0,3,Neto,Neto,68806,,,,,,,,7.0,3.0,,,,,,,,,,,
