,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.atleta_id,atletas.foto,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.media_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.apelido,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,DP,SG,V,FT,PS,PC,CV,PP,GC
0,GRE,,8.9,37281,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,284,10.44,7,0.91,5.18,6,M. Menezes,7,Luis Antônio Venker de Menezes,True,mano-menezes,3,Mano Menezes,,,,,,,,,,,,,,1.0,,,,,,
1,CEA,,10.26,37457,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,354,8.53,7,1.19,6.29,6,L. Condé,7,Leonardo Rodrigues Condé,True,leo-conde,6,Léo Condé,,,,,,,,,,,,,,2.0,,,,,,
2,FLU,,4.2,37656,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,266,9.89,7,-0.19,4.14,1,Fábio,7,Fábio Deivson Lopes Maciel,True,fabio,7,Fábio,,,,,,,,,,20.0,7.0,,2.0,,,,,,,
3,FLU,,0.0,37715,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,266,11.19,6,0.0,2.67,3,T. Silva,7,Thiago Emiliano da Silva,False,thiago-silva,3,Thiago Silva,,,1.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,,
4,FLU,,0.0,38398,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,266,7.0,6,0.0,0.0,4,R. Augusto,7,Renato Soares de Oliveira Augusto,False,renato-augusto,0,Renato Augusto,,,,,,,,,,,,,,,,,,,,
5,JUV,,1.7,38913,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,286,4.16,6,-0.1,1.07,4,Nenê,7,Anderson Luis de Carvalho - Luiz,True,nene,3,Nenê,,,,1.0,,4.0,,,,,,,,,,,,,,
6,CAM,,0.0,39148,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,282,16.79,7,0.0,5.32,5,Hulk,7,Givanildo Vieira de Souza,False,hulk,6,Hulk,1.0,,4.0,9.0,7.0,14.0,1.0,3.0,3.0,,,,,,,,,,,
7,CAM,,0.0,39656,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,282,5.69,5,0.0,1.53,4,A. Franco,7,Alan Steven Franco Palma,False,alan-franco,3,Alan Franco,,3.0,3.0,,,2.0,,,,,,,,,,,,,,
8,COR,,7.87,40990,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,264,11.94,7,1.98,7.87,6,D. Júnior,7,Dorival Silvestre Júnior,True,dorival-junior,1,Dorival Júnior,,,,,,,,,,,,,,1.0,,,,,,
9,FLU,,7.74,41929,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,266,10.32,7,0.77,5.82,6,R. Gaúcho,7,Renato Portaluppi,True,renato-gaucho,6,Renato Gaúcho,,,,,,,,,,,,,,4.0,,,,,,
