,atletas.apelido,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.slug,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.variacao_num,atletas.media_num,atletas.status_id,atletas.jogos_num,atletas.pontos_num,atletas.nome,atletas.clube.id.full.name,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.foto,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
0,Mano Menezes,M. Menezes,True,mano-menezes,284,8.94,9,-0.91,4.6,7,5,2.02,Luis Antônio Venker de Menezes,GRE,37281,,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,,,,,,,,,,,,,1.0,,,,,,,
1,Léo Condé,L. Condé,True,leo-conde,354,8.81,9,0.73,6.5,6,8,8.5,Leonardo Rodrigues Condé,CEA,37457,,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,,,,,,,,,,,,3.0,,,,,,,
2,Fábio,Fábio,True,fabio,266,8.47,9,-0.37,3.06,7,9,-1.0,Fábio Deivson Lopes Maciel,FLU,37656,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,,,,,,,,,,22.0,11.0,,,,2.0,,,,
3,Thiago Silva,T. Silva,True,thiago-silva,266,8.68,9,-1.26,1.9,7,5,0.0,Thiago Emiliano da Silva,FLU,37715,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,,,,
4,Nenê,Nenê,True,nene,286,4.03,9,-0.13,1.3,7,4,2.0,Anderson Luis de Carvalho - Luiz,JUV,38913,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,,,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,
5,Hulk,Hulk,True,hulk,282,14.36,9,-1.35,5.08,7,8,0.4,Givanildo Vieira de Souza,CAM,39148,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,2.0,3.0,2.0,10.0,10.0,7.0,17.0,5.0,1.0,,,,,,,,,,,
6,Alan Franco,A. Franco,True,alan-franco,282,4.89,9,-0.69,1.8,7,5,0.9,Alan Steven Franco Palma,CAM,39656,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,,,6.0,6.0,,1.0,2.0,,,,,,,,,,,,,
7,Dorival Júnior,D. Júnior,True,dorival-junior,264,11.74,9,0.71,5.93,7,3,7.38,Dorival Silvestre Júnior,COR,40990,,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,,,,,,,,,,,,,2.0,,,,,,,
8,Renato Gaúcho,R. Gaúcho,True,renato-gaucho,266,9.53,9,-0.15,5.26,7,8,3.15,Renato Portaluppi,FLU,41929,,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,,,,,,,,,,,,4.0,,,,,,,
9,Osvaldo,Osvaldo,True,osvaldo,287,4.67,9,0.71,2.28,7,5,6.4,Osvaldo Lourenço Filho,VIT,42222,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,
10,Cássio,Cássio,True,cassio,283,10.78,9,0.21,6.77,7,9,8.9,Cássio Roberto Ramos,CRU,42234,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,,2.0,,,,,,,,,33.0,7.0,,,,4.0,1.0,,,
11,Cuca,Cuca,True,cuca,282,10.14,9,-0.04,5.91,7,9,5.69,Alexi Stival,CAM,42411,,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,,,,,,,,,,,,,3.0,,,,,,,
12,Fagner,Fagner,True,fagner,283,9.39,9,0.98,6.67,7,6,9.9,Fagner Conserva Lemos,CRU,42500,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,,1.0,14.0,9.0,,1.0,4.0,1.0,,,,,,,,4.0,,,,
13,David Braz,D. Braz,False,david-braz,2305,5.0,9,0.0,0.0,6,0,0.0,David Braz de Oliveira Filho,MIR,50317,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,,,,,,,,,,,,,,,,,,,,
14,Titi,Titi,False,titi,356,6.28,9,0.0,4.6,6,3,0.0,Christian Chagas Tarouco,FOR,50353,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,,,5.0,4.0,,,1.0,,,,,,,1.0,,2.0,,,,
15,Walter,Walter,True,walter,2305,9.36,9,1.65,7.07,7,3,11.0,Walter Leandro Capeloza Artune,MIR,51413,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,,1.0,,,,,,,,,14.0,3.0,,,,,1.0,,,
16,Everton Ribeiro,E. Ribeiro,True,everton-ribeiro,265,8.03,9,0.25,3.86,7,8,3.4,Everton Augusto de Barros Ribeiro,BAH,51772,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,,1.0,13.0,7.0,2.0,,14.0,,1.0,,,,,1.0,,,,,,
17,Fernando,Fernando,False,fernando,285,6.54,9,0.0,3.3,7,5,0.0,Fernando Francisco Reges,INT,52271,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,,,8.0,2.0,3.0,,3.0,,,,,,,,,,,,,
18,David Luiz,D. Luiz,False,david-luiz,356,7.23,9,0.0,3.34,6,5,0.0,David Luiz Moreira Marinho,FOR,52827,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,,1.0,4.0,4.0,,3.0,1.0,,,,,,,,,2.0,,,,
19,Léo Gamalho,L. Gamalho,False,leo-gamalho,2305,4.0,9,0.0,0.0,6,0,0.0,Leonardo Gamalho de Souza,MIR,53865,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,,,,,,,,,,,,,,,,,,,,
20,Alex Teixeira,A. Teixeira,False,alex-teixeira,267,2.76,9,0.0,0.82,7,5,0.0,Alex Teixeira Santos,VAS,60793,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
21,Gilberto,Gilberto,True,gilberto,286,3.82,9,-0.48,1.38,6,6,-0.3,Gilberto Oliveira Souza Júnior,JUV,61188,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.0,2.0,,7.0,2.0,2.0,7.0,1.0,,,,,,,,,,,,
22,Alex Sandro,A. Sandro,True,alex-sandro,262,11.06,9,0.4,4.82,7,7,7.2,Alex Sandro Lobo Silva,FLA,61987,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,,,9.0,16.0,,2.0,7.0,1.0,,,,,,,,4.0,,,,
23,Ganso,Ganso,False,ganso,266,7.08,9,0.0,1.26,7,5,0.0,Paulo Henrique Chagas de Lima,FLU,62977,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,,1.0,2.0,1.0,,2.0,6.0,,,,,,,,,,,,,
24,Neymar,Neymar,False,neymar,277,19.72,9,0.0,1.55,6,2,0.0,Neymar da Silva Santos Júnior,SAN,63007,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,,1.0,,2.0,1.0,,7.0,,,,,,,,,,,,,
25,Marcos Rocha,M. Rocha,False,marcos-rocha,275,7.0,9,0.0,0.0,6,0,0.0,Marcos Luis Rocha Aquino,PAL,63013,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,,,,,,,,,,,,,,,,,,,,
26,Alan Ruschel,A. Ruschel,True,alan-ruschel,286,5.86,9,0.21,3.23,7,6,1.9,Alan Luciano Ruschel,JUV,63110,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,,1.0,8.0,5.0,,,10.0,1.0,,,,,,,,1.0,,,,
27,Edenílson,Edenílson,False,edenilson,284,4.97,9,0.0,1.75,5,7,0.0,Edenílson Andrade dos Santos,GRE,63289,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,,3.0,3.0,5.0,,1.0,7.0,,1.0,,,,,,,,,,,
