,atletas.nome,atletas.pontos_num,atletas.slug,atletas.atleta_id,atletas.clube_id,atletas.preco_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.media_num,atletas.entrou_em_campo,atletas.status_id,atletas.rodada_id,atletas.variacao_num,atletas.foto,atletas.jogos_num,atletas.apelido,atletas.clube.id.full.name
0,Fábio Deivson Lopes Maciel,0,fabio,37656,266,12,Fábio,1,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0,Fábio,FLU
1,Givanildo Vieira de Souza,0,hulk,39148,282,16,Hulk,5,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0,Hulk,CAM
2,Alan Steven Franco Palma,0,alan-franco,39656,282,7,A. Franco,4,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0,Alan Franco,CAM
3,Vagner Carmo Mancini,0,vagner-mancini,39850,280,5,V. Mancini,6,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0,Vagner Mancini,RBB
4,Dorival Silvestre Júnior,0,dorival-junior,40990,264,11,D. Júnior,6,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,0,Dorival Júnior,COR
5,Willian Borges da Silva,0,willian,42135,284,6,Willian,4,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,Willian,GRE
6,Osvaldo Lourenço Filho,0,osvaldo,42222,287,5,Osvaldo,5,0,False,6,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,0,Osvaldo,VIT
7,Cássio Roberto Ramos,0,cassio,42234,283,13,Cássio,1,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,0,Cássio,CRU
8,Fagner Conserva Lemos,0,fagner,42500,283,7,Fagner,2,0,False,6,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,0,Fagner,CRU
9,Adenor Leonardo Bachi,0,tite,45125,283,12,Tite,6,0,False,7,1,0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,0,Tite,CRU
