atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PS,SG,V
Fábio,Fábio,37656,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,2,3.8,Fábio Deivson Lopes Maciel,5.5,1,10.68,2,fabio,7,0.13,,,,7.0,,,,,1.0,,,,2.0,,,,,
Hulk,Hulk,39148,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,2,3.85,Givanildo Vieira de Souza,2.4,5,13.62,2,hulk,7,-1.33,,,,,1.0,1.0,,4.0,7.0,,,,,2.0,,,,
Alan Franco,A. Franco,39656,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,2,0.05,Alan Steven Franco Palma,0.2,4,5.03,2,alan-franco,7,-0.66,,1.0,,,1.0,3.0,,,1.0,,,,,,,,,
Vagner Mancini,V. Mancini,39850,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,2,7.51,Vagner Carmo Mancini,6.95,6,7.8,2,vagner-mancini,7,0.88,,,,,,,,,,,,,,,,,,2.0
Dorival Júnior,D. Júnior,40990,COR,264,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1,6.6,Dorival Silvestre Júnior,0.0,6,11.31,2,dorival-junior,7,0.0,,,,,,,,,,,,,,,,,,
Willian,Willian,42135,GRE,284,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,2,2.45,Willian Borges da Silva,5.2,4,5.62,2,willian,7,0.82,,,,,2.0,1.0,1.0,,2.0,,,,,,,,,
Osvaldo,Osvaldo,42222,VIT,287,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,1,0.8,Osvaldo Lourenço Filho,0.0,5,4.37,2,osvaldo,6,0.0,,,,,,,,1.0,,,,,,,,,,
Cássio,Cássio,42234,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,2,-2.35,Cássio Roberto Ramos,-2.0,1,7.97,2,cassio,7,-1.72,,,,1.0,,,,,,,,,6.0,,,,,
Fagner,Fagner,42500,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,2,1.2,Fagner Conserva Lemos,1.5,2,5.67,2,fagner,6,-0.37,,,,,2.0,2.0,,,,,,,,,,,,
Tite,Tite,45125,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,2,2.76,Adenor Leonardo Bachi,4.15,6,10.1,2,tite,7,-0.2,,,,,,,,,,,,,,,,,,
