atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Léo Condé,L. Condé,37457,REM,364,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,16,4.83,Leonardo Rodrigues Condé,9.31,6,8.76,20,leo-conde,7,1.13,,,,,,,,,,,,,,,,,,,,5.0
Fábio,Fábio,37656,FLU,266,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,19,4.38,Fábio Deivson Lopes Maciel,4.2,1,9.47,20,fabio,7,0.36,,1.0,,71.0,,,,,,4.0,,,,24.0,,1.0,,,3.0,
Thiago Silva,T. Silva,37715,FLU,266,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,1,-0.8,Thiago Emiliano da Silva,-0.8,3,6.08,20,thiago-silva,7,-0.92,,1.0,,,,,1.0,,,1.0,,,,,,,,,,
Hulk,Hulk,39148,FLU,266,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,13,4.99,Givanildo Vieira de Souza,10.3,5,12.7,20,hulk,7,0.9,3.0,1.0,,,,5.0,9.0,6.0,8.0,34.0,,2.0,,,5.0,,,,,
Alan Franco,A. Franco,39656,CAM,282,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,15,2.42,Alan Steven Franco Palma,0.0,4,4.99,20,alan-franco,6,0.0,1.0,3.0,,,,23.0,23.0,2.0,3.0,4.0,,,,,1.0,,,,,
Vagner Mancini,V. Mancini,39850,RBB,280,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,19,5.57,Vagner Carmo Mancini,5.31,6,8.75,20,vagner-mancini,6,-0.03,,,,,,,,,,,,,,,,,,,,9.0
Dorival Júnior,D. Júnior,40990,SAO,276,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,13,4.17,Dorival Silvestre Júnior,4.13,6,9.61,20,dorival-junior,6,0.01,,,,,,,,,,,,,,,,,,,,1.0
Willian,Willian,42135,GRE,284,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,8,1.06,Willian Borges da Silva,0.0,4,3.74,20,willian,6,0.0,,,,,,2.0,1.0,1.0,2.0,6.0,,,,,,,,,,
Osvaldo,Osvaldo,42222,VIT,287,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,2,0.4,Osvaldo Lourenço Filho,0.0,5,4.07,20,osvaldo,6,0.0,,,,,,,,,1.0,,,,,,,,,,,
Cássio,Cássio,42234,CRU,283,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,5,1.32,Cássio Roberto Ramos,0.0,1,6.89,20,cassio,5,0.0,,,,12.0,,,,,,2.0,,,,10.0,,,,,,
Cuca,Cuca,42411,SAN,277,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,12,5.67,Alexi Stival,6.21,6,10.32,20,cuca,6,-0.03,,,,,,,,,,,,,,,,,,,,4.0
Fagner,Fagner,42500,CRU,283,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,14,3.01,Fagner Conserva Lemos,-0.8,2,5.19,20,fagner,3,-1.89,3.0,3.0,,,,15.0,18.0,,,6.0,,,,,,,,,2.0,
Walter,Walter,51413,MIR,2305,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,17,2.76,Walter Leandro Capeloza Artune,0.6,1,5.17,20,walter,3,-0.01,,3.0,,53.0,,,,,,,,,,23.0,,1.0,,,1.0,
Everton Ribeiro,E. Ribeiro,51772,BAH,265,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,15,4.55,Everton Augusto de Barros Ribeiro,-0.3,4,8.5,20,everton-ribeiro,6,-0.25,4.0,1.0,,,,20.0,11.0,4.0,5.0,28.0,,,,,,,,,,
Alex Sandro,A. Sandro,61987,FLA,262,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,14,3.8,Alex Sandro Lobo Silva,2.4,2,8.8,20,alex-sandro,7,-0.48,,3.0,,,,16.0,19.0,,1.0,14.0,,,,,,,,,6.0,
Ganso,Ganso,62977,FLU,266,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,12,0.85,Paulo Henrique Chagas de Lima,0.0,4,3.27,20,ganso,6,0.0,,1.0,,,,4.0,5.0,1.0,,5.0,1.0,,,,,,,,,
Neymar,Neymar,63007,SAN,277,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,9,10.02,Neymar da Silva Santos Júnior,22.8,4,21.85,20,neymar,6,2.89,1.0,6.0,,,,6.0,12.0,8.0,11.0,40.0,,6.0,,,7.0,,,,,
Rafael Tolói,R. Tolói,63008,SAO,276,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,6,4.1,Rafael Toloi,0.0,3,6.92,20,rafael-toloi,5,0.0,,3.0,,,,11.0,8.0,1.0,1.0,3.0,,,,,,,,,2.0,
Marcos Rocha,M. Rocha,63013,GRE,284,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,4,0.8,Marcos Luis Rocha Aquino,0.0,2,5.95,20,marcos-rocha,6,0.0,,,,,,2.0,1.0,,,1.0,,,,,,,,,,
Edenílson,Edenílson,63289,BOT,263,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,14,3.2,Edenílson Andrade dos Santos,0.0,4,6.15,20,edenilson,6,0.0,2.0,1.0,,,,6.0,10.0,2.0,2.0,4.0,,3.0,,,1.0,,,,,
Rodrigo Moledo,R. Moledo,63354,CFC,294,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,2,7.75,Rodrigo Modesto da Silva Moledo,0.0,3,7.4,20,rodrigo-moledo,6,0.0,,,,,,1.0,,,,2.0,,1.0,,,,,,,1.0,
Alan Patrick,A. Patrick,68685,INT,285,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,15,3.79,Alan Patrick Lourenço,0.5,4,7.14,20,alan-patrick,6,-0.29,,1.0,,,,9.0,5.0,2.0,10.0,23.0,,3.0,,,,,,,,
Eduardo,Eduardo,68708,MIR,2305,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,12,2.61,Carlos Eduardo de Oliveira Alves,0.8,4,5.7,20,eduardo,6,0.13,,1.0,1.0,,,8.0,9.0,2.0,4.0,9.0,,2.0,,,,,,,,
Rafael Santos,R. Santos,68822,CHA,315,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,4,3.75,Rafael de Carvalho Santos,0.0,1,4.94,20,rafael-santos,6,0.0,,,,20.0,,,,,,,,,,11.0,,,,,,
Marcelo Lomba,M. Lomba,68872,PAL,275,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,1,8.9,Marcelo Lomba do Nascimento,0.0,1,7.08,20,marcelo-lomba,6,0.0,,,,3.0,,,,,,,,,,,,,,,1.0,
Dudu,Dudu,68920,CAM,282,0,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,13,2.57,Eduardo Pereira Rodrigues,0.0,5,6.16,20,dudu,6,0.0,,,,,,2.0,2.0,6.0,4.0,9.0,,2.0,,,,,,,,
Rafael,Rafael,68928,SAO,276,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,20,3.46,Rafael Pires Monteiro,4.7,1,7.89,20,rafael,6,0.59,,1.0,,55.0,,,,,,3.0,,,,23.0,,,,,4.0,
Giovanni Augusto,G. Augusto,68938,CHA,315,0,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,12,1.85,Giovanni Augusto Oliveira Cardoso,5.8,4,4.26,20,giovanni-augusto,6,0.39,1.0,1.0,,,,7.0,7.0,2.0,,15.0,,,,,1.0,,,,,
