,atletas.variacao_num,atletas.rodada_id,atletas.apelido,atletas.status_id,atletas.entrou_em_campo,atletas.clube_id,atletas.nome,atletas.slug,atletas.preco_num,atletas.atleta_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.pontos_num,atletas.posicao_id,atletas.foto,atletas.media_num,atletas.clube.id.full.name,DS,FS,G,FD,DE,GS,FC,FF,CA,A,I,PS,SG,PC,PP,CV,FT,V,DP,GC
0,0.68,3,Fábio,7,True,266,Fábio Deivson Lopes Maciel,fabio,11.36,37656,3,Fábio,9.4,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,5.67,FLU,,2.0,,,10.0,2.0,,,,,,,1.0,,,,,,,
1,1.82,3,Hulk,7,True,282,Givanildo Vieira de Souza,hulk,15.44,39148,3,Hulk,14.7,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,7.47,CAM,2.0,8.0,1.0,,,,2.0,4.0,,1.0,2.0,,,,,,,,,
2,-0.1,3,Alan Franco,7,True,282,Alan Steven Franco Palma,alan-franco,4.93,39656,3,A. Franco,2.4,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0.83,CAM,2.0,1.0,,1.0,,,4.0,,1.0,,,,,,,,,,,
3,-0.72,3,Vagner Mancini,7,True,280,Vagner Carmo Mancini,vagner-mancini,7.08,39850,3,V. Mancini,1.74,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,5.59,RBB,,,,,,,,,,,,,,,,,,2.0,,
4,0.98,3,Dorival Júnior,7,True,264,Dorival Silvestre Júnior,dorival-junior,12.29,40990,2,D. Júnior,8.77,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,7.69,COR,,,,,,,,,,,,,,,,,,1.0,,
5,-1.0,3,Willian,7,True,284,Willian Borges da Silva,willian,4.62,42135,3,Willian,0.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,1.63,GRE,2.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,
6,0.0,3,Osvaldo,6,False,287,Osvaldo Lourenço Filho,osvaldo,4.37,42222,1,Osvaldo,0.0,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,0.8,VIT,,,,,,,,1.0,,,,,,,,,,,,
7,1.13,3,Cássio,7,True,283,Cássio Roberto Ramos,cassio,9.1,42234,3,Cássio,8.9,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,1.4,CRU,,1.0,,,9.0,8.0,,,,,,,,,,,,,,
8,0.3,3,Fagner,2,True,283,Fagner Conserva Lemos,fagner,5.97,42500,3,Fagner,4.5,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,2.3,CRU,5.0,,,,,,2.0,,,,,,,,,,,,,
9,-0.2,3,Tite,7,True,283,Adenor Leonardo Bachi,tite,9.9,45125,3,Tite,5.33,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,3.62,CRU,,,,,,,,,,,,,,,,,,,,
10,0.0,3,Gabriel Leite,6,False,294,Gabriel Christoni Leite,gabriel-leite,3.0,50742,0,G. Leite,0.0,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0.0,CFC,,,,,,,,,,,,,,,,,,,,
11,-0.75,3,Walter,6,True,2305,Walter Leandro Capeloza Artune,walter,5.26,51413,3,Walter,0.6,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,3.1,MIR,,,,,11.0,5.0,,,,,,,,,,,,,,
12,2.38,3,Everton Ribeiro,6,True,265,Everton Augusto de Barros Ribeiro,everton-ribeiro,10.45,51772,3,E. Ribeiro,14.3,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,5.87,BAH,5.0,8.0,,1.0,,,3.0,1.0,,1.0,,,,,,,,,,
13,0.0,3,Alex Sandro,6,False,262,Alex Sandro Lobo Silva,alex-sandro,10.09,61987,2,A. Sandro,0.0,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,2.75,FLA,2.0,4.0,,,,,1.0,1.0,,,,,,,,,,,,
14,-0.3,3,Ganso,6,True,266,Paulo Henrique Chagas de Lima,ganso,4.62,62977,3,Ganso,1.5,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0.4,FLU,1.0,,,,,,1.0,,,,,,,,,,,,,
15,0.0,3,Neymar,6,False,277,Neymar da Silva Santos Júnior,neymar,19.0,63007,0,Neymar,0.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,0.0,SAN,,,,,,,,,,,,,,,,,,,,
16,0.0,3,Rafael Tolói,6,False,276,Rafael Toloi,rafael-toloi,5.0,63008,0,R. Tolói,0.0,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,0.0,SAO,,,,,,,,,,,,,,,,,,,,
17,0.0,3,Marcos Rocha,6,False,284,Marcos Luis Rocha Aquino,marcos-rocha,7.36,63013,1,M. Rocha,0.0,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0.0,GRE,,,,,,,,,,,,,,,,,,,,
18,-0.99,3,Edenílson,6,True,284,Edenílson Andrade dos Santos,edenilson,6.91,63289,3,Edenílson,1.5,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,4.0,GRE,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,
19,0.0,3,Rodrigo Moledo,6,False,294,Rodrigo Modesto da Silva Moledo,rodrigo-moledo,3.0,63354,0,R. Moledo,0.0,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0.0,CFC,,,,,,,,,,,,,,,,,,,,
20,-0.27,3,Alan Patrick,7,True,285,Alan Patrick Lourenço,alan-patrick,6.86,68685,3,A. Patrick,2.8,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,2.6,INT,1.0,6.0,,1.0,,,1.0,3.0,,,,,,,,,,,,
21,-0.09,3,Eduardo,5,True,2305,Carlos Eduardo de Oliveira Alves,eduardo,6.9,68708,3,Eduardo,3.1,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,4.2,MIR,1.0,5.0,1.0,2.0,,,6.0,,,,,,,,,,,,,
22,0.25,3,Neto,6,True,263,Norberto Murara Neto,neto,8.62,68806,3,Neto,4.2,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,4.43,BOT,,,,,11.0,6.0,,,,,,,1.0,,,,,,,
23,0.0,3,Rafael Santos,6,False,315,Rafael de Carvalho Santos,rafael-santos,3.0,68822,0,R. Santos,0.0,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0.0,CHA,,,,,,,,,,,,,,,,,,,,
24,0.0,3,Marcelo Lomba,6,False,275,Marcelo Lomba do Nascimento,marcelo-lomba,4.0,68872,0,M. Lomba,0.0,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0.0,PAL,,,,,,,,,,,,,,,,,,,,
25,-1.59,3,Philippe Coutinho,7,True,267,Philippe Coutinho Correia,philippe-coutinho,13.21,68899,3,P. Coutinho,2.5,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,8.23,VAS,1.0,2.0,1.0,6.0,,,,5.0,,,,,,,,,1.0,,,
26,2.01,3,Dudu,7,True,282,Eduardo Pereira Rodrigues,dudu,9.3,68920,3,Dudu,12.0,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,5.0,CAM,2.0,3.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,
27,0.4,3,Rafael,7,True,276,Rafael Pires Monteiro,rafael,8.84,68928,3,Rafael,6.3,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,4.47,SAO,,,,,8.0,2.0,,,,,,,1.0,,,,,,,
28,0.0,3,Giovanni Augusto,5,False,315,Giovanni Augusto Oliveira Cardoso,giovanni-augusto,4.31,68938,2,G. Augusto,0.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,1.3,CHA,1.0,4.0,,,,,3.0,,,,,,,,,,,,,
29,0.0,3,Marinho,6,False,287,Mário Sérgio Santos Costa,marinho,6.0,68952,0,Marinho,0.0,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,0.0,VIT,,,,,,,,,,,,,,,,,,,,
30,-1.45,3,Willian José,6,True,265,Willian José da Silva,willian-jose,10.09,68996,3,W. José,-0.6,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,3.23,BAH,1.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,
31,-0.28,3,Santos,7,True,293,Aderbar Melo dos Santos Neto,santos,10.3,69012,2,Santos,4.2,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,7.85,CAP,,,,,9.0,1.0,,,,,,,1.0,,,,,,,
32,-0.04,3,Allan,6,True,263,Allan Marques Loureiro,allan,4.84,69140,3,Allan,2.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,1.33,BOT,2.0,4.0,,,,,2.0,2.0,2.0,,,,,,,,,,,
33,3.63,3,Gabriel Paulista,7,True,264,Gabriel Armando de Abreu,gabriel-paulista,11.71,69208,2,G. Paulista,16.6,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,8.15,COR,1.0,1.0,1.0,,,,1.0,2.0,,,,,1.0,,,,,,,
34,0.0,3,Danilo,6,False,262,Danilo Luiz da Silva,danilo,8.0,69783,0,Danilo,0.0,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,0.0,FLA,,,,,,,,,,,,,,,,,,,,
35,0.38,3,Lucas Moura,2,True,276,Lucas Rodrigues Moura da Silva,lucas-moura,10.69,70164,3,L. Moura,8.5,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,4.97,SAO,,2.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,
36,0.0,3,Eduardo Sasha,6,False,280,Eduardo Colcenti Antunes,eduardo-sasha,6.4,70360,2,E. Sasha,0.0,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,2.45,RBB,1.0,2.0,,2.0,,,,,,,,,,,,,,,,
37,0.0,3,Gabriel,6,False,287,Gabriel Vasconcelos Ferreira,gabriel,5.6,70449,2,Gabriel,0.0,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,2.2,VIT,,1.0,,,3.0,5.0,,,,,,,1.0,,,,,,,
38,0.0,3,Felipe Anderson,6,False,275,Felipe Anderson Pereira Gomes,felipe-anderson,9.0,70592,0,F. Anderson,0.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0.0,PAL,,,,,,,,,,,,,,,,,,,,
39,0.75,3,Marllon,7,True,364,Marllon Gonçalves Jerônimo Borges,marllon,5.99,70666,3,Marllon,6.0,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,3.97,REM,8.0,1.0,,,,,2.0,,,,,,,,,,,,,
40,0.0,3,Bruno Henrique,6,False,285,Bruno Henrique Corsini,bruno-henrique,5.31,70944,2,B. Henrique,0.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,1.8,INT,1.0,2.0,,1.0,,,3.0,1.0,,,,,,,,,,,,
41,0.98,3,Jean Carlos,6,True,315,Jean Carlos Vicente,jean-carlos,9.91,70958,3,J. Carlos,9.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,10.17,CHA,,1.0,2.0,2.0,,,,2.0,,2.0,,,,,,,,,,
42,-1.39,3,Léo Vieira,6,True,315,Leonardo da Silva Vieira,leo-vieira,4.21,71043,3,L. Vieira,-0.4,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,4.93,CHA,,2.0,,,16.0,6.0,,,1.0,,,,,,,,,,,
43,-0.82,3,Thiago Mendes,7,True,267,Thiago Henrique Mendes Ribeiro,thiago-mendes,6.57,71123,3,T. Mendes,0.9,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,3.13,VAS,4.0,10.0,,,,,2.0,,1.0,,,,,,,,,,,
44,-0.13,3,Maicon,2,True,294,Maicon Pereira Roque,maicon,3.94,71227,3,Maicon,1.5,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,1.07,CFC,2.0,1.0,,,,,1.0,,,,,,,,,,,,,
45,-0.31,3,Luiz Gustavo,2,True,293,Luiz Gustavo Dias,luiz-gustavo,5.69,71536,1,L. Gustavo,1.5,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,1.5,CAP,1.0,,,,,,,,,,,,,,,,,,,
46,0.3,3,Weverton,7,True,284,Weverton Pereira da Silva,weverton,7.2,71631,3,Weverton,4.3,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,1.93,GRE,,,,,6.0,7.0,,,1.0,,,,,1.0,,,,,1.0,
47,1.22,3,Gustavo Gómez,7,True,275,Gustavo Raúl Gómez Portillo,gustavo-gomez,13.37,71684,3,G. Gómez,13.0,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,7.8,PAL,1.0,2.0,2.0,,,,3.0,1.0,,1.0,,,,,,,,,,
48,0.0,3,Cuéllar,6,False,284,Gustavo Leonardo Cuellar Gallego,cuellar,5.0,71709,0,Cuéllar,0.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0.0,GRE,,,,,,,,,,,,,,,,,,,,
49,0.0,3,Tiago Volpi,6,False,280,Tiago Luis Volpi,tiago-volpi,8.0,72018,0,T. Volpi,0.0,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0.0,RBB,,,,,,,,,,,,,,,,,,,,
50,0.0,3,Thomazella,6,False,2305,Carlos Eduardo Lecciolle Thomazella,thomazella,2.0,72279,0,Thomazella,0.0,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0.0,MIR,,,,,,,,,,,,,,,,,,,,
51,-1.22,3,Everson,7,True,282,Everson Felipe Marques Pires,everson,8.86,72294,3,Everson,0.9,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,2.93,CAM,,1.0,,,11.0,6.0,,,,,,,,,,,,,,
52,-0.58,3,Fernando Diniz,7,True,267,Fernando Diniz Silva,fernando-diniz,7.85,72391,3,F. Diniz,2.86,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,4.19,VAS,,,,,,,,,,,,,,,,,,,,
