ID,Apelido,ClubeID,PosicaoID
80583,Lucas Lima,277,4
72079,Bruno Cortez,288,2
86189,Mosquito,293,5
68938,Giovanni Augusto,316,4
68974,Marcão,316,5
71799,Silvinho,288,5
63005,Welinton,294,3
37705,Juan,287,2
87399,Mário Sérgio,293,2
77579,Dellatorre,293,5
51683,Bruno Rangel,315,5
84382,Danilo,292,2
78850,Reinaldo,276,2
69008,Neto,277,3
37790,Ceará,283,2
78248,Gustavo Henrique,277,3
73855,Jubal,277,3
73527,Willian Rocha,293,2
87420,Cristaldo,275,5
77994,Mendieta,275,4
63208,Zezinho,315,4
73027,Potita,265,5
77673,Patrick Vieira,275,4
61115,Jobson,263,5
73957,Ewerton Páscoa ,292,4
51193,Fabinho Alves,315,5
72491,Bressan,284,3
69782,Dener Assunção,294,2
37654,Rosinei,294,4
80163,Railan,265,2
36728,Índio,285,3
80171,Dedé,315,4
72389,Mike,292,5
73511,Dudu Figueiredo,294,4
69138,Pablo,316,5
68697,Bernardo,275,4
39230,Neto Coruja,287,4
38021,Wendel,292,4
69088,Victorino,275,3
84791,Kenedy,266,5
72023,Sueliton,293,2
80281,Cleberson,293,3
50532,Maxi Biancucchi,265,5
70046,Victor Ferraz,277,2
37826,Paulo Baier,288,4
68834,Rithely,292,4
41327,Vanderlei Luxemburgo,262,6
60825,Felipe Azevedo,292,5
82768,Danilo,315,1
62137,Enderson Moreira,277,6
38398,Renato Augusto,264,4
37655,Rafael Moura,285,5
37818,Hugo,287,4
62139,Ricardo Drubscky,290,6
79594,Ednei,315,2
42222,Osvaldo,276,5
41364,Lincoln,265,4
52190,Ralf,264,4
42499,Bruno,266,2
84318,Samir ,262,3
68920,Dudu,284,5
37627,Diguinho,266,4
61135,Ananias,292,5
84861,Alex Silva,282,2
51705,Bruno Rodrigo,283,3
73085,Leandro,275,5
63283,Esquerdinha,290,2
68911,Diego Souza,292,4
37657,Edu Dracena,277,3
67953,Riveros,284,4
81905,Henrique,275,5
88899,Charles Fabian,265,6
74074,Claudio Winck,285,2
79826,Douglas Santos,282,2
69308,Álvaro Pereira,276,2
42118,Neto Baiano,292,5
37941,Borges,283,5
77967,Mena,277,2
62128,Walter,266,5
82787,Joel,294,5
88866,Eduardo Junior,275,4
88916,Luan Polli ,316,1
89676,Nickson,287,4
88002,Serginho,277,4
82896,Alisson Becker,285,1
89306,Paulinho,282,4
86222,Rodolfo,275,5
77670,Gladestony,285,4
63003,Uelliton,265,4
82703,Matheus Biteco,284,4
87585,Mailson,315,5
50366,Jean Carlos,316,5
68773,Henrique,265,5
60948,Diones,315,4
69048,Mazola,316,5
51415,Roger Carvalho,287,3
38507,Rafael Miranda,265,4
69040,Vladimir,277,1
81914,Léo Lisboa,316,4
79713,Carlos Alberto,293,4
84927,Dodô,282,4
77809,William Pottker,316,5
68945,Saimon,284,3
50425,Roger Gaúcho,288,4
68979,Giovanni,282,1
70132,Alan Santos,277,4
78546,Bruninho,275,4
78012,Yuri Mamute,263,5
37652,Carlos Alberto,263,4
37767,Galatto,288,1
50361,Rafael Lima,315,3
69268,Víctor Cáceres,262,4
38763,Marcinho,287,4
81150,Mayke,283,2
78965,Roni,294,4
63008,Rafael Toloi,276,3
62119,Tiago Luis,315,5
38919,Kaká,276,4
83266,Marcos Guilherme ,293,4
60795,Renan,263,1
69090,Matías Rodríguez,284,2
87211,Eduardo Baptista,292,6
89606,Felipe Saturnino,290,2
37607,Michel Bastos,276,2
70360,Eduardo Sasha,285,5
71123,Thiago Mendes,290,4
73910,Tobio,275,3
69232,Bolatti,263,4
79733,Leilson ,287,4
70317,Eron,282,2
78990,Lucas Alves,293,3
82457,Jean Felipe,293,2
68932,Renan Ribeiro,276,1
86927,Nadson,265,5
70045,Vinicius Simon,277,3
81007,Dedé,263,4
71724,Agenor,285,1
40130,Silvio,315,1
88069,Leonardo Cabeça,315,5
71572,Gabriel,284,3
87225,Pedro Henrique,264,3
84997,Paulo,290,4
68884,Klever,266,1
85424,Ailton,266,2
83258,Filipe Ramon,294,2
79401,Paulo Otávio,294,2
73445,Denner,294,4
84104,Luizinho,294,4
88366,Martín Luque,285,4
80553,Guilherme Lazaroni,316,2
37694,Henrique,283,4
56102,João Paulo,293,4
79947,Marion,282,5
37840,Gustavo,293,3
68711,Chiquinho,266,4
82632,Lucas Coelho,284,5
78407,Douglas Grolli,315,3
86334,Roni,315,5
63219,Luan,282,5
50666,Diogo,275,5
51318,Leandro Donizete,282,4
50909,Bruno Mineiro,290,5
77895,Emerson Conceição,282,2
85882,Diogo,285,2
88780,Leandro,285,5
68690,André,282,5
86759,Luan,284,5
72097,Giovanni,288,2
50645,Eduardo,288,2
86436,Alan Ruiz,284,4
42145,Egídio,283,2
37656,Fábio,283,1
38311,Márcio Araújo,262,4
41218,Magrão,292,1
50421,Wesley,275,4
73896,Geuvânio,277,5
68904,Vítor,292,2
50454,Serginho,288,4
68887,Gum,266,3
68953,Leandro Damião,277,5
38038,Luiz,288,1
38315,Jadson,264,4
60969,Patric,292,2
42116,Willian,283,5
68929,Thiago Ribeiro,277,5
37958,Felipe,262,1
63172,Paulão,285,3
40025,Levir Culpi,282,6
81121,Mugni,262,4
72745,Escudero,287,4
68723,Demerson,265,3
78235,Leandrinho,277,4
74014,Alemão,287,3
38069,Richarlyson,287,2
80313,Gilberto ,285,2
38032,Cleber Santana,288,4
68698,Bruno Silva,315,4
86932,Gustavo,288,5
62009,Camilo,315,4
68696,Bergson,315,5
38588,Elton,262,5
78895,Marcelo,262,3
85399,Felipe Macedo,290,3
70221,Bruno Uvini,277,3
83255,Giva,277,5
80568,Willie,287,5
86410,Victor Luis,275,2
78117,Everaldo,316,5
83811,William Cordeiro,316,2
62003,Bruno,275,1
81091,Jair,285,4
74078,Hernani,293,4
71122,Matheus,263,3
71041,Assuério,290,5
79038,Murilo,263,5
83134,Igor Sartori,262,5
42330,Felipe Garcia,266,1
80538,Marlon,266,4
81950,Jefferson,316,4
80319,Raul,316,3
87191,Jorge Eduardo,277,5
87747,Yago,316,4
85066,Guillermo ,287,1
86860,Guilherme,287,2
85607,Léo Ceará,287,5
80777,Wellington,287,5
86517,Flavio,292,1
87743,Léo,292,4
87611,Tiago,284,1
80431,Maicon Silva,288,2
82472,Fabiano,263,4
38074,Ygor,285,4
68830,Ricardinho,288,4
82635,Igor,292,2
73531,Washington,275,4
50292,Paulinho Dias,293,4
68753,Fabrício ,266,3
69292,Eguren,275,4
73863,Claudinei,282,4
89637,Thiago Maia,277,4
78530,Matheus Bertotto,285,4
78994,Eduardo,282,4
82502,Rafinha,265,5
86419,Jonathan,316,5
83130,Erik ,275,5
89479,Gustavo Tocantins,264,5
88915,Douglas ,294,5
73771,Mineiro,287,4
38482,Marcos Aurélio,265,5
86748,Breno,284,2
71113,Felipe ,316,4
38196,Maicon,276,4
60784,Rafael Carioca,282,4
80537,Michael,288,5
38960,Zé Eduardo,294,5
62129,Wellington,285,4
80374,Norberto ,294,4
50459,Léo,283,3
80573,Luiz Gustavo,287,3
49651,Ernando,285,3
62127,Wallyson,263,5
71602,João Paulo,262,2
89342,Caju,277,2
71892,Wellington Silva,285,2
36443,Dida,285,1
61149,Lucca,288,5
53472,Fahel,265,4
38100,Durval,292,3
68930,Kieza,265,5
85423,Valdivia,285,4
73918,Canteros,262,4
37592,Toninho Cecílio,288,6
38108,Jorge Henrique,285,5
50453,Anderson Pico,262,2
68873,Paulo Victor,262,1
79701,Lucas Silva,283,4
37762,Souza,288,5
78445,Renê,292,2
63014,Gil,294,4
37983,Ricardo Conceição,315,4
70106,Mouche,275,5
72943,Luís Cáceres,287,4
69209,Diego Macedo,265,2
38064,Denilson,276,4
38279,Wellington Paulista,285,5
82647,Régis,292,4
37783,Ramon,290,4
78715,Ramiro,284,4
37674,Wagner,266,4
85629,Daniel,263,4
69240,Dátolo,282,4
63194,Carlinhos,294,2
69014,Manoel,283,3
75295,Paolo Guerrero,264,5
50418,Dinei,287,5
54424,Willians,285,4
62121,Vanderlei,294,1
38921,Júlio Baptista,283,4
38425,Fábio Ferreira,288,3
42500,Fagner,264,2
36540,Juan,285,3
60788,Marquinhos,283,5
50446,Chico,294,3
60752,Cristóvão Borges,266,6
38231,Diego Tardelli,282,5
50301,Everton,262,4
82525,Rodrigo Biro,315,2
43618,Luiz Felipe Scolari,284,6
71117,Vander,287,4
50346,Guilherme Santos,265,2
50880,Keirrison,294,5
70929,Negueba,262,5
68950,Ronaldo Alves,288,3
84263,Jemerson,282,3
69012,Santos,293,1
79553,Mansur,287,2
38394,Thiago Heleno,316,3
73644,Ivan,294,2
80949,Biro Biro,266,5
81845,Alisson,283,4
70581,Fillipe Soutto,282,4
84313,Feijão,265,4
51413,Walter,264,1
50321,Vitor Júnior,316,4
38370,André Bahia,263,3
70759,Martinuccio,294,5
38357,Martinez,288,4
84761,Claudinei Oliveira,293,6
38369,Ibson,292,4
74087,Léo Bonatini,290,5
80188,Marcos Junior,287,5
68817,Paulo Miranda,276,3
51194,Rafael Pereira,288,3
51299,Emerson,282,3
84851,Lucas Cândido,282,4
51985,Anderson Pedra,292,4
51781,Ávine,265,2
79030,Fabinho Gaúcho,315,2
69155,Iberbia,294,2
86588,Ícaro,294,4
81223,Erazo,262,3
62012,Ciro,316,5
74076,Misael,294,4
73055,Bruno Fornaroli,316,5
88867,Guido,265,1
49673,Júlio César,266,1
42247,Danny Morais,315,3
86837,Diego Cardoso,277,5
86444,Pablo Dyego,266,2
79535,Vaná,294,1
80441,Bonfim ,294,3
73338,Djair,294,4
83439,Maykon,294,5
78414,Rafael Donato,288,3
68805,Neneca,316,1
68928,Rafael,283,1
73620,Bruno Alves,316,3
83920,Wellington Neto,316,3
77599,Romário,287,2
39572,Renato,266,2
68738,Eli Sabiá,288,3
72290,Jailson,275,1
79339,Dankler,263,3
81952,Willian,292,4
38638,Germano,294,4
84887,Dener,316,4
51175,Denis,276,1
63110,Alan Ruschel,285,2
62023,D'Alessandro,285,4
37919,Luis Fabiano,276,5
37899,Renan,290,1
61106,Cicinho,277,2
38162,Fred,266,5
78891,Petros,264,4
37770,Marcelo Grohe,284,1
38055,Rogério Ceni,276,1
52950,Victor,282,1
50347,Alan Kardec,276,5
51772,Éverton Ribeiro,283,4
68923,Gil,264,3
62977,Paulo Henrique Ganso,276,4
36522,Alex,294,4
50348,Conca,266,4
78379,Barcos,284,5
42234,Cássio,264,1
60819,Dedé,283,3
50358,Marcelo Moreno,283,5
36934,Muricy Ramalho,276,6
86842,Ewandro,276,5
89156,Nathan,275,3
85930,Aylon,285,5
86943,Liniker,290,4
84320,Recife,262,4
89445,Yuri,315,5
88132,Nailson,277,3
83688,Luan,316,4
82463,Otávio ,293,4
87101,Stéfano Yuri,277,5
73517,Douglas Pires,265,1
86836,Sidney,263,4
85931,Hyoran,315,4
87999,Gustavo Scarpa,266,4
72071,Amaral,262,4
79023,Mattheus,262,4
78646,Fernando Fernandes,262,3
87401,Eurico,283,4
50908,Wellington Bruno,288,4
68914,Deola,275,1
80324,Jaílton,315,3
77529,Leandro Silva,316,2
73540,Rogério,263,5
79042,Tiago ,282,3
72495,Moisés,290,2
68946,Neuton,315,3
88323,Ángel Romero,264,5
38515,Marquinhos,316,3
73383,Rafael Costa,288,4
89273,João Pedro ,275,2
38440,Pierre,282,4
80189,Lucas Fonseca,265,3
55348,Luis Ricardo,276,2
60852,Uendel,264,2
80913,Nixon,262,5
50294,Guilherme,282,5
79287,Enrique Meza,315,3
42490,Jajá,294,4
74060,Luiz Antonio ,262,4
77556,Bruno,288,1
40990,Dorival Júnior,275,6
86859,José Welison,287,4
87213,Pará,265,2
73417,Lima,290,2
42232,Amaral,290,4
50427,Kadu,287,3
78936,Rodrigo Souza,288,4
63119,Juninho,275,2
73359,Roniery,265,2
68758,Fernandinho,284,5
74085,Ademilson,276,5
79887,Fabiano,315,2
37246,Ney Franco,287,6
72334,Ayrton,287,2
74065,Zeballos,263,5
73315,Jorginho,315,6
38525,Cléo,293,5
70116,Fellipe Bastos,284,4
37851,Maicosuel,282,4
51293,Wanderson,315,4
70928,William Henrique,287,5
80337,Arthur ,262,5
87742,Neto,292,4
84890,Euller ,287,2
71593,Henrique Mattos,292,3
70924,Matheus Carvalho,266,5
71560,Luis Ramírez,263,4
72168,João Paulo,290,4
80400,Rafinha,266,4
72099,Wiliam Barbio,265,5
78694,Guillermo Beltrán,287,5
88933,Bruno Paulista,265,4
69006,Dão,287,3
37645,Marcelo Mattos,263,4
80403,Maurides,285,5
88917,Murilo Henrique,290,4
86935,Rodrigo,290,4
80399,Higor,288,4
88540,Auro,276,2
50461,Edson,290,1
88065,Jorge,262,2
86928,David,288,1
86929,Ronaldo,288,1
86931,Ruan,288,4
77912,Neto,316,1
79048,Elisson,283,1
82769,Alan,283,1
87400,Alex,283,3
83108,Heitor,288,3
88147,Paulo Henrique,290,1
88156,Jean,316,1
88225,Daniel Guedes ,277,2
88368,Gabriel Dias,275,3
88478,Darlan,287,4
71571,Fernando,287,1
88782,Andrew,288,5
87393,Gabriel,282,3
88874,Léo Cunha,275,2
73025,Geovane,277,5
89154,Gabriel Fernando,275,5
44857,Naldinho,292,4
84188,Welton,292,4
79334,Ricardo Silva,293,3
79265,Renan,265,1
87230,Robson,265,3
88000,Gabriel Ramos,265,4
78839,Gabriel Gasparotto,277,1
85425,João Paulo,277,1
86314,Alex Santos,263,2
86315,Anderson Santos,263,2
73869,Lennon,263,2
78436,Renan Lemos,263,2
79022,Yguinho,263,5
85083,Vinícius Silvestre,275,1
83615,Thiago Martins,275,3
87199,Gustavo ,315,1
52897,Nivaldo,315,1
87200,Bruno ,315,3
87201,Igor ,315,3
87202,Lucas ,315,4
50284,Wilson,287,1
38451,Carlinhos,266,2
54395,Elias,264,4
37688,Cícero,266,4
38573,Nilton,283,4
38109,Jefferson,263,1
78605,Gabriel,263,4
62086,Pará,284,2
72018,Tiago Volpi,316,1
49674,Fabrício,285,2
38246,Robinho,277,5
52253,Réver,282,3
73800,Rodrigo Caio,276,3
68833,Ricardo Goulart,283,4
70934,Jackson,290,3
38138,Jô,282,5
38435,Valdivia,275,4
37613,Dagoberto,283,5
68925,Leonardo Silva,282,3
38219,Alex,285,4
81770,Clayton,316,5
85400,Marcelo,287,4
38061,Edcarlos,282,3
86409,Lucas Olaza,293,2
84679,Emanuel Biancucchi,265,4
82737,Welinton Junior,290,5
70111,Guilherme Mattis,266,3
51681,Hélder,294,4
37816,Marco Antônio,316,4
50328,Marcelo Oliveira,275,4
69177,Léo,262,2
40904,Julio Cesar,294,5
74140,Elber,294,4
38908,Renato,277,4
70992,Juliano,290,4
80381,Cesinha,282,5
82128,Ferrugem,264,4
86820,Reginaldo ,294,2
86841,Boschilia,276,4
73375,Felipe,264,3
