"","game","round","date","home_team","score","away_team","arena","X"
"1","1","1","20/04/2014 - 18:30","Flamengo - RJ","0 x 0","Goiás - GO","Mané Garrincha - Brasilia - DF",""
"2","2","1","19/04/2014 - 18:30","Fluminense - RJ","3 x 0","Figueirense - SC","Maracanã - Rio de Janeiro - RJ",""
"3","3","1","20/04/2014 - 16:00","São Paulo - SP","3 x 0","Botafogo - RJ","Morumbi - Sao Paulo - SP",""
"4","4","1","20/04/2014 - 18:30","Santos - SP","1 x 1","Sport - PE","Vila Belmiro - Santos - SP",""
"5","5","1","20/04/2014 - 16:00","Atletico - PR","1 x 0","Grêmio - RS","Orlando Scarpelli - Florianopolis - SC",""
"6","6","1","20/04/2014 - 16:00","Atlético - MG","0 x 0","Corinthians - SP","João Havelange - Uberlandia - MG",""
"7","7","1","20/04/2014 - 16:00","Bahia - BA","1 x 2","Cruzeiro - MG","Fonte Nova - Salvador - BA",""
"8","8","1","19/04/2014 - 18:30","Internacional - RS","1 x 0","Vitória - BA","Beira-Rio - Porto Alegre - RS",""
"9","9","1","20/04/2014 - 18:30","Criciuma - SC","1 x 2","Palmeiras - SP","Heriberto Hulse - Criciuma - SC",""
"10","10","1","19/04/2014 - 21:00","Chapecoense - SC","0 x 0","Coritiba - PR","Arena Condá - Chapeco - SC",""
"11","11","2","27/04/2014 - 16:00","Botafogo - RJ","2 x 2","Internacional - RS","Maracanã - Rio de Janeiro - RJ",""
"12","12","2","27/04/2014 - 18:30","Sport - PE","2 x 1","Chapecoense - SC","Ilha do Retiro - Recife - PE",""
"13","13","2","27/04/2014 - 16:00","Corinthians - SP","2 x 0","Flamengo - RJ","Pacaembu - Sao Paulo - SP",""
"14","14","2","26/04/2014 - 21:00","Palmeiras - SP","0 x 1","Fluminense - RJ","Pacaembu - Sao Paulo - SP",""
"15","15","2","26/04/2014 - 18:30","Coritiba - PR","0 x 0","Santos - SP","Couto Pereira - Curitiba - PR",""
"16","16","2","27/04/2014 - 16:00","Cruzeiro - MG","1 x 1","São Paulo - SP","João Havelange - Uberlandia - MG",""
"17","17","2","27/04/2014 - 16:00","Vitória - BA","2 x 2","Atletico - PR","Pituaçu - Salvador - BA",""
"18","18","2","27/04/2014 - 18:30","Grêmio - RS","2 x 1","Atlético - MG","Arena do Grêmio - Porto Alegre - RS",""
"19","19","2","27/04/2014 - 18:30","Figueirense - SC","0 x 2","Bahia - BA","Arena Barueri - Barueri - SP",""
"20","20","2","27/04/2014 - 18:30","Goiás - GO","1 x 0","Criciuma - SC","Juscelino Kubitschek - Itumbiara - GO",""
"21","21","3","04/05/2014 - 16:00","Flamengo - RJ","4 x 2","Palmeiras - SP","Maracanã - Rio de Janeiro - RJ",""
"22","22","3","03/05/2014 - 21:00","Fluminense - RJ","1 x 2","Vitória - BA","Maracanã - Rio de Janeiro - RJ",""
"23","23","3","03/05/2014 - 18:30","São Paulo - SP","2 x 2","Coritiba - PR","Pacaembu - Sao Paulo - SP",""
"24","24","3","03/05/2014 - 18:30","Santos - SP","0 x 0","Grêmio - RS","Vila Belmiro - Santos - SP",""
