"ID","Apelido","ClubeID","PosicaoID"
37623,"Rafael Marques",294,3
72382,"Marquinhos",277,5
95830,"Emerson Cris",315,6
81794,"Cláudio Prates",327,6
37837,"Cristian",303,4
38062,"Lugano",276,3
38109,"Jefferson",263,1
38139,"Bobô",284,5
38162,"Fred",282,5
38061,"Edcarlos",282,3
38100,"Durval",292,3
38140,"Fernando Prass",275,1
93733,"Ítalo Borges",344,5
73580,"Falcão",285,6
94336,"Mateus",266,4
37792,"Edinho",294,4
50294,"Guilherme",264,4
50301,"Everton",262,4
50317,"David Braz",277,3
50313,"Elicarlos",316,4
50295,"Felipe Menezes",303,4
63219,"Luan",282,5
68725,"Diego Renan",287,2
68698,"Bruno Silva",263,4
68690,"André",264,5
63158,"Moisés",275,4
93566,"Martín Alaníz",315,5
93697,"Gervasio Núñez",263,4
72389,"Mike",285,5
79170,"Rodrigo Ramallo",287,5
38617,"Danilinho",266,5
91156,"Jesiel",282,3
91251,"Tonhão",283,3
90335,"Jeferson Negueba",284,4
87291,"Danilo Pires",344,4
73544,"Jorge Fellipe",293,3
68918,"Bruno Paulo",264,5
70622,"Paulo Bento",283,6
68953,"Leandro Damião",262,5
95855,"Kady",294,4
80403,"Maurides",316,5
70759,"Martinuccio",315,4
95861,"Thiago Ennes",262,2
70916,"Diogo Barbosa",263,2
80318,"Ezequiel ",283,2
91094,"Ábila",283,5
73421,"Rafael Vaz",262,3
68807,"Neto Berola",294,5
36591,"Leonardo",344,3
36540,"Juan",262,3
37652,"Carlos Alberto",316,4
37613,"Dagoberto",287,5
37770,"Marcelo Grohe",284,1
37851,"Maicosuel",282,4
38021,"Wendel",303,4
38219,"Alex",285,4
90406,"Crysan",293,5
97349,"Daniel",282,4
38246,"Robinho",282,5
38763,"Marcinho",344,4
50407,"Marquinho",266,4
70874,"Rhayner",303,5
68697,"Bernardo",294,4
68685,"Alan Patrick",262,4
68711,"Chiquinho",262,2
63172,"Paulão",285,3
68723,"Demerson",315,3
68773,"Henrique Almeida",284,5
68770,"Camacho",264,4
68950,"Ronaldo Alves",292,3
68900,"Geovane Maranhão",263,5
68893,"André Lima",293,5
81881,"João Ricardo",327,1
81898,"Osman",327,4
74083,"Adryan ",262,4
88651,"Vinícius Tanque",263,5
90307,"Juninho",293,5
95560,"Joanderson",283,5
61188,"Gilberto",276,5
42499,"Bruno",276,2
42411,"Cuca",275,6
92192,"Evandro",294,5
92497,"Douglas",266,4
92290,"Matheus Pato",266,5
68987,"João Vitor",303,4
69018,"Deivid",293,4
69014,"Manoel",283,3
69033,"Tony",327,4
78371,"Miller Bolaños",284,5
90481,"Alisson Farias",285,4
83257,"Gabriel",277,5
83615,"Thiago Martins",275,3
89154,"Gabriel Jesus",275,5
89101,"Sávio",327,5
