"ID","Nome","Abreviacao","Slug"
262,"Flamengo","FLA","Flamengo"
263,"Botafogo","BOT","Botafogo"
264,"Corinthians","COR","Corinthians"
266,"Fluminense","FLU","Fluminense"
275,"Palmeiras","PAL","Palmeiras"
276,"São Paulo","SAO","Sao-Paulo"
277,"Santos","SAN","Santos"
282,"Atlético-MG","CAM","Atletico-MG"
283,"Cruzeiro","CRU","Cruzeiro"
284,"Grêmio","GRE","Gremio"
285,"Internacional","INT","Internacional"
287,"Vitória","VIT","Vitoria"
292,"Sport","SPT","Sport"
293,"Atlético-PR","CAP","Atletico-PR"
294,"Coritiba","CFC","Coritiba"
303,"Ponte Preta","PON","Ponte-Preta"
315,"Chapecoense","CHA","Chapecoense"
316,"Figueirense","FIG","Figueirense"
327,"América-MG","AME","America-MG"
344,"Santa Cruz","SCZ","Santa-Cruz"
