ID;Nome;Abreviacao;Slug
373;Atlético-GO;ATL;Atlético - GO
282;Atlético-MG;ATL;Atlético - MG
293;Atlético-PR;ATL;Atlético - PR
314;Avaí;AVA;Avaí - SC
265;Bahia;BAH;Bahia - BA
263;Botafogo;BOT;Botafogo - RJ
315;Chapecoense;CHA;Chapecoense - SC
264;Corinthians;COR;Corinthians - SP
294;Coritiba;COR;Coritiba - PR
283;Cruzeiro;CRU;Cruzeiro - MG
262;Flamengo;FLA;Flamengo - RJ
266;Fluminense;FLU;Fluminense - RJ
284;Grêmio;GRE;Grêmio - RS
275;Palmeiras;PAL;Palmeiras - SP
303;Ponte Preta;PON;Ponte Preta - SP
277;Santos;SAN;Santos - SP
276;São Paulo;SAO;São Paulo - SP
292;Sport;SPO;Sport - PE
267;Vasco;VAS;Vasco da Gama - RJ
287;Vitória;VIT;Vitória - BA
