"slug","atleta_id","team","posicao","shotsX_mean","faltas_mean","RB_mean","PE_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","DP_mean","score_no_cleansheets_mean","pontuacao_mean"
"apodi",51042,"Chapecoense - SC","lat",0.545454545454545,2,1.63636363636364,2.27272727272727,0.181818181818182,0.272727272727273,1,0.545454545454545,0,0,0,2.48181818181818,3.84545454545455
"arthur",80337,"Chapecoense - SC","ata",1.81818181818182,2.09090909090909,0.909090909090909,2,0,0.0909090909090909,2.18181818181818,1.18181818181818,0.363636363636364,0,0,4.7,4.7
"sidcley",86764,"Corinthians - SP","lat",0.3,0.6,2,2.2,0.1,0,1,0.1,0.1,0,0,4.07,6.07
"roger-guedes",89898,"Atlético - MG","ata",2.81818181818182,1.27272727272727,0.818181818181818,2.18181818181818,0.272727272727273,0.272727272727273,3.36363636363636,1.09090909090909,0.727272727272727,0,0,10.6272727272727,10.6272727272727
"vinicius-junior",99535,"Flamengo - RJ","ata",1.72727272727273,0.909090909090909,1.09090909090909,3,0.272727272727273,0.0909090909090909,1.90909090909091,0.545454545454545,0.363636363636364,0,0,6.60909090909091,6.60909090909091
"bremer",99817,"Atlético - MG","zag",0.3,1.3,2,1.8,0,0,0.4,0.1,0.1,0,0,2.71,3.71
"thiago-carleto",51700,"Atlético - PR","lat",2.16666666666667,0.666666666666667,1.25,3.41666666666667,0.25,0.0833333333333333,1.25,0.833333333333333,0.166666666666667,0,0,5.65,7.31666666666667
"serginho",88002,"América - MG","mei",1.5,1.5,0.916666666666667,2.5,0.25,0.0833333333333333,1.16666666666667,0.666666666666667,0.333333333333333,0,0,5.34166666666667,5.34166666666667
"gustavo-blanco",91191,"Atlético - MG","mei",1.63636363636364,2.18181818181818,4.63636363636364,2.27272727272727,0.363636363636364,0.0909090909090909,0.363636363636364,0.454545454545455,0,0,0,8.86363636363637,8.86363636363637
"rodriguinho",61033,"Corinthians - SP","mei",1.4,1.7,0.5,2.2,0.2,0.3,2.3,0.6,0.5,0,0,6.08,6.08
"leo-itaperuna",50808,"Paraná - PR","ata",0.727272727272727,0.909090909090909,0.545454545454545,0.727272727272727,0.0909090909090909,0,1.18181818181818,0.545454545454545,0,0,0,1.84545454545455,1.84545454545455
"guilherme",94207,"Chapecoense - SC","ata",0.8,0.4,0.4,1.9,0,0.1,1.2,0.5,0.1,0,0,1.82,1.82
"eder-militao",99424,"São Paulo - SP","lat",1,2.18181818181818,2.63636363636364,2.36363636363636,0.0909090909090909,0,1.27272727272727,0.727272727272727,0.0909090909090909,0,0,4.09090909090909,6.36363636363636
"david-braz",50317,"Santos - SP","zag",0.538461538461538,1,1.30769230769231,1.69230769230769,0,0,0.538461538461538,0.538461538461538,0,0,0,1.30769230769231,2.46153846153846
"danilo-fernandes",69051,"Internacional - RS","gol",0,0,0,0.25,0,0,0.166666666666667,0,0,1.16666666666667,0,3.50833333333333,4.34166666666667
"kanu",51792,"Vitória - BA","zag",0.5,2.35714285714286,1.07142857142857,0.714285714285714,0,0.214285714285714,0.357142857142857,0.285714285714286,0,0,0,-0.0857142857142857,0.985714285714286
"marquinhos-gabriel",68954,"Corinthians - SP","mei",0.6,1.2,0.3,1.4,0,0,1,0.5,0.1,0,0,0.83,0.83
"leo-cittadini",70986,"Santos - SP","mei",0.545454545454545,1,1.18181818181818,0.272727272727273,0.0909090909090909,0.0909090909090909,1.09090909090909,0.363636363636364,0,0,0,2.38181818181818,2.38181818181818
"lucca",61149,"Internacional - RS","ata",1.23076923076923,1.23076923076923,1,1.53846153846154,0.230769230769231,0,2.23076923076923,0.692307692307692,0.0769230769230769,0,0,4.20769230769231,4.20769230769231
"carlos-henrique",87732,"Sport - PE","ata",0.571428571428571,0.5,0.0714285714285714,1,0,0.428571428571429,1.21428571428571,0.214285714285714,0.142857142857143,0,0,1.41428571428571,1.41428571428571
"jailson",90290,"Grêmio - RS","mei",0.214285714285714,1.35714285714286,1.71428571428571,1.64285714285714,0,0,0.642857142857143,0,0.0714285714285714,0,0,2.25,2.25
"reina",70118,"Ceará - CE","mei",0.1,1.2,0.3,1,0,0.1,0.4,0,0,0,0,-0.48,-0.48
"gilberto",80313,"Fluminense - RJ","lat",0.933333333333333,1.6,2.26666666666667,2.73333333333333,0.133333333333333,0.0666666666666667,1.13333333333333,0.466666666666667,0.2,0,0,4.67333333333333,6.67333333333333
"regis",82647,"Bahia - BA","mei",0.8125,1.0625,0.8125,2.3125,0.125,0.0625,1,0.375,0.1875,0,0,3.01875,3.01875
"pedro",94583,"Fluminense - RJ","ata",2.31578947368421,1.42105263157895,0.736842105263158,1.73684210526316,0.105263157894737,0.157894736842105,2.10526315789474,1.21052631578947,0.526315789473684,0,0,7.16842105263158,7.16842105263158
"cleber-reis",72376,"Paraná - PR","zag",0.5,0.75,2.25,1.83333333333333,0,0.166666666666667,0.75,0.333333333333333,0,0,0,2.85833333333333,4.10833333333333
"wagner",37674,"Vasco da Gama - RJ","mei",1.2,1.73333333333333,0.733333333333333,1.93333333333333,0,0.133333333333333,1.86666666666667,0.466666666666667,0.266666666666667,0,0,2.88666666666667,2.88666666666667
"pablo-dyego",86444,"Fluminense - RJ","ata",1.18181818181818,0.363636363636364,0.454545454545455,1.36363636363636,0,0,1.09090909090909,0.545454545454545,0.181818181818182,0,0,3.23636363636364,3.23636363636364
"mantuan",97315,"Corinthians - SP","lat",0.214285714285714,1.71428571428571,2.35714285714286,2.92857142857143,0,0.0714285714285714,1.71428571428571,0.214285714285714,0,0,0,2.68571428571429,3.75714285714286
"diego-alves",38509,"Flamengo - RJ","gol",0,0.0869565217391304,0,1.21739130434783,0,0,0.304347826086957,0,0,1.26086956521739,0.0434782608695652,3.7,4.7
"regis",68995,"São Paulo - SP","lat",0.181818181818182,1.18181818181818,1.09090909090909,1.54545454545455,0.0909090909090909,0,0.363636363636364,0.0909090909090909,0,0,0,0.536363636363637,2.35454545454545
"nadson",80140,"Paraná - PR","mei",1.07692307692308,0.769230769230769,1,2.76923076923077,0,0.0769230769230769,2,0.384615384615385,0,0,0,2.40769230769231,2.40769230769231
"marcelo-hermes",82639,"Cruzeiro - MG","lat",0.454545454545455,1.81818181818182,1.81818181818182,3.36363636363636,0,0,0.727272727272727,0.363636363636364,0,0,0,1.02727272727273,1.93636363636364
"carlos",85027,"Paraná - PR","ata",1.22222222222222,1.38888888888889,0.888888888888889,1.33333333333333,0,0.611111111111111,1.33333333333333,0.833333333333333,0.0555555555555556,0,0,1.61111111111111,1.61111111111111
"marcelo-grohe",37770,"Grêmio - RS","gol",0,0.111111111111111,0,0.277777777777778,0,0,0.111111111111111,0,0,0.777777777777778,0,2.08333333333333,4.13888888888889
"wesley",50421,"América - MG","mei",0.411764705882353,1.41176470588235,0.529411764705882,1.35294117647059,0.0588235294117647,0.0588235294117647,0.882352941176471,0.235294117647059,0,0,0,0.1,0.0999999999999999
"marcos-rocha",63013,"Palmeiras - SP","lat",0.35,2.4,3.25,4.3,0.15,0,1,0.15,0.05,0,0,4.05,6.05
"torito-gonzalez",73703,"Paraná - PR","mei",0.6875,1.875,1.8125,0.875,0.0625,0,2.0625,0.5625,0,0,0,2.99375,2.99375
"caio-henrique",98569,"Paraná - PR","mei",0.555555555555556,0.666666666666667,0.962962962962963,1.77777777777778,0.111111111111111,0.111111111111111,0.777777777777778,0.407407407407407,0,0,0,1.85925925925926,1.85925925925926
