"atletas.atleta_id","atletas.apelido","atletas.clube.id.full.name","atletas.posicao_id","atletas.foto"
38632,"Matheus Ferraz","América-MG","Zagueiro","https://s.glbimg.com/es/sde/f/2018/03/17/6d461d0451195bc6232d8e0dbd1cc5d8_140x140.png"
38506,"Lima","América-MG","Zagueiro","https://s.glbimg.com/es/sde/f/2018/03/17/3d9ef83a1f78786f2014412ea6d66bc0_140x140.png"
83004,"Otero","Atlético-MG","Meia","https://s.glbimg.com/es/sde/f/2017/04/03/9fe40eece7847c6e2d8feca1248f43a9_140x140.png"
38909,"Diego","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2017/08/16/3ba372d90926f839c71eb2bf7160fc95_140x140.jpeg"
61033,"Rodriguinho","Corinthians","Meia","https://s.glbimg.com/es/sde/f/2018/03/20/c125fa08820e1bbf4a2640e7108b05d2_140x140.png"
37655,"Rafael Moura","América-MG","Atacante","https://s.glbimg.com/es/sde/f/2018/03/17/c92fb62fdff92f23d776e13ffe71e713_140x140.png"
60822,"Renan Oliveira","América-MG","Meia","https://s.glbimg.com/es/sde/f/2018/03/17/5d1966ddb337e155bf00b90eb080a388_140x140.png"
50401,"Gerson Magrão","América-MG","Meia","https://s.glbimg.com/es/sde/f/2018/03/17/7787fa3ecd62a5111d49080ab527bfe1_140x140.png"
38695,"David","América-MG","Meia","https://s.glbimg.com/es/sde/f/2018/03/17/5746a81b8edb0b0d8e9f7be41de663d1_140x140.png"
38350,"Fernando Leal","América-MG","Goleiro","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_140x140.png"
50361,"Rafael Lima","América-MG","Zagueiro","https://s.glbimg.com/es/sde/f/2018/03/20/10d52089593cd93bf39b041d2f84a8ed_140x140.png"
50421,"Wesley","América-MG","Meia","https://s.glbimg.com/es/sde/f/2018/03/17/da3cd31850e8d5668e2a014fbe7847c3_140x140.png"
72097,"Giovanni","América-MG","Lateral","https://s.glbimg.com/es/sde/f/2018/03/20/9553c277fb201f9f309befb27b0c4841_140x140.png"
63194,"Carlinhos","América-MG","Lateral","https://s.glbimg.com/es/sde/f/2018/03/17/5ecf7c4819b775697ebc381145f01283_140x140.png"
60834,"Luan","América-MG","Atacante","https://s.glbimg.com/es/sde/f/2018/03/17/1f23eed160c1e8ba9d4402d6859d4e72_140x140.png"
62137,"Enderson Moreira","América-MG","Técnico","https://s.glbimg.com/es/sde/f/2018/03/17/4a6e561bbf1123eb516161678dea131e_140x140.png"
60788,"Marquinhos","América-MG","Atacante","https://s.glbimg.com/es/sde/f/2018/03/17/0dc321c764f4ca32447947b34c86167f_140x140.png"
87402,"Messias","América-MG","Zagueiro","https://s.glbimg.com/es/sde/f/2018/03/17/16371bd074e975b7918c2095443865e4_140x140.png"
82939,"Ruy","América-MG","Meia","https://s.glbimg.com/es/sde/f/2018/03/17/e5c923c2884a22666c9fa588105d9986_140x140.png"
84555,"Glauco","América-MG","Goleiro","https://s.glbimg.com/es/sde/f/2018/03/17/e3246102469114723b041fe2dddac1df_140x140.png"
81881,"João Ricardo","América-MG","Goleiro","https://s.glbimg.com/es/sde/f/2018/03/17/8f235fbb0170bc112cf17a2bfaa54499_140x140.png"
82381,"Juninho","América-MG","Meia","https://s.glbimg.com/es/sde/f/2018/03/17/5ac7a1ff64724f5d36e60c546485f596_140x140.png"
85930,"Aylon","América-MG","Atacante","https://s.glbimg.com/es/sde/f/2018/03/17/126e634285cb02ea065c51098e6404cc_140x140.png"
80374,"Norberto ","América-MG","Lateral","https://s.glbimg.com/es/sde/f/2018/03/17/05b05b9b4b348f4aef923ec2152f275e_140x140.png"
88423,"Aderlan","América-MG","Lateral","https://s.glbimg.com/es/sde/f/2018/03/17/138010c4f380e27d9122f984627b1769_140x140.png"
97317,"Zé Ricardo","América-MG","Meia","https://s.glbimg.com/es/sde/f/2018/03/17/c4fa59125c92192d3b9cc8e4f1f83c48_140x140.png"
92692,"Michel","América-MG","Lateral","https://s.glbimg.com/es/sde/f/2018/03/17/5788bdb5cfd83c4c9780b6b1a2eabac2_140x140.png"
94894,"Capixaba","América-MG","Atacante","https://s.glbimg.com/es/sde/f/2018/03/17/31d6a62e8d0c4154c043891811345219_140x140.png"
93886,"Matheusinho","América-MG","Meia","https://s.glbimg.com/es/sde/f/2018/03/17/74df7b312fb6197007e06d6add443fce_140x140.png"
89285,"Matheus Sales","América-MG","Meia","https://s.glbimg.com/es/sde/f/2018/03/17/81a3b34ce58a1c6a8f39c4874d7dbeeb_140x140.png"
97930,"Erick","América-MG","Goleiro","https://s.glbimg.com/es/sde/f/2018/03/17/163ac85e9dc1f71fac933404aeee8acf_140x140.png"
88002,"Serginho","América-MG","Meia","https://s.glbimg.com/es/sde/f/2018/03/17/144f983307b6cb40ec9b7a49fd811847_140x140.png"
91928,"Christian","América-MG","Meia","https://s.glbimg.com/es/sde/f/2018/03/17/e7a3738a75711b491c5f2a18065022d3_140x140.png"
97453,"Jory","América-MG","Goleiro","https://s.glbimg.com/es/sde/f/2018/03/17/3e91835be601e74dbfb5f06e1dc35442_140x140.png"
101725,"Matheus Santos","América-MG","Atacante",NA
102336,"Ronaldo","América-MG","Lateral",NA
37718,"Arouca","Atlético-MG","Meia","https://s.glbimg.com/es/sde/f/2018/03/20/68ec2d32eb7682f94494c4ee2cc01766_140x140.png"
68770,"Camacho","Atlético-PR","Meia","https://s.glbimg.com/es/sde/f/2018/03/01/113fa00f0f462e50c76f0f74fab0f3aa_140x140.png"
