"Pos","Clube","P","J","V","E","D","GP","GC","SG","VM","VV","DM","DV","CA","CV","%"
"1º","Flamengo - RJ",10,4,3,1,0,9,2,7,2,1,0,0,10,1,83
"2º","Grêmio - RS",8,5,2,2,1,7,3,4,1,1,0,1,9,1,53
"3º","Palmeiras - SP",8,4,2,2,0,5,2,3,1,1,0,0,12,0,66
"4º","Corinthians - SP",7,4,2,1,1,7,3,4,1,1,0,1,6,0,58
"5º","Vasco da Gama - RJ",7,3,2,1,0,7,3,4,2,0,0,0,10,0,77
"6º","Atlético - MG",7,4,2,1,1,6,5,1,2,0,0,1,13,0,58
"7º","Fluminense - RJ",7,4,2,1,1,5,4,1,1,1,0,1,7,1,58
"8º","Sport - PE",7,4,2,1,1,5,5,0,1,1,0,1,6,0,58
"9º","América - MG",6,4,2,0,2,6,7,-1,2,0,0,2,7,1,50
"10º","São Paulo - SP",6,4,1,3,0,4,3,1,1,0,0,0,11,0,50
"11º","Atlético - PR",5,4,1,2,1,6,4,2,1,0,1,0,6,1,41
"12º","Botafogo - RJ",5,4,1,2,1,4,4,0,1,0,0,1,9,0,41
"13º","Internacional - RS",5,5,1,2,2,2,3,-1,1,0,0,2,16,1,33
"14º","Cruzeiro - MG",4,4,1,1,2,1,2,-1,1,0,1,1,9,0,33
"15º","Bahia - BA",4,4,1,1,2,1,4,-3,1,0,0,2,7,1,33
"16º","Santos - SP",3,3,1,0,2,3,6,-3,1,0,0,2,6,0,33
"17º","Chapecoense - SC",3,4,0,3,1,3,7,-4,0,0,0,1,11,0,25
"18º","Ceará - CE",2,4,0,2,2,1,6,-5,0,0,1,1,7,0,16
"19º","Vitória - BA",1,4,0,1,3,5,8,-3,0,0,1,2,11,0,8
"20º","Paraná - PR",1,4,0,1,3,2,8,-6,0,0,2,1,6,1,8
