"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name"
"1","Andrew Erik Feitosa","Morato","https://s.glbimg.com/es/sde/f/2017/04/28/773338b7d4efec23c8bd970486c9ff68_FORMATO.png",86227,1,"SAO","ata","Nulo",0,2,0,0,0,"São Paulo"
"2","Christian Alberto Cueva Bravo","Cueva","https://s.glbimg.com/es/sde/f/2017/08/24/9ea34016bae7f001bbb849c8d907c1f4_FORMATO.png",82411,1,"SAO","mei","Provável",0,14,0,0,0,"São Paulo"
"3","Jean Paulo Fernandes Filho","Jean","https://s.glbimg.com/es/sde/f/2018/03/11/1a43920af3ea4ad2f189d77f6480d4ec_FORMATO.png",90933,1,"SAO","gol","Nulo",0,8,0,0,0,"São Paulo"
"4","Robert Abel Arboleda Escobar","Arboleda","https://s.glbimg.com/es/sde/f/2018/03/11/850c8b93c9700970ec1d30ac9c8107da_FORMATO.png",91573,1,"SAO","zag","Provável",0,11,0,0,0,"São Paulo"
"5","Wanderson Ferreira de Oliveira","Valdívia","https://s.glbimg.com/es/sde/f/2018/03/11/5521e335c416889f2e4648069c23c539_FORMATO.png",85423,1,"SAO","mei","Dúvida",0,10,0,0,0,"São Paulo"
"6","Petros Mateus dos Santos Araújo","Petros","https://s.glbimg.com/es/sde/f/2017/07/26/76e3ac62bea2e73cc7ef41c4584caa71_FORMATO.png",78891,1,"SAO","mei","Nulo",0,10,0,0,0,"São Paulo"
"7","Lucas Fernandes da Silva","Lucas Fernandes","https://s.glbimg.com/es/sde/f/2016/05/01/0a47d84040286532fb5d90cc746b49b3_FORMATO.png",94931,1,"SAO","mei","Nulo",0,4,0,0,0,"São Paulo"
"8","Santiago Tréllez Vivero","Tréllez","https://s.glbimg.com/es/sde/f/2018/03/11/d5b5b6a89764a87e0a097fe2b1db36a8_FORMATO.png",87679,1,"SAO","ata","Provável",0,9,0,0,0,"São Paulo"
"9","Marcos Guilherme de Almeida Santos Matos","Marcos Guilherme ","https://s.glbimg.com/es/sde/f/2017/07/26/d3484768bc48ad214ba1ea35149b30ba_FORMATO.png",83266,1,"SAO","ata","Provável",0,12,0,0,0,"São Paulo"
"10","Carlos Eugenio Júnior Tavares dos Santos","Júnior Tavares","https://s.glbimg.com/es/sde/f/2017/02/09/25d0a51f886e8f5b2db83e4bea6a4e20_FORMATO.png",89343,1,"SAO","lat","Nulo",0,6,0,0,0,"São Paulo"
"11","Felipe Araruna Hoffman","Araruna","https://s.glbimg.com/es/sde/f/2018/03/11/7030e733858cd55345ae8fca12dd204f_FORMATO.png",95660,1,"SAO","mei","Nulo",0,3,0,0,0,"São Paulo"
"12","Lucas Estella Perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2016/05/01/33edb005bdd244f616d094e71ba6c3a8_FORMATO.png",91260,1,"SAO","gol","Nulo",0,1,0,0,0,"São Paulo"
"13","Caique da Silva Maria","Caíque","https://s.glbimg.com/es/sde/f/2017/06/16/4d8ec695b7a6792f35e8eb992f9c59ad_FORMATO.png",95831,1,"SAO","ata","Nulo",0,1,0,0,0,"São Paulo"
"14","Shaylon Kallyson Cardoso","Shaylon","https://s.glbimg.com/es/sde/f/2017/02/09/81337ea0dca634d71b1201853010e1dd_FORMATO.png",97520,1,"SAO","mei","Nulo",0,4,0,0,0,"São Paulo"
"15","Igor Silveira Gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2018/01/16/f637cb7f9f0d7c20e5c36f2a36e2efab_FORMATO.jpeg",100084,1,"SAO","mei","Nulo",0,1,0,0,0,"São Paulo"
"16","Brenner Souza da Silva","Brenner","https://s.glbimg.com/es/sde/f/2018/03/11/773b4a6a965c0fdb7e72df3b40611801_FORMATO.png",99789,1,"SAO","ata","Nulo",0,5,0,0,0,"São Paulo"
