"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","G","I","PE","RB","A","DD","GS","SG","CV","FT","GC","PP","DP"
"1","Wagner Ferreira dos Santos","wagner","Wagner","https://s.glbimg.com/es/sde/f/2018/03/20/8d0fc53ac4dbf25ee745d9d6af54fdc2_FORMATO.png",37674,16,"VAS","mei","Nulo",1.2,9.26,-0.83,2.14,"Vasco",6,13,5,5,20,2,2,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/05/18/8e50aae33b3efeecf55378dbf4117454_FORMATO.png",37688,16,"GRE","mei","Nulo",0,5.49,0,1.82,"Grêmio",3,10,5,5,8,NA,NA,15,11,1,NA,NA,NA,NA,NA,NA,NA,NA
"3","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,16,"AME","ata","Provável",0,9.31,0,2.69,"América-MG",3,17,6,4,9,3,3,21,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"4","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,16,"CRU","gol","Provável",-1,9.72,-0.27,3.25,"Cruzeiro",NA,NA,NA,NA,1,NA,NA,6,NA,NA,17,13,5,NA,NA,NA,NA,NA
"5","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,16,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,16,"ATL","zag","Provável",4.1,7.25,0.58,4,"Atlético-PR",2,6,NA,NA,5,1,NA,10,3,NA,NA,NA,3,NA,NA,NA,NA,NA
"7","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,16,"PAL","zag","Provável",0,5.06,0,1.25,"Palmeiras",2,7,1,1,12,NA,3,7,10,NA,NA,NA,2,1,1,1,NA,NA
"8","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,16,"CRU","tec","Provável",1.01,10.37,-0.19,3.75,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,16,"SPO","mei","Provável",-0.4,4.33,-0.69,2.17,"Sport",1,8,2,7,8,2,NA,21,2,NA,NA,NA,NA,NA,1,NA,NA,NA
"10","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,16,"ATL","lat","Provável",8.5,9.36,1.03,3.79,"Atlético-PR",1,4,NA,NA,2,NA,NA,5,4,3,NA,NA,2,NA,NA,NA,NA,NA
"11","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,16,"FLA","zag","Provável",0,7.2,0,2.6,"Flamengo",NA,NA,NA,1,1,NA,NA,5,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"12","Gilson Kleina","gilson-kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2018/05/24/1d41c49023a010d80f959bd498bb24df_FORMATO.png",37306,16,"CHA","tec","Provável",3.15,7.94,0.31,3.51,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,16,"CRU","lat","Suspenso",-0.3,6.89,-1.12,1.85,"Cruzeiro",6,10,2,4,7,NA,NA,28,12,NA,NA,NA,3,NA,NA,NA,NA,NA
"14","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,16,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Marcelo Grohe","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2018/05/21/7036067157219fde8e6665b3c05b9ec2_FORMATO.png",37770,16,"GRE","gol","Nulo",0,15.68,0,4.77,"Grêmio",NA,NA,NA,NA,2,NA,NA,4,NA,NA,9,5,10,NA,NA,NA,NA,NA
"16","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,16,"CRU","mei","Provável",3,9.21,-0.09,2.86,"Cruzeiro",3,11,1,6,13,NA,NA,13,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,16,"CRU","ata","Nulo",0,8.69,0,4.46,"Cruzeiro",2,6,4,12,14,2,2,11,9,1,NA,NA,NA,NA,NA,NA,NA,NA
"18","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,16,"CEA","mei","Provável",-3.6,2.71,-2.29,-3.6,"Ceará",1,6,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,16,"VIT","mei","Provável",0.6,2.91,-0.55,-0.22,"Vitória",2,5,NA,NA,2,NA,1,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,16,"GRE","lat","Nulo",0,11.66,0,6.13,"Grêmio",NA,5,NA,NA,8,NA,NA,11,8,2,NA,NA,7,NA,NA,NA,NA,NA
"21","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,16,"COR","mei","Nulo",0,3.53,0,2,"Corinthians",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,16,"BAH","gol","Provável",-1,3.41,-0.86,3.13,"Bahia",NA,NA,NA,NA,1,NA,NA,2,NA,NA,8,6,2,NA,NA,NA,NA,NA
"23","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,16,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,16,"PAL","gol","Nulo",0,12,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,16,"SPO","zag","Dúvida",0,6.27,0,6.75,"Sport",NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"26","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,16,"BOT","gol","Contundido",0,8.15,0,2.46,"Botafogo",NA,NA,NA,NA,1,NA,NA,7,NA,1,16,16,2,NA,NA,NA,NA,NA
"27","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,16,"ATL","lat","Dúvida",0,5.84,0,1.99,"Atlético-MG",4,16,1,2,21,1,4,33,13,NA,NA,NA,3,NA,NA,NA,NA,NA
"28","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,16,"CHA","mei","Nulo",0,3.48,0,1.79,"Chapecoense",1,11,1,3,13,NA,NA,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,16,"GRE","mei","Nulo",0,8.21,0,3.27,"Grêmio",3,17,2,4,8,3,NA,42,19,1,NA,NA,NA,NA,NA,NA,1,NA
"30","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,16,"ATL","zag","Nulo",0,8.87,0,3.02,"Atlético-PR",1,13,1,3,8,1,NA,11,9,NA,NA,NA,3,NA,1,1,NA,NA
"31","Roger Rodrigues da Silva","roger","Roger","https://s.glbimg.com/es/sde/f/2018/05/18/383add7632ff5943c79f5f45676d54a4_FORMATO.png",38287,16,"COR","ata","Nulo",0,4.68,0,1.19,"Corinthians",1,18,NA,8,8,2,7,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,16,"CRU","mei","Provável",0,8.82,0,1.38,"Cruzeiro",1,5,12,6,10,NA,6,35,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,16,"CRU","ata","Contundido",0,16,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Rafael da Silva Francisco","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/05/07/0503b8716705d21bf6b86bfe04b6e00e_FORMATO.png",38421,16,"CRU","mei","Nulo",3.6,7.28,0.07,2.28,"Cruzeiro",NA,6,2,1,14,NA,3,10,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"35","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,16,"COR","mei","Provável",12.1,8.95,1.93,3.5,"Corinthians",NA,5,1,2,1,2,NA,21,2,3,NA,NA,NA,NA,1,NA,NA,NA
"36","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2018/05/24/9044ae83ee33699eea7c94bb59f6da14_FORMATO.png",38279,16,"CHA","ata","Provável",0.8,9.57,0.4,2.54,"Chapecoense",6,30,2,19,20,3,7,30,9,2,NA,NA,NA,NA,NA,NA,NA,NA
"37","Eder Luis de Oliveira","eder-luis","Eder Luis","https://s.glbimg.com/es/sde/f/2018/05/02/632e0449b03de2d0c40106ac608a3b24_FORMATO.png",38508,16,"CEA","ata","Nulo",0,3.67,0,0.93,"Ceará",NA,6,2,2,10,NA,5,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Willian Lanes de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2018/05/07/dec8edfba101fd4ea107b0749fd0e6cf_FORMATO.png",38506,16,"AME","zag","Contundido",0,5,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,16,"AME","gol","Nulo",0,3,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2018/03/21/138ff55a4e1498ee45e7daf2e1dbc2cc_FORMATO.png",38573,16,"BAH","mei","Nulo",0,7,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
