"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FS","G","RB","A","CA","FD","FF","FT","I","PE","SG","GC","DD","GS","CV","DP","PP"
"1","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,32,"COR","mei","Provável",0.5,3.01,-2.36,2.71,"Corinthians",2,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,32,"SPO","mei","Provável",1.6,4.95,-1.15,2.92,"Sport",15,12,3,7,3,1,3,13,2,3,39,NA,NA,NA,NA,NA,NA,NA
"3","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,32,"ATL","lat","Provável",0,9.7,0,4.31,"Atlético-PR",13,6,1,11,5,3,NA,1,NA,NA,27,9,NA,NA,NA,NA,NA,NA
"4","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2018/09/27/3fac01fce7e7f953d43218deb18d6a96_FORMATO.png",37645,32,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,32,"CRU","mei","Provável",10.9,9.8,1.17,2.84,"Cruzeiro",19,18,NA,37,1,6,1,9,NA,NA,20,NA,1,NA,NA,NA,NA,NA
"6","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,32,"GRE","lat","Provável",0,12.33,0,5.75,"Grêmio",11,12,NA,19,3,NA,NA,NA,NA,2,25,9,NA,NA,NA,NA,NA,NA
"7","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,32,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,32,"FLA","zag","Contundido",0,5.74,0,1.55,"Flamengo",1,1,NA,3,NA,1,NA,1,NA,NA,7,1,NA,NA,NA,NA,NA,NA
"9","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/05/18/8e50aae33b3efeecf55378dbf4117454_FORMATO.png",37688,32,"GRE","mei","Nulo",0,5.46,0,2.43,"Grêmio",26,21,1,20,2,4,11,10,NA,1,40,NA,NA,NA,NA,NA,NA,NA
"10","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,32,"VIT","mei","Provável",-2.4,2.24,-0.31,0.08,"Vitória",15,7,NA,12,NA,4,NA,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA
