"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","CV","FC","FF","FS","PE","RB","SG","FD","I","DD","DP","GS","A","G","FT","PP","GC"
"1","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,17,314,"zag","Provável",0,3.04,0,1.96,"Avaí",4,1,13,1,15,30,23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2019/09/03/8eea7cb9f22e0137fdad6b26a87d1317_FORMATO.png",37281,17,275,"tec","Provável",0,9.44,0,3.17,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Ney Franco da Silveira Júnior","ney-franco","Ney Franco","https://s.glbimg.com/es/sde/f/2019/08/16/4fdb04d94b755837e1e0f7f90cf60442_FORMATO.png",37246,17,290,"tec","Provável",0.51,8.31,-0.55,3.07,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/09/27/3ded47ae372af2247cf245225f727efc_FORMATO.png",50408,17,267,"zag","Nulo",0,6,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Oswaldo de Oliveira","oswaldo-de-oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2019/08/27/835aad64e86b5c595fe6a647b4ada118_FORMATO.png",36940,17,266,"tec","Provável",2.99,6.42,-0.48,2.99,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,17,283,"zag","Dúvida",0,7.01,0,2.47,"Cruzeiro",1,NA,14,NA,4,11,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2019/07/16/854eb848da41f2f6d32cdacb338e5e87_FORMATO.png",37655,17,290,"ata","Nulo",2,3.79,0.4,0.68,"Goiás",NA,NA,6,2,4,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,17,283,"gol","Provável",12,11.69,2.42,3.6,"Cruzeiro",1,NA,NA,NA,1,4,NA,5,NA,NA,16,2,17,NA,NA,NA,NA,NA
"9","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,17,315,"lat","Provável",-5.5,7.48,-2.19,3.17,"Chapecoense",2,NA,11,NA,13,37,16,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"10","Evandro Goebel","evandro","Evandro","https://s.glbimg.com/es/sde/f/2019/07/23/786467c2a3fa4e560747d85deb202cf4_FORMATO.png",37614,17,277,"mei","Provável",3.4,5.04,0.56,1.12,"Santos",NA,NA,6,1,3,8,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2019/06/05/4b2eb6b4e8d69e5d9596ee97455c1859_FORMATO.png",37657,17,275,"zag","Nulo",0,6.97,0,4.7,"Palmeiras",NA,NA,3,3,2,1,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,17,356,"zag","Contundido",0,4.09,0,0.98,"Fortaleza",NA,NA,5,3,3,24,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,17,263,"mei","Provável",2.3,12.71,0.53,4.41,"Botafogo",4,NA,7,7,38,31,21,NA,2,1,NA,NA,NA,1,3,NA,NA,NA
"14","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,17,293,"lat","Nulo",0,7.3,0,4.32,"Athlético-PR",2,NA,4,NA,3,7,6,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"15","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,17,356,"gol","Nulo",0,3.31,0,-2.3,"Fortaleza",1,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA
