"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.84","0.95","-0.33","290","68","47","264","0.94","1.09","1.76"
"0.75","0.89","-0.59","315","79","65","284","0.29","1.07","1.14"
"0.93","0.71","-0.59","283","70","62","282","0.49","1.4","1.01"
"0.76","1.29","-0.03","356","65","76","354","0.4","1.02","1.29"
"1.71","1.6","1.45","275","87","47","264","0.94","1.09","1.76"
"0.84","0.95","-0.33","290","68","52","277","1.18","1.54","1.47"
"0.76","0.25","-2.38","341","31","58","267","0.09","1.16","0.91"
"1.4","1.3","0.87","285","66","80","266","-0.13","1.25","0.73"
"1.13","0.85","-0.06","263","65","16","314","-1.5","0.42","0.84"
"1.05","2.18","1.19","262","87","61","265","0.03","0.82","1.25"
"1.71","1.29","1.15","276","60","80","293","1.12","1.71","1.27"
