"player_slug","player_id","player_nickname","player_team","player_position","price_cartoletas","score_mean","score_no_cleansheets_mean","diff_home_away_s","n_games","score_mean_home","score_mean_away","shots_x_mean","fouls_mean","DS_mean","PI_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","status","price_diff","last_points"
"jonathan",37662,"Jonathan","293","lat",10.54,5.93333333333333,2.6,-1.54455341001968,3,-1.8,9.8,0,0.666666666666667,0.333333333333333,2.33333333333333,0.666666666666667,0,0,0,0,0,"Dúvida",-0.57,0.9
"rafael-sobis",37798,"Rafael Sobis","354","ata",7.21,2.25,2.25,-0.951392678057203,4,-0.3,3.4,2.5,1,0.75,4,0,0.25,0.25,1.5,0,0,"Nulo",0.08,2.6
"anderson",38001,"Anderson","265","gol",2.58,1.1,1.1,0,1,0,1.1,0,0,0,9,0,0,0,0,0,1,"Provável",-0.42,1.1
"jo",38138,"Jô","264","ata",13.75,9.53333333333333,9.53333333333333,-1.58546104670675,3,7.1,13.9,1.66666666666667,0.666666666666667,0,7,0.666666666666667,0,1.66666666666667,0.333333333333333,0.666666666666667,0,"Provável",1.33,7.1
"fernando-prass",38140,"Fernando Prass","354","gol",0.75,-0.775,-0.775,3.56890117586374,4,11.8,-6.6,0,0.25,0,7.75,0,0,0,0,0,1.25,"Provável",-1.37,-6.2
"rafinha",38144,"Rafinha","262","lat",6.05,2.6,2.6,0.521282242677222,2,2.6,-0.9,0,1,3,9,0,0,5,0,0,0,"Nulo",-1.63,-0.9
"fred",38162,"Fred","266","ata",2.7,-0.2,-0.2,-0.562770129530063,2,-2,-0.2,0,2,0,2,0,0,2,0,0,0,"Contundido",-2.23,-2
"maicon",38196,"Maicon","284","mei",3.72,-0.5,-0.5,-0.358231946094727,3,-1.2,-0.4,0,2,1,6.66666666666667,0,0,0.333333333333333,0,0,0,"Nulo",-0.55,-0.4
"fabio-santos",38229,"Fábio Santos","282","lat",5.89,-1,-1,0,2,-1,0,0,2,0,0,0,0,0,0,0,0,"Nulo",1.16,5
"thiago-neves",38277,"Thiago Neves","284","mei",3.9,-0.0666666666666667,-0.0666666666666667,-0.15369376265939,3,0,-0.2,0,0,0,0.666666666666667,0,0,0,0,0,0,"Provável",-0.83,-0.2
"wellington-paulista",38279,"Wellington Paulista","356","ata",6.72,0.25,0.25,-0.0718784892852549,4,0.5,-0.1,0.75,0.75,0,1.5,0,0.25,0,0,0,0,"Provável",2.59,9.7
"thiago-heleno",38394,"Thiago Heleno","293","zag",4.81,0.166666666666667,0.166666666666667,-0.54231631118653,3,-0.4,1.3,0.666666666666667,2,1.33333333333333,2,0,0,1,0.666666666666667,0,0,"Contundido",-1.31,-2.4
"wanderley",38449,"Wanderley","294","ata",3.26,0.5,0.5,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,"Nulo",-0.74,0.5
"leandro-castan",38505,"Leandro Castan","267","zag",15.28,5.16666666666667,1.83333333333333,-0.460501037812395,3,6.2,7.5,0,1.33333333333333,2.33333333333333,3.33333333333333,0,0,1,0,0,0,"Provável",0.99,7.5
"diego-alves",38509,"Diego Alves","262","gol",7.33,1.56666666666667,1.56666666666667,2.28031062022112,3,5.6,-6.5,0,0.333333333333333,0,6,0,0,1,0,0,1.66666666666667,"Provável",-1.95,-2.4
"elton",38588,"Elton","292","ata",13.03,7.55,7.55,3.38481681077194,4,15.6,-1.9,2.25,1.5,0,4,0,1.75,0.25,0.5,1,0,"Provável",-0.56,1.1
"filipe-luis",38750,"Filipe Luís","262","lat",3.94,0.525,-0.725,-1.76954541179855,4,-4.7,3,0.25,2.25,2.75,10.25,0,0,1.75,0,0,0,"Provável",-1.12,0
"mariano",38877,"Mariano","282","lat",8.17,0.9,0.9,0.132659694150082,2,0.9,-0.7,0,0,1,1,0,0,0,0,0,0,"Dúvida",-1.84,-0.7
"diego",38909,"Diego","262","mei",5.35,-1.7,-1.7,0,1,0,-1.7,0,2,0,2,0,0,2,0,0,0,"Nulo",-2.65,-1.7
"nene",38913,"Nenê","266","mei",12.61,6.025,6.025,-0.869577404683069,4,0.2,3.5,2.25,0.75,0.75,12.75,0,0,2.25,0.75,0.5,0,"Provável",-0.24,7
"daniel-alves",38939,"Daniel Alves","276","mei",13.69,11.5333333333333,11.5333333333333,2.79165607880946,3,16.4,1.8,4,2.33333333333333,4.33333333333333,12.6666666666667,0,1,4,3,0.666666666666667,0,"Provável",-0.62,1.2
"franco",39656,"Franco","282","mei",3.27,0.35,0.35,0.562189879364289,4,2.1,-1.6,0.25,1,0.5,5.75,0,0,1.25,0,0,0,"Dúvida",-0.39,0.3
"willian",42116,"Willian","275","ata",8.72,-0.466666666666667,-0.466666666666667,-0.480954856155929,3,-1.4,0,0,1.33333333333333,0,1.33333333333333,0,0,0.666666666666667,0,0,0,"Nulo",-0.48,0.4
"egidio",42145,"Egídio","266","lat",9.75,3.825,3.825,1.2985273397315,4,8.6,1.3,0.5,1.25,4.25,11.5,0,0,1.5,0,0,0,"Provável",1.4,7.4
"osvaldo",42222,"Osvaldo","356","ata",6.43,0.825,0.825,0.0303906024324136,4,1,-0.1,0.75,0.75,1,6.25,0,0,1,0.5,0,0,"Provável",2.4,9.4
"cassio",42234,"Cássio","264","gol",10.2,6,4.33333333333333,-1.58546104670675,3,-2.1,4.7,0,0,0,10,0,0,0,0,0,2.33333333333333,"Provável",-2.23,-2.1
"fagner",42500,"Fagner","264","lat",11.69,1.5,1.5,0,1,1.5,0,1,1,2,12,0,0,0,0,0,0,"Provável",-3.31,1.5
"rhodolfo",42501,"Rhodolfo","294","zag",4.47,2.5,2.5,0.00993678408887985,2,2.5,1.5,0,1,3,5,0,0,1,0,0,0,"Provável",-0.11,1.5
"ernando",49651,"Ernando","265","zag",6.48,6.9,3.56666666666667,-0.0309708525981875,3,5.3,-0.5,0.666666666666667,0.333333333333333,0.666666666666667,3.33333333333333,0,0,0.666666666666667,0,0.333333333333333,0,"Provável",-1.52,-0.5
"wilson",50284,"Wilson","294","gol",8.76,3.35,3.35,0.521282242677222,4,1.3,-2.2,0,0,0,6.5,0,0,0,0,0,1.5,"Provável",0.77,8.3
"ramires",50293,"Ramires","275","mei",6.37,3.46666666666667,3.46666666666667,0.766728062799626,3,6.6,1.9,0,0,3.33333333333333,2,0,0,0.666666666666667,0,0,0,"Nulo",-1.12,-0.1
"david-braz",50317,"David Braz","284","zag",7.35,4.56666666666667,1.23333333333333,-1.0127541330878,3,4.9,3.9,0.333333333333333,0,1,2,0,0,0.333333333333333,0.333333333333333,0,0,"Provável",-1.14,0
"guilherme-santos",50346,"Guilherme Santos","263","lat",7.96,7.3,5.63333333333333,-0.808215949652468,3,4.3,7.3,1,1,2,1.66666666666667,0.666666666666667,0,0.333333333333333,1,0,0,"Dúvida",0.2,4.3
"eduardo",50645,"Eduardo","354","lat",4.01,0.7,0.7,0,1,0.7,0,0,0,1,3,0,0,0,0,0,0,"Nulo",-0.99,0.7
"everton-ribeiro",51772,"Everton Ribeiro","262","mei",5.91,2.5,2.5,0.868997154517295,4,4.5,-0.7,0.75,0.5,1.75,5.5,0,0,1.5,0.25,0,0,"Provável",-0.25,1
"rever",52253,"Réver","282","zag",8.12,1.6,1.6,0,2,1.6,0,0,0,2,9,0,0,1,0,0,0,"Provável",0.76,5
"ytalo",53148,"Ytalo","Bragantino","ata",5.12,1.63333333333333,1.63333333333333,0,3,0,0,1.66666666666667,0,0.333333333333333,1.66666666666667,0,0,0,1.33333333333333,0,0,"Nulo",-0.73,0
"derley",60791,"Derley","356","mei",4.2,1.8,1.8,0,1,1.8,0,1,0,1,0,0,0,0,1,0,0,"Nulo",0.2,1.8
