"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FD","FF","FS","G","I","PI","CV","SG","A","DD","DP","GS","FT","GC","PP"
"1","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/07/16/1dd17b686beb984f6b1468e01a4359b5_FORMATO.png",39850,14,373,"tec","Provável",0.64,6.48,-0.54,3.23,13,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,14,373,"ata","Nulo",-1.3,6.08,-0.65,1.86,12,"373",2,10,13,3,6,4,2,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,14,293,"mei","Provável",-0.5,11.68,-0.67,3.18,10,"293",2,18,15,1,13,19,1,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Natanael Moreira Milouski","natanael","Natanael","https://s.glbimg.com/es/sde/f/2020/03/03/2c9e5951bc7a8dfb8ed3c7f7759e59f6_FORMATO.png",107554,14,294,"lat","Provável",-1.9,0.99,-0.54,1.43,7,"Coritiba",NA,14,12,NA,2,8,NA,1,31,1,1,NA,NA,NA,NA,NA,NA,NA
"5","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,14,373,"mei","Nulo",1.8,3.02,-0.03,1.2,4,"373",NA,5,NA,NA,1,1,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Gabriel Santos Cordeiro Lacerda","gabriel-lacerda","Gabriel Lacerda","https://s.glbimg.com/es/sde/f/2020/07/21/3dc2061d37b1f85d9dd8d9dd72cb35de_FORMATO.png",108176,14,354,"zag","Nulo",0,3.37,0,3.01,8,"354",NA,6,3,1,NA,3,NA,NA,32,NA,3,1,NA,NA,NA,NA,NA,NA
"7","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,14,373,"zag","Suspenso",-1.3,5.04,-0.66,2.72,9,"373",3,15,13,1,1,6,1,NA,11,NA,2,NA,NA,NA,NA,NA,NA,NA
"8","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,14,293,"gol","Nulo",0,5.37,0,1.73,10,"293",NA,NA,1,NA,NA,NA,NA,NA,72,NA,2,NA,8,1,12,NA,NA,NA
"9","Matheus Cotulio Bossa","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png",78424,14,373,"mei","Nulo",2.7,5.07,0.14,2.21,11,"373",NA,8,4,4,7,7,NA,1,31,NA,NA,1,NA,NA,NA,1,NA,NA
"10","Gustavo Henrique Ferrareis","gustavo-ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2020/02/27/86bda8f1f2f8a1d79cbbc8a21a0d4436_FORMATO.png",89815,14,373,"mei","Provável",2.1,8.86,0.56,2.98,12,"373",2,14,24,3,10,23,2,2,53,NA,NA,1,NA,NA,NA,NA,NA,NA
"11","Bruno Conceição Praxedes","praxedes","Praxedes","https://s.glbimg.com/es/sde/f/2020/07/20/521eb9012cf96bba8e8c3b08e79b3138_FORMATO.png",107744,14,285,"mei","Nulo",0,0.78,0,-1.16,5,"285",3,4,8,NA,3,1,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,14,373,"gol","Nulo",-7.8,1.56,-2.44,-7.8,1,"373",NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,3,NA,NA,NA
"13","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,14,373,"mei","Nulo",2.2,2.85,0.42,0.77,8,"373",NA,4,5,1,3,6,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png",77544,14,293,"mei","Nulo",3.2,10.16,-0.08,4.42,8,"293",NA,15,7,1,5,13,2,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Edson Felipe da Cruz","edson","Edson ","https://s.glbimg.com/es/sde/f/2020/02/27/46673460151dd74450b62c385acb5f7b_FORMATO.png",80370,14,373,"mei","Nulo",0,8.94,0,4.46,12,"373",3,43,26,2,4,28,1,NA,29,NA,NA,1,NA,NA,NA,NA,NA,NA
"16","Matheus Bueno Batista","matheus-bueno","Matheus Bueno","https://s.glbimg.com/es/sde/f/2020/03/03/a159f5ccd62c81f4ada32db91977a6be_FORMATO.png",101832,14,294,"mei","Nulo",0,2.41,0,1.4,12,"Coritiba",1,18,13,3,2,12,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Henrique Vermudt","henrique-vermudt","Henrique Vermudt","https://s.glbimg.com/es/sde/f/2020/03/03/935e5497d5d03ac1eefea34e909731cf_FORMATO.png",104504,14,294,"mei","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Rafael Forster","rafael-forster","Rafael Forster","https://s.glbimg.com/es/sde/f/2020/07/25/45f0a542e4a96e80e8787fdca06ccec8_FORMATO.png",82764,14,263,"zag","Provável",1.9,3.28,0.24,1.12,12,"263",2,10,10,1,3,9,NA,NA,56,NA,2,NA,NA,NA,NA,NA,NA,NA
"19","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2020/07/21/63b1b5162d56c5b17d785e530bc0fd50_FORMATO.png",86410,14,263,"lat","Provável",3.1,10.32,-0.36,6.63,8,"263",NA,30,6,2,2,7,2,NA,75,NA,2,NA,NA,NA,NA,NA,NA,NA
"20","Leonardo Natel Vieira","leo-natel","Léo Natel","https://s.glbimg.com/es/sde/f/2020/07/21/75fe8f637b732326ab10856c62020124_FORMATO.png",98952,14,264,"ata","Provável",-2.1,3.76,-0.79,2.27,9,"264",1,10,16,3,7,5,1,1,38,NA,NA,1,NA,NA,NA,NA,NA,NA
"21","Brenner Souza da Silva","brenner","Brenner","https://s.glbimg.com/es/sde/f/2020/07/23/08b2259246ad0fdc037dd11a4549d219_FORMATO.png",99789,14,276,"ata","Provável",20.6,8.35,3.81,5.7,8,"276",2,3,6,4,6,7,4,4,15,NA,NA,1,NA,NA,NA,1,NA,NA
"22","Carlos Eduardo Soares Mota","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/27/3e68131e760ca1e4bc68e176dfd5b5ec_FORMATO.png",90416,14,292,"gol","Nulo",0,2,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Kevin Peterson dos Santos Silva","kevin","Kevin ","https://s.glbimg.com/es/sde/f/2020/07/22/3146ee098c41caa4d1ed2022bd3dc17e_FORMATO.png",91888,14,263,"lat","Provável",6.3,3.86,2.1,1.72,9,"263",1,19,9,3,1,8,NA,NA,104,NA,1,1,NA,NA,NA,NA,1,NA
"24","Miguel Silveira dos Santos","miguel","Miguel","https://s.glbimg.com/es/sde/f/2020/08/11/d3bc0d5856387f3aab09b5c23bc2f805_FORMATO.png",105612,14,266,"mei","Nulo",0,1.92,0,0.35,2,"266",NA,1,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Luciano Batista da Silva Junior","luciano-juba","Luciano Juba","https://s.glbimg.com/es/sde/f/2020/02/27/31b914c6b9a40f145d57b7006f20116e_FORMATO.png",107093,14,292,"lat","Dúvida",0.4,1.83,0.05,1.53,10,"292",1,11,9,1,NA,1,NA,NA,69,NA,1,1,NA,NA,NA,2,NA,NA
"26","Paulo Henrique Pereira da Silva","paulinho-boia","Paulinho Bóia","https://s.glbimg.com/es/sde/f/2020/07/21/b835e53eaf060e493f1fdd092c0174c6_FORMATO.png",100333,14,276,"ata","Nulo",0,5.19,0,3.49,8,"276",NA,11,8,4,6,18,NA,3,22,NA,NA,NA,NA,NA,NA,2,NA,NA
"27","Lucas Felipe Calegari","calegari","Calegari","https://s.glbimg.com/es/sde/f/2020/08/11/62173af2578274ecacd1dfb222a0b1ed_FORMATO.png",104276,14,266,"lat","Provável",0,5.21,0,5.14,7,"266",NA,28,7,2,2,16,NA,1,50,NA,1,NA,NA,NA,NA,NA,NA,NA
"28","Maxwell Lima Santos Silva","maxwell","Maxwell","https://s.glbimg.com/es/sde/f/2020/02/27/6dd964a64713673b192cdf5819becdb7_FORMATO.png",107092,14,292,"ata","Nulo",0.2,2.1,-0.44,0.85,2,"292",NA,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Nathanael Ananias da Silva","nathan-silva","Nathan Silva","https://s.glbimg.com/es/sde/f/2020/03/03/b83d40e4104fc0cb62636da75ac2daaa_FORMATO.png",95794,14,294,"mei","Nulo",9.4,3.9,1.51,2.25,4,"Coritiba",2,9,11,NA,1,4,1,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Ángelo Giovanni Araos Llanos","araos","Araos","https://s.glbimg.com/es/sde/f/2020/07/21/e063b0d6307468bf5a905f24f53404ff_FORMATO.png",102352,14,264,"mei","Nulo",0,7.51,0,3.6,7,"264",2,7,5,2,4,9,1,NA,34,NA,NA,2,NA,NA,NA,NA,NA,NA
"31","Francisco Alves da Silva Melo","chico","Chico","https://s.glbimg.com/es/sde/f/2020/02/27/091e13c92c44ecc1214f5f2ecd1f2b5d_FORMATO.png",99253,14,292,"zag","Nulo",0,1.7,0,1.08,5,"292",1,4,3,NA,NA,1,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"32","Matheus Nascimento de Paula","matheus-nascimento","Matheus Nascimento","https://s.glbimg.com/es/sde/f/2020/08/31/21f8af047c8476ce2fe45bfe2b91e4ea_FORMATO.png",109114,14,263,"ata","Nulo",0,0.77,0,-0.5,1,"263",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Iván Darío Angulo Cortés","ivan-angulo","Iván Angulo","https://s.glbimg.com/es/sde/f/2019/07/02/731398bec297fdd7b71603f1da8e4c61_FORMATO.jpeg",105841,14,275,"ata","Nulo",0,4,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Mateus Eduardo Claus","mateus-claus","Mateus Claus","https://s.glbimg.com/es/sde/f/2020/07/20/20b5a80823c74d5c1a1dfcae3aca571b_FORMATO.png",90590,14,265,"gol","Nulo",0,3.77,0,7.9,2,"265",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,6,NA,4,NA,NA,NA
"35","Jaime Alberto Alvarado Hoyos","alvarado","Alvarado","https://s.glbimg.com/es/sde/f/2020/07/25/4a02063b707aa80eda6644030e78eaf9_FORMATO.png",107991,14,293,"mei","Dúvida",0,4.57,0,1.12,5,"293",1,7,4,NA,NA,1,NA,NA,9,NA,NA,NA,NA,NA,NA,1,NA,NA
"36","Francisco Vítor Silva Costa","victor-jacare","Victor Jacaré","https://s.glbimg.com/es/sde/f/2020/08/25/682aea868615c09c3571352b835cc394_FORMATO.png",101201,14,354,"ata","Nulo",0,6.54,0,2.22,5,"354",1,NA,7,1,6,9,1,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Tiago Barbosa Figueiredo","tiago-barbosa","Tiago Barbosa","https://s.glbimg.com/es/sde/f/2020/07/20/48e64443c43ff43fa1a705b9c5ee4534_FORMATO.png",107742,14,285,"zag","Nulo",0,2,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Carlos Eduardo da Silva Rodrigues Lima","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/07/20/e4dbbf8866206bb1c0611baf30621efc_FORMATO.png",107756,14,285,"zag","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Matheus Isaías dos Santos","matheus-jussa","Matheus Jussa","https://s.glbimg.com/es/sde/f/2020/07/20/b6025d70931dcc81ed6357f0201f65e9_FORMATO.png",91689,14,285,"zag","Nulo",0,2.32,0,0.9,2,"285",2,4,5,NA,NA,1,NA,NA,12,NA,1,NA,NA,NA,NA,NA,NA,NA
"40","Guilherme Alecsander Guedes","guilherme-guedes","Guilherme Guedes","https://s.glbimg.com/es/sde/f/2020/07/19/3e492b4747eacc5d7e87267e97310fad_FORMATO.png",100741,14,284,"lat","Nulo",0,3,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Marthã Fernando Gonçalves Pimenta","martha","Marthã","https://s.glbimg.com/es/sde/f/2020/01/16/9b5adea073467ee84f68436f0d462a6f_FORMATO.png",107400,14,354,"mei","Nulo",0,0.83,0,-0.47,3,"354",1,1,2,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","César Coelho Campos Júnior","cesinha","Cesinha","https://s.glbimg.com/es/sde/f/2020/07/20/9084acbdc2fa8f6a0f4cb02c41701033_FORMATO.png",107746,14,285,"mei","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Leonardo Borges da Silva","leonardo-borges","Leonardo Borges","https://s.glbimg.com/es/sde/f/2020/07/26/c3a222558472978d707d1cf23e5f8139_FORMATO.png",105839,14,285,"lat","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Brenno Oliveira Fraga Costa","brenno","Brenno","https://s.glbimg.com/es/sde/f/2020/07/19/1748daa635dc775b9136f10307a95ab1_FORMATO.png",100830,14,284,"gol","Nulo",0,1,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Jonathan Francisco Lemos","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2020/08/18/63c72daeb92b49638ecf5505f27b7806_FORMATO.png",86713,14,294,"lat","Nulo",0,4.44,0,2.73,9,"Coritiba",1,19,6,1,1,7,NA,1,44,NA,2,NA,NA,NA,NA,NA,NA,NA
"46","Cayo Henrique Nascimento Ferreira","cayo-tenorio","Cayo Tenório","https://s.glbimg.com/es/sde/f/2020/08/17/415411430f758b61b7efedd588700ad9_FORMATO.png",107367,14,267,"lat","Nulo",1,4.27,-0.28,3.52,6,"267",2,7,5,1,2,10,NA,NA,22,NA,3,NA,NA,NA,NA,NA,NA,NA
"47","Fabrício do Rosário dos Santos","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2019/01/08/a1caa292583494d502e98f7521e81dd8_FORMATO.png",104134,14,284,"ata","Nulo",0,0.77,0,0,1,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Riquelme Carvalho Araújo Viana","riquelme","Riquelme","https://s.glbimg.com/es/sde/f/2020/08/17/26653830802f187c2488014a12698d4a_FORMATO.png",105566,14,267,"lat","Nulo",0,1,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Daniel de Pauli Oliveira","daniel-oliveira","Daniel Oliveira","https://s.glbimg.com/es/sde/f/2020/08/26/973d074315b5691682ca28a7984cb91c_FORMATO.jpeg",106076,14,290,"lat","Nulo",0.5,1.64,0.01,1.16,5,"290",1,5,6,NA,1,1,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"50","Lucas Evangelista Santana de Oliveira","lucas-evangelista","Lucas Evangelista","https://s.glbimg.com/es/sde/f/2020/08/28/cb89e54fa471354bad6c43cfca018a24_FORMATO.png",84674,14,280,"mei","Nulo",0,4.82,0,4.08,9,"280",2,17,12,2,5,14,2,NA,27,NA,NA,NA,NA,NA,NA,1,NA,NA
"51","Gabriel Bernard Conceição da Silva","gabriel-bernard","Gabriel Bernard","",109618,14,373,"gol","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Bruno da Silva Costa Leite","bruno-leite","Bruno Leite","https://s.glbimg.com/es/sde/f/2020/02/28/0b11aa48b3f2ef3b333a9cf52a39e44e_FORMATO.png",102301,14,293,"mei","Nulo",0,0.77,0,-0.6,1,"293",NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Leonardo Silva Gomes","leo-gomes","Léo Gomes","https://s.glbimg.com/es/sde/f/2020/01/21/3e0e71a35bbe2b295b386c4161ad312c_FORMATO.png",101585,14,293,"mei","Nulo",0,2.88,0,10.1,1,"293",NA,6,3,NA,NA,3,NA,NA,9,NA,NA,1,NA,NA,NA,NA,NA,NA
"54","Kawan Gabriel da Silva","kawan","Kawan","https://s.glbimg.com/es/sde/f/2019/09/08/a8fc75a1bedde47f33857a4a2b460b64_FORMATO.png",106219,14,293,"mei","Nulo",0,0.72,0,-2.6,1,"293",1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Henrique Lordelo Souza de Oliveira","henrique-lordelo","Henrique Lordelo","https://s.glbimg.com/es/sde/f/2020/08/26/0ffd54648c0b345f87f9216be1906a0a_FORMATO.jpeg",107259,14,290,"mei","Nulo",0,1,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Lucas Alexandre Galdino de Azevedo","lucao","Lucão","https://s.glbimg.com/es/sde/f/2020/08/17/899a8fa4b7264b8c6e7a1b11b8c3eec1_FORMATO.png",106160,14,267,"gol","Nulo",0,2,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Walisson Oliveira da Silva","walisson-pequeno","Walisson Pequeno","https://s.glbimg.com/es/sde/f/2020/08/26/8f968c585db3af26f26703f9fdfcefa7_FORMATO.jpeg",101696,14,290,"mei","Nulo",0,2,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Jan Carlos Hurtado Anchico","hurtado","Hurtado","https://s.glbimg.com/es/sde/f/2020/08/28/46b9f37333e23a02a705e65db3c9aeb3_FORMATO.png",105301,14,280,"ata","Nulo",0,1.91,0,0.05,6,"280",NA,2,5,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Ronald dos Santos Lopes","ronald","Ronald","https://s.glbimg.com/es/sde/f/2020/08/11/efc2759a4d0d9b526fb58356150c1655_FORMATO.png",100969,14,356,"mei","Provável",3.2,2.72,0.55,1.56,8,"356",1,12,7,1,NA,12,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Edson Fernando da Silva Gomes","edson","Edson","https://s.glbimg.com/es/sde/f/2020/07/20/233753207218d661601cf908cc94dc4f_FORMATO.png",105901,14,265,"mei","Nulo",0,1.82,0,2.02,5,"265",NA,7,NA,NA,1,8,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Lucas Ribeiro dos Santos","lucas-ribeiro","Lucas Ribeiro","https://s.glbimg.com/es/sde/f/2020/08/11/93a36fa67c35580ef4e99cac7a12dff1_FORMATO.png",103088,14,285,"zag","Nulo",0,4,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Jurani Francisco Ferreira","ratinho","Ratinho","https://s.glbimg.com/es/sde/f/2020/08/26/6e025e8dfe1cf4c483ce1c8f215ff1f3_FORMATO.jpeg",101841,14,290,"mei","Provável",-0.5,1.48,-0.19,0.6,5,"290",2,8,6,NA,2,3,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Thiago Couto Wenceslau","thiago-couto","Thiago Couto","https://s.glbimg.com/es/sde/f/2017/05/25/dfcf4266572f7296e853252f68813195_FORMATO.png",97645,14,276,"gol","Nulo",0,1,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","César Rafael Haydar Villarreal","haydar","Haydar","https://s.glbimg.com/es/sde/f/2020/08/28/ba3142fb0b8e45fc8ea4206aff5b19ea_FORMATO.png",108385,14,280,"zag","Nulo",0,2,0,0,0,"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png",78445,14,262,"lat","Nulo",4.3,6.03,-0.14,3.84,5,"Flamengo",1,14,2,NA,NA,3,NA,NA,33,NA,2,NA,NA,NA,NA,NA,NA,NA
