"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FF","FS","PI","SG","A","FD","FT","G","I","PP","GC","CV","DD","DP","GS"
"1","Matheus dos Santos Miranda","miranda","Miranda","https://s.glbimg.com/es/sde/f/2020/08/17/1cbd279a52f1e6ab977c059e6068442a_FORMATO.png",101720,19,267,"zag","Provável",4.2,4.21,0.46,1.97,13,"267",1,22,8,1,11,68,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Marrony da Silva Liberato","marrony","Marrony","https://s.glbimg.com/es/sde/f/2020/08/31/0b8fc0d9df187526916b27cd3ddd43a6_FORMATO.png",101717,19,282,"ata","Dúvida",-0.3,9.61,-0.09,2.96,16,"282",NA,8,15,6,4,15,NA,1,8,1,3,NA,NA,NA,NA,NA,NA,NA
"3","Diego Henrique Costa Barbosa","diego","Diego","https://s.glbimg.com/es/sde/f/2020/08/31/f816dcd588832ba23a528a2a17f81b46_FORMATO.png",101728,19,276,"zag","Provável",-0.3,3.05,-0.95,2.62,12,"276",2,23,25,4,8,58,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Alerrandro Barra Mansa Realino de Souza","alerrandro","Alerrandro","https://s.glbimg.com/es/sde/f/2020/07/28/e7ad33aff8b2ab2890e6f1e782d86362_FORMATO.png",101715,19,280,"ata","Contundido",0,11.12,0,5.76,12,"280",NA,6,7,9,14,35,NA,2,5,2,5,4,1,NA,NA,NA,NA,NA
"5","Felipe Jonatan Rocha Andrade","felipe-jonatan","Felipe Jonatan","https://s.glbimg.com/es/sde/f/2020/03/09/0b840af999aed1a7ec1a7a35dee46abc_FORMATO.png",101708,19,277,"lat","Provável",2.8,12.16,0.47,4.8,18,"Santos",5,64,24,11,22,149,3,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"6","João Vitor Xavier de Almeida","xavier","Xavier","https://s.glbimg.com/es/sde/f/2020/07/13/6fdc286e70d5425d0b7fbbe41bd2a39c_FORMATO.png",102067,19,264,"mei","Provável",2.2,1.64,0.65,4.13,3,"264",1,11,6,1,1,11,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Fabio Augusto Luciano da Silva","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2020/08/18/1e267a7ff59ae5084d7ab501dbd5b9b7_FORMATO.png",101729,19,293,"ata","Nulo",0,2.57,0,2.18,10,"293",NA,11,4,5,6,48,NA,NA,3,NA,1,2,NA,NA,NA,NA,NA,NA
"8","Matheus Bueno Batista","matheus-bueno","Matheus Bueno","https://s.glbimg.com/es/sde/f/2020/03/03/a159f5ccd62c81f4ada32db91977a6be_FORMATO.png",101832,19,294,"mei","Nulo",0.5,2.29,-0.2,1.32,16,"Coritiba",1,21,14,3,16,49,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Matheus França Silva","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/03/03/c3634cab50166de94d02500e557e0be7_FORMATO.png",101727,19,262,"lat","Nulo",0,2.77,0,2.77,6,"Flamengo",1,6,2,1,2,18,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Lucas Santos da Silva","lucas-santos","Lucas Santos","https://s.glbimg.com/es/sde/f/2020/08/17/9d1cc15782d0788c4ccb7f3cd9a12641_FORMATO.png",101718,19,267,"mei","Nulo",0,1.68,0,-0.1,2,"267",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
