"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FF","FS","PI","SG","A","FD","G","GS","CV","I","DD","DP","FT","GC","PP"
"1","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2019/04/01/c8c4cd4fac733c4fba030044eefbd05a_FORMATO.png",73620,20,276,"zag","Provável",2.2,8.04,0.19,2.85,10,"276",1,10,13,3,14,24,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,20,373,"mei","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2020/07/23/64f95e587c904e0e5980af5e1af88314_FORMATO.png",49651,20,265,"zag","Nulo",0,5.63,0,2.23,12,"265",NA,7,10,2,2,43,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"4","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,20,373,"gol","Nulo",0,1.56,0,-7.8,1,"373",NA,NA,NA,NA,NA,18,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"5","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,20,373,"lat","Provável",1.7,4.97,0.16,2.88,18,"373",1,48,21,5,22,151,4,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA
"6","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,20,373,"zag","Nulo",0,3.05,0,2.18,13,"373",5,24,13,1,11,54,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Tiago Luis Volpi","tiago-volpi","Tiago Volpi","https://s.glbimg.com/es/sde/f/2019/04/01/2738a4ae33bd55ff85ec0117ecf79063_FORMATO.png",72018,20,276,"gol","Provável",2.1,13.22,-2.58,4.34,16,"276",1,1,NA,NA,3,119,5,1,NA,NA,15,NA,NA,15,3,NA,NA,NA
"8","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,20,373,"lat","Provável",5.8,7.99,0.97,3.23,17,"373",NA,29,18,9,8,179,4,3,6,NA,NA,NA,1,NA,NA,NA,NA,NA
"9","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png",39850,20,264,"tec","Provável",0.43,6.83,-0.71,3.36,18,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,20,293,"mei","Provável",-1.1,11.58,-0.6,3.29,15,"293",3,30,30,17,26,59,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"11","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,20,293,"gol","Provável",-2.3,4.68,-0.71,0.74,14,"293",NA,NA,1,NA,1,87,2,NA,NA,NA,17,NA,NA,9,1,NA,NA,NA
"12","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,20,373,"zag","Dúvida",8.9,4.39,1.52,3.17,8,"373",2,7,9,1,7,34,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"13","Igor Vinícius de Souza","igor-vinicius","Igor Vinícius","https://s.glbimg.com/es/sde/f/2019/04/01/882d97a0ed3a028f3c489768c79b7268_FORMATO.png",95466,20,276,"lat","Nulo",0.8,5.55,-1.14,2.5,12,"276",4,18,25,6,10,71,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2020/07/11/aa08b8bb889d2e350b8c0e20f8570d70_FORMATO.png",73896,20,293,"ata","Nulo",0,4.57,0,2.37,11,"293",4,9,15,2,13,44,NA,2,7,1,NA,NA,1,NA,NA,1,NA,NA
"15","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png",77544,20,293,"mei","Nulo",0,9.05,0,3.86,9,"293",NA,15,8,5,13,39,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"16","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2020/08/17/6ea9f38df22592d8e7f2b5f53082c931_FORMATO.png",71571,20,267,"gol","Provável",8.4,9.41,0.73,2.57,17,"267",NA,NA,NA,NA,4,121,4,NA,NA,NA,24,NA,NA,17,2,NA,NA,NA
"17","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,20,373,"mei","Provável",2.5,3.17,0.49,1.16,14,"373",2,6,13,9,19,34,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,20,373,"mei","Provável",4.4,3.21,0.81,0.67,8,"373",1,12,8,4,5,20,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
"19","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2019/04/01/7a6c90034396325f6cc570ef06e1040c_FORMATO.png",100084,20,276,"mei","Provável",12.2,5.53,2.08,1.56,16,"276",2,12,21,5,19,64,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"20","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/10/26/059f2158e6b54d1f4629ebbda8f9570f_FORMATO.png",105809,20,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,20,293,"mei","Nulo",0,3.21,0,0.12,6,"293",1,3,5,1,2,21,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
"22","Juan Francisco Torres Belén","juanfran","Juanfran","https://s.glbimg.com/es/sde/f/2019/08/09/3bd5a8ba6743da05e2eefc2c5140722d_FORMATO.png",72620,20,276,"lat","Provável",7.4,7.16,0.34,3.27,7,"276",1,11,6,2,5,34,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,20,262,"mei","Suspenso",-0.3,8.21,-0.53,4.48,16,"Flamengo",3,18,17,9,34,126,NA,2,6,5,NA,NA,1,NA,NA,NA,NA,NA
"24","Odair Marciano de Oliveira Filho","odair","Odair","",108745,20,373,"zag","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Germán Ezequiel Cano","cano","Cano","https://s.glbimg.com/es/sde/f/2020/08/17/9596d26050cf4d5c6dfba8dbd7af4da9_FORMATO.png",79631,20,267,"ata","Provável",2,12.49,-0.31,4.63,16,"267",NA,7,18,8,9,33,NA,NA,11,7,NA,NA,7,NA,NA,1,NA,NA
"26","Vitor Benedito Leque da Silva","vitor","Vitor","",108714,20,373,"ata","Nulo",0,1.26,0,1.7,1,"373",NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Luan Vinícius da Silva Santos ","luan","Luan","https://s.glbimg.com/es/sde/f/2019/04/01/d66903d72e2d84e1b6c05a8579691862_FORMATO.png",102909,20,276,"mei","Suspenso",1,3.65,-0.45,1.3,10,"276",3,22,10,1,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,20,293,"lat","Contundido",0,9.64,0,3.07,8,"293",2,8,4,NA,4,45,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Gustavo Henrique Ferrareis","gustavo-ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2020/02/27/86bda8f1f2f8a1d79cbbc8a21a0d4436_FORMATO.png",89815,20,373,"mei","Provável",-0.3,7.98,-0.62,2.27,17,"373",3,19,29,10,34,80,NA,1,3,2,NA,NA,3,NA,NA,NA,NA,NA
"30","Martín Nicolás Benítez","benitez","Benítez","https://s.glbimg.com/es/sde/f/2020/08/17/0ff90a1cc63361f256c888951d107118_FORMATO.png",93550,20,267,"mei","Provável",3.9,9.52,0.72,4.07,13,"267",3,36,12,6,32,125,NA,1,7,1,NA,NA,2,NA,NA,NA,NA,NA
"31","Danilo Alves da Silva","danilo","Danilo","",107981,20,373,"zag","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Andrey Ramos do Nascimento","andrey","Andrey","https://s.glbimg.com/es/sde/f/2020/08/17/bfaf7651c9572b3c95e4d731dadc3958_FORMATO.png",93787,20,267,"mei","Provável",4,6.51,-0.48,3.66,12,"267",3,47,27,3,27,57,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"33","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,20,293,"zag","Provável",3.1,5.69,0.43,2.01,12,"293",3,14,12,7,12,57,3,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA
"34","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2020/02/27/c02ceae587d8a1531bebb801e8072417_FORMATO.png",72386,20,292,"ata","Nulo",0,2.8,0,1.44,14,"292",2,3,7,3,16,17,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"35","Jonatan David Gomez Ospina","jonatan-gomez","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2020/03/09/bfe14638328381a0498413759e610ed4_FORMATO.png",94857,20,292,"mei","Provável",1.1,9.66,-0.21,1.58,16,"292",1,7,12,14,19,43,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA
"36","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png",91573,20,276,"zag","Nulo",-0.6,8.23,-1.84,1.86,5,"276",1,1,3,NA,1,11,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2020/08/17/1f4446d8a1673e5fb3824c5f1d07c2bc_FORMATO.png",84893,20,267,"lat","Nulo",0,5.71,0,1.66,14,"267",5,31,25,NA,15,90,3,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
