"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DD","DP","DS","FC","FD","FF","FS","G","GS","PI","SG","A","I","FT","PP","CV","GC"
"1","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,26,373,"gol","Provável",0,10.41,0,4.26,23,"373",1,28,1,1,1,1,1,8,2,26,196,6,NA,NA,NA,NA,NA,NA
"2","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,26,373,"zag","Provável",0,3.08,0,1.07,20,"373",3,NA,NA,15,25,1,2,11,NA,NA,82,5,NA,NA,NA,NA,NA,NA
"3","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/10/20/af3767d7c68c5209a846f6612fe76c29_FORMATO.png",38229,26,264,"lat","Provável",1.5,6.46,-1.6,5.12,10,"264",NA,NA,NA,19,8,NA,2,4,1,NA,55,6,NA,NA,NA,NA,NA,NA
"4","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,26,293,"gol","Provável",3,6.15,-0.02,2.01,19,"293",NA,12,3,1,1,NA,NA,1,NA,21,149,5,NA,NA,NA,NA,NA,NA
"5","Gustavo Henrique Ferrareis","gustavo-ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2020/02/27/86bda8f1f2f8a1d79cbbc8a21a0d4436_FORMATO.png",89815,26,373,"mei","Provável",0,7.61,0,1.86,21,"373",4,NA,NA,20,29,3,13,38,2,NA,94,NA,1,6,NA,NA,NA,NA
"6","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/09/25/673950963c89498fd335e11c04702a42_FORMATO.png",92696,26,293,"ata","Provável",10.7,8.75,1.35,4.8,20,"293",2,NA,NA,13,37,15,18,32,8,NA,76,NA,1,14,1,NA,NA,NA
"7","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png",39850,26,264,"tec","Provável",4.65,7.76,-0.4,3.59,22,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,26,293,"mei","Provável",1.9,12.34,0.25,3.73,21,"293",4,NA,NA,50,42,8,18,35,3,NA,78,NA,NA,1,NA,NA,NA,NA
"9","Lucas Eduardo Ribeiro de Souza","edu","Edu","https://s.glbimg.com/es/sde/f/2020/07/11/12e46f03fd938b8ea89ef01adafadbd4_FORMATO.png",105842,26,293,"zag","Nulo",0,2,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png",61188,26,265,"ata","Provável",16.2,11.09,2.21,4.42,19,"265",3,NA,NA,11,17,20,18,28,5,NA,61,NA,1,5,1,1,NA,NA
"11","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,26,373,"zag","Nulo",0,5.41,0,2.22,14,"373",5,NA,NA,19,22,1,3,7,1,NA,20,4,NA,NA,NA,NA,NA,NA
"12","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,26,373,"mei","Provável",0,6.35,0,2.08,18,"373",2,NA,NA,33,22,9,11,15,NA,NA,106,NA,1,NA,1,NA,1,NA
"13","Keisuke Honda","honda","Honda","https://s.glbimg.com/es/sde/f/2020/03/01/c6b6e92b1486785f81549715b0dc9164_FORMATO.png",69940,26,263,"mei","Nulo",1.5,5.81,-0.54,2.86,17,"263",1,NA,NA,34,22,6,11,10,2,NA,94,NA,NA,NA,NA,NA,NA,NA
"14","Renyer Luan de Oliveira Damasceno","renyer","Renyer","https://s.glbimg.com/es/sde/f/2020/07/16/a63e9e4595449a48f9b4160c4eec1045_FORMATO.png",107954,26,277,"ata","Nulo",0,3,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,26,265,"mei","Suspenso",1.6,13.69,-0.47,4.14,16,"265",2,NA,NA,12,12,10,10,29,4,NA,88,NA,1,3,1,NA,NA,NA
