"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FS","I","PI","SG","CV","DD","GS","A","FD","FF","FT","G","DP","GC","PP"
"1","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,27,293,"lat","Contundido",0,2.88,0,0.18,6,"293",1,6,9,4,1,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,27,264,"gol","Nulo",0,7.45,0,1.08,19,"264",1,1,1,1,NA,145,5,1,17,26,NA,NA,NA,NA,NA,NA,NA,NA
"3","Kaio Jorge Pinto Ramos","kaio-jorge","Kaio Jorge","https://s.glbimg.com/es/sde/f/2020/03/09/2863be83eb651b5fcae91f0fa484d0b1_FORMATO.png",103445,27,277,"ata","Nulo",1,4.29,-0.16,1.64,22,"Santos",4,13,31,31,2,49,NA,NA,NA,NA,1,2,13,1,2,NA,NA,NA
"4","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2020/08/31/1c31d45f66d706f1d16d05f1b5da0056_FORMATO.png",87009,27,282,"mei","Nulo",2.2,9.86,-0.25,3.77,16,"282",NA,19,7,9,2,41,NA,NA,NA,NA,1,9,7,NA,3,NA,NA,NA
"5","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,27,293,"gol","Provável",3.4,6.21,0.06,2.08,20,"293",NA,1,1,1,NA,165,6,NA,12,21,NA,NA,NA,NA,NA,3,NA,NA
"6","Diego Cristiano Evaristo","diego-pituca","Diego Pituca","https://s.glbimg.com/es/sde/f/2020/03/09/54fa3d697fc129a0e755c94b10fedd38_FORMATO.png",94156,27,277,"mei","Nulo",6.1,8.46,0.12,2.72,24,"Santos",4,55,32,42,2,112,NA,NA,NA,NA,1,5,8,NA,1,NA,NA,NA
"7","John Victor Maciel Furtado","john-victor","John Victor","https://s.glbimg.com/es/sde/f/2020/03/09/7526bffb5ffcf8710f171fa2fbd3284a_FORMATO.png",94044,27,277,"gol","Nulo",5.5,2.25,0.66,3.45,6,"Santos",NA,NA,NA,3,NA,38,1,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA
"8","Arthur Gomes Lourenço","arthur-gomes","Arthur Gomes","https://s.glbimg.com/es/sde/f/2020/02/28/1180152071b3a94086ee66e070352aab_FORMATO.png",96966,27,277,"ata","Nulo",-0.4,3.29,-0.54,1.07,15,"Santos",1,12,17,13,1,65,NA,1,NA,NA,NA,8,3,NA,1,NA,NA,NA
"9","Lucas Henrique Ferreira Venuto","lucas-venuto","Lucas Venuto","https://s.glbimg.com/es/sde/f/2020/08/11/4d0626b467649cadfbf95578a06887cf_FORMATO.png",100290,27,292,"ata","Nulo",0,1.89,0,0.89,7,"292",NA,2,3,10,NA,23,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"10","Tailson Pinto Gonçalves","tailson","Tailson","https://s.glbimg.com/es/sde/f/2020/02/28/6a3d988146a39cccc9f2572d2d1235f8_FORMATO.png",104578,27,277,"ata","Nulo",0,2.18,0,0.56,10,"Santos",NA,6,7,7,NA,17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"11","Khellven Douglas Silva Oliveira","khellven","Khellven ","https://s.glbimg.com/es/sde/f/2019/09/20/ee145800d6e1353696905f1aea903802_FORMATO.png",105175,27,293,"lat","Nulo",5.8,4.79,-0.02,1.86,10,"293",2,17,13,3,NA,61,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"12","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,27,293,"mei","Nulo",-0.4,2.62,-0.1,-0.13,10,"293",1,3,8,3,3,29,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"13","Yeferson Julio Soteldo Martínez","soteldo","Soteldo","https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png",87258,27,277,"ata","Nulo",-0.5,6.37,-0.27,2.73,18,"Santos",6,8,13,34,3,138,NA,NA,NA,NA,3,7,13,NA,3,NA,NA,NA
"14","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,27,293,"ata","Nulo",0.9,2.99,0.61,0.12,12,"293",1,1,7,8,2,22,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA
"15","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/08/31/2e785d81d79f8b578f35f2aa6d7fcf97_FORMATO.png",87393,27,282,"zag","Nulo",0,7.32,0,3.25,4,"282",2,4,5,NA,NA,3,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"16","Abner Vinícius da Silva Santos","abner-vinicius","Abner Vinícius","https://s.glbimg.com/es/sde/f/2020/03/03/8152efe1ea15b6718521532a290b7451_FORMATO.png",104513,27,293,"lat","Provável",10.1,10.49,0.98,3.17,22,"293",3,35,28,11,1,205,8,NA,NA,NA,2,5,8,NA,1,NA,NA,NA
"17","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png",86759,27,264,"mei","Nulo",0,6.85,0,2.22,14,"264",1,14,11,12,NA,86,NA,NA,NA,NA,1,4,8,1,1,NA,NA,NA
"18","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,27,293,"ata","Nulo",0,15.46,0,5.9,5,"293",1,5,13,11,NA,29,NA,NA,NA,NA,1,4,2,1,2,NA,NA,NA
