"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DS","FC","FD","FF","FS","G","I","PI","A","CA","DD","GS","SG","GC","PP","FT","DP","CV"
"1","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,7,373,"ata","Nulo",0.5,6.62,-0.35,2.32,6,"Atlético-GO",7,8,1,3,3,1,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,7,373,"gol","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Wendell Maksinczuk Ortega","wendell","Wendell","https://s.glbimg.com/es/sde/f/2020/02/27/f22d57268e40f2e45144a79165d888e7_FORMATO.png",78738,7,373,"gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,7,373,"mei","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Matheus Cotulio Bossa","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png",78424,7,373,"mei","Nulo",2,4.03,-0.03,1.27,4,"Atlético-GO",3,3,NA,5,3,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Edson Felipe da Cruz","edson","Edson ","https://s.glbimg.com/es/sde/f/2020/02/27/46673460151dd74450b62c385acb5f7b_FORMATO.png",80370,7,373,"mei","Provável",3.1,7.93,-0.26,4.88,6,"Atlético-GO",23,10,1,3,13,NA,NA,18,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"7","Moacir Costa da Silva","moacir","Moacir","https://s.glbimg.com/es/sde/f/2020/02/27/9937a66467916c4528d3b0575c53418f_FORMATO.png",60858,7,373,"mei","Nulo",0,1.71,0,0.38,4,"Atlético-GO",6,5,NA,NA,2,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/02/27/851090fa3a68b14a9b55eb825b21a6f9_FORMATO.png",77544,7,373,"mei","Nulo",0,10.61,0,5.84,5,"Atlético-GO",10,5,1,4,8,2,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/07/16/1dd17b686beb984f6b1468e01a4359b5_FORMATO.png",39850,7,373,"tec","Provável",3.6,5.9,0.4,3.27,6,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Fernando Canesin Matos","fernando-canesin","Fernando Canesin","https://s.glbimg.com/es/sde/f/2020/01/21/b9b4d67aae6f6afee4097184bf8cc32d_FORMATO.png",81585,7,293,"mei","Nulo",0,1.44,0,-0.2,3,"Athlético-PR",2,1,NA,1,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"11","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,7,293,"mei","Provável",2.1,12.51,-0.44,3.65,6,"Athlético-PR",9,8,1,7,12,1,NA,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,7,293,"gol","Provável",1.1,5.51,-0.35,0.5,5,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,35,NA,NA,5,7,NA,NA,NA,NA,NA,NA
"13","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2020/02/28/a43448ab0640bf1b8aba905b26aeb462_FORMATO.png",86508,7,293,"gol","Nulo",0,10.29,0,8.2,1,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,8,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"14","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,7,293,"zag","Nulo",0,5.65,0,1.45,2,"Athlético-PR",4,1,1,NA,1,NA,NA,3,NA,1,NA,NA,1,1,NA,NA,NA,NA
"15","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,7,293,"zag","Nulo",0,6.96,0,5.6,1,"Athlético-PR",1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"16","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,7,293,"ata","Nulo",-0.1,4.22,-0.59,1.72,5,"Athlético-PR",NA,2,NA,1,3,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,7,293,"zag","Provável",1.9,3.15,0.18,0.85,4,"Athlético-PR",1,6,1,1,4,NA,NA,16,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"18","Luan Sales do Nascimento","luan-sales","Luan Sales","https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png",105521,7,373,"lat","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
