"id","vars","value"
1,"home_team_name","282"
1,"home_team_name","282"
2,"home_team_name","267"
2,"home_team_name","267"
3,"home_team_name","262"
4,"home_team_name","263"
5,"home_team_name","275"
6,"home_team_name","277"
7,"home_team_name","264"
8,"home_team_name","284"
9,"home_team_name","292"
10,"home_team_name","294"
11,"home_team_name","356"
11,"home_team_name","356"
12,"home_team_name","290"
1,"away_team_name","293"
1,"away_team_name","293"
2,"away_team_name","356"
2,"away_team_name","356"
3,"away_team_name","373"
4,"away_team_name","280"
5,"away_team_name","266"
6,"away_team_name","285"
7,"away_team_name","282"
7,"away_team_name","282"
8,"away_team_name","354"
9,"away_team_name","267"
9,"away_team_name","267"
10,"away_team_name","265"
11,"away_team_name","276"
12,"away_team_name","293"
12,"away_team_name","293"
1,"home_strength","0.89"
1,"home_strength","0.89"
2,"home_strength","-0.26"
2,"home_strength","-0.26"
3,"home_strength","0.55"
4,"home_strength","-0.03"
5,"home_strength","0.75"
6,"home_strength","0.58"
7,"home_strength","0.07"
8,"home_strength","0.88"
9,"home_strength","-0.11"
10,"home_strength","0"
11,"home_strength","0.47"
11,"home_strength","0.47"
12,"home_strength","-0.33"
1,"away_strength","-0.12"
1,"away_strength","-0.12"
2,"away_strength","0.47"
2,"away_strength","0.47"
3,"away_strength","-0.25"
4,"away_strength","0.21"
5,"away_strength","0.81"
6,"away_strength","0.95"
7,"away_strength","0.89"
7,"away_strength","0.89"
8,"away_strength","0.16"
9,"away_strength","-0.26"
9,"away_strength","-0.26"
10,"away_strength","0.24"
11,"away_strength","1.25"
12,"away_strength","-0.12"
12,"away_strength","-0.12"
1,"home_attack","1.8"
1,"home_attack","1.8"
2,"home_attack","0.98"
2,"home_attack","0.98"
3,"home_attack","1.8"
4,"home_attack","0.97"
5,"home_attack","1.42"
6,"home_attack","1.46"
7,"home_attack","1.11"
8,"home_attack","1.33"
9,"home_attack","0.92"
10,"home_attack","1.03"
11,"home_attack","0.98"
11,"home_attack","0.98"
12,"home_attack","1.13"
1,"away_attack","0.83"
1,"away_attack","0.83"
2,"away_attack","0.98"
2,"away_attack","0.98"
3,"away_attack","0.87"
4,"away_attack","1.17"
5,"away_attack","1.49"
6,"away_attack","1.61"
7,"away_attack","1.8"
7,"away_attack","1.8"
8,"away_attack","1.22"
9,"away_attack","0.98"
9,"away_attack","0.98"
10,"away_attack","1.35"
11,"away_attack","1.59"
12,"away_attack","0.83"
12,"away_attack","0.83"
1,"home_defense","1.02"
1,"home_defense","1.02"
2,"home_defense","0.85"
2,"home_defense","0.85"
3,"home_defense","0.82"
4,"home_defense","1"
5,"home_defense","1.18"
6,"home_defense","1.02"
7,"home_defense","0.94"
8,"home_defense","1.38"
9,"home_defense","1"
10,"home_defense","0.97"
11,"home_defense","1.41"
11,"home_defense","1.41"
12,"home_defense","0.7"
1,"away_defense","1.1"
1,"away_defense","1.1"
2,"away_defense","1.41"
2,"away_defense","1.41"
3,"away_defense","0.97"
4,"away_defense","0.99"
5,"away_defense","1.18"
6,"away_defense","1.2"
7,"away_defense","1.02"
7,"away_defense","1.02"
8,"away_defense","0.91"
9,"away_defense","0.85"
9,"away_defense","0.85"
10,"away_defense","0.88"
11,"away_defense","1.49"
12,"away_defense","1.1"
12,"away_defense","1.1"
1,"home_scoring.odds","80"
1,"home_scoring.odds","85"
2,"home_scoring.odds","50"
2,"home_scoring.odds","62"
3,"home_scoring.odds","84"
4,"home_scoring.odds","63"
5,"home_scoring.odds","70"
6,"home_scoring.odds","70"
7,"home_scoring.odds","66"
8,"home_scoring.odds","76"
9,"home_scoring.odds","66"
10,"home_scoring.odds","70"
11,"home_scoring.odds","48"
11,"home_scoring.odds","68"
12,"home_scoring.odds","64"
1,"away_scoring.odds","56"
1,"away_scoring.odds","70"
2,"away_scoring.odds","48"
2,"away_scoring.odds","68"
3,"away_scoring.odds","66"
4,"away_scoring.odds","69"
5,"away_scoring.odds","72"
6,"away_scoring.odds","80"
7,"away_scoring.odds","80"
7,"away_scoring.odds","85"
8,"away_scoring.odds","59"
9,"away_scoring.odds","50"
9,"away_scoring.odds","62"
10,"away_scoring.odds","75"
11,"away_scoring.odds","68"
12,"away_scoring.odds","56"
12,"away_scoring.odds","70"
