"team_name","strength","attack","defense","n_games"
"285",1.01,1.22,1.64,87
"275",0.79,1.34,1.29,86
"282",0.64,1.69,0.92,86
"277",0.63,1.32,1.17,87
"284",0.61,0.95,1.6,86
"356",0.54,1.02,1.42,49
"267",0.53,1.51,0.96,86
"276",0.4,1.19,1.11,86
"262",0.34,1.48,0.85,86
"264",0.09,1.45,0.73,86
"266",0.02,1.05,0.97,87
"293",0.02,0.82,1.24,86
"290",0,1.51,0.66,46
"263",-0.05,0.89,1.09,86
"373",-0.06,1.15,0.83,10
"280",-0.1,1.39,0.67,11
"354",-0.11,1.05,0.89,87
"294",-0.3,0.67,1.21,11
"265",-0.36,1.18,0.66,86
