"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name"
"1",94509,1,275,"mei","7",0,19,0,0,0,8.54,"raphael-veiga","Raphael Veiga","R. Veiga","Raphael Cavalcante Veiga","https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png","Palmeiras"
"2",60825,1,327,"ata","6",0,6,0,0,0,2.75,"felipe-azevedo","Felipe Azevedo","F. Azevedo","Felipe Azevedo dos Santos","https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png","América-MG"
"3",102301,1,293,"mei","6",0,2,0,0,0,0.96,"bruno-leite","Bruno Leite","B. Leite","Bruno da Silva Costa Leite","https://s.glbimg.com/es/sde/f/2021/05/02/ec03227352d407507044b7dc5b7ab340_FORMATO.png","Athlético-PR"
"4",39148,1,282,"ata","7",0,16,0,0,0,7.2,"hulk","Hulk","Hulk","Givanildo Vieira de Souza","https://s.glbimg.com/es/sde/f/2021/04/23/d9ed7fa34aa12e4ce8768c9c2a2b4560_FORMATO.png","Atlético-MG"
"5",91866,1,293,"zag","6",0,5,0,0,0,2.3,"ze-ivaldo","Zé Ivaldo","Z. Ivaldo","José Ivaldo Almeida Silva","https://s.glbimg.com/es/sde/f/2021/05/02/08540895ccd662f502ed02a60a7d8172_FORMATO.png","Athlético-PR"
"6",72372,1,286,"gol","6",0,7,0,0,0,3.19,"felipe-alves","Felipe Alves","F. Alves","Felipe Alves Raymundo","https://s.glbimg.com/es/sde/f/2022/03/03/4d0134ca36fbe16f9ac38c3ba359e6ac_FORMATO.png","Juventude"
"7",37656,1,266,"gol","7",0,9,0,0,0,4.08,"fabio","Fábio","Fábio","Fábio Deivson Lopes Maciel","https://s.glbimg.com/es/sde/f/2022/02/24/56c904be5b9993c05440bdcacbc5a608_FORMATO.png","Fluminense"
"8",96468,1,285,"gol","7",0,8,0,0,0,3.64,"daniel","Daniel","Daniel","Daniel de Sousa Brito","https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png","Internacional"
"9",71602,1,327,"lat","6",0,4,0,0,0,1.85,"joao-paulo","João Paulo","J. Paulo","João Paulo Gomes da Costa","https://s.glbimg.com/es/sde/f/2021/06/04/71c98de1e3ed4f97ef1a68c10b697126_FORMATO.png","América-MG"
"10",37424,1,1371,"tec","7",0,3,0,0,0,NA,"pintado","Pintado","Pintado","Luiz Carlos de Oliveira Preto","https://s.glbimg.com/es/sde/f/2019/10/22/4dc47f9ac81a1f2c7dfe2868232f8d29_FORMATO.png","Cuiabá"
"11",94067,1,293,"mei","5",0,4,0,0,0,1.85,"matheus-fernandes","Matheus Fernandes","M. Fernandes","Matheus Fernandes Siqueira","https://s.glbimg.com/es/sde/f/2022/02/21/fff1205202cd53cd50d841891d140360_FORMATO.png","Athlético-PR"
"12",97453,1,327,"gol","5",0,3,0,0,0,1.41,"jori","Jori","Jori","Joriwinnyson Santos dos Anjos Rodrigues","https://s.glbimg.com/es/sde/f/2021/06/04/4b0b72b2d30e52cae1f658dbea101b5c_FORMATO.png","América-MG"
"13",71680,1,327,"lat","6",0,3,0,0,0,1.41,"raul-caceres","Raúl Cáceres","R. Cáceres","Raúl Alejandro Cáceres Bogado","https://s.glbimg.com/es/sde/f/2022/02/24/641daa2c8e8e5423b42c703eb607615a_FORMATO.png","América-MG"
"14",83257,1,262,"ata","7",0,20,0,0,0,8.99,"gabriel","Gabriel","Gabriel","Gabriel Barbosa Almeida","https://s.glbimg.com/es/sde/f/2022/03/03/f347648036a61ed38e631faf7be83967_FORMATO.png","Flamengo"
"15",60969,1,327,"lat","7",0,5,0,0,0,2.3,"patric","Patric","Patric","Patric Cabral Lalau","https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png","América-MG"
"16",93882,1,280,"gol","7",0,8,0,0,0,3.64,"cleiton","Cleiton","Cleiton","Cleiton Schwengber","https://s.glbimg.com/es/sde/f/2022/02/21/c4d7c76ba8761fafc7a17e9da673dc84_FORMATO.png","Bragantino"
"17",68773,1,327,"ata","6",0,4,0,0,0,1.85,"henrique-almeida","Henrique Almeida","H. Almeida","Henrique Almeida Caixeta Nascentes","https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png","América-MG"
"18",50645,1,327,"lat","5",0,4,0,0,0,1.85,"eduardo","Eduardo","Eduardo","Carlos Eduardo Santos Oliveira","https://s.glbimg.com/es/sde/f/2022/02/25/a1ed845c0cda1af45df260be95a58b34_FORMATO.png","América-MG"
"19",42234,1,264,"gol","7",0,10,0,0,0,4.53,"cassio","Cássio","Cássio","Cássio Roberto Ramos","https://s.glbimg.com/es/sde/f/2022/02/22/346562c71804cbbf662b6110f942b41c_FORMATO.png","Corinthians"
"20",99440,1,373,"mei","7",0,5,0,0,0,2.3,"baralhas","Baralhas","Baralhas","Gabriel Baralhas dos Santos","https://s.glbimg.com/es/sde/f/2022/03/03/23016221adbd611a74993ecdc84843f5_FORMATO.png","Atlético-GO"
"21",94444,1,293,"ata","6",0,5,0,0,0,2.3,"matheus-babi","Matheus Babi","M. Babi","Matheus Barcelos da Silva","https://s.glbimg.com/es/sde/f/2021/04/13/e9ee464f547f7e719b4c1eab498a8478_FORMATO.png","Athlético-PR"
"22",72580,1,327,"gol","5",0,7,0,0,0,3.19,"matheus-cavichioli","Matheus Cavichioli","M. Cavichioli","Matheus Fernando Cavichioli","https://s.glbimg.com/es/sde/f/2021/06/04/4b9a4cd7759d0ef36a25a02c4b9cf8a8_FORMATO.png","América-MG"
"23",98022,1,293,"mei","5",0,6,0,0,0,2.75,"erick","Erick","Erick","Erick Luis Conrado de Carvalho","https://s.glbimg.com/es/sde/f/2021/05/02/f7ba547da42ad1121a2eba90fd53c8d1_FORMATO.png","Athlético-PR"
"24",38279,1,327,"ata","5",0,8,0,0,0,3.64,"wellington-paulista","Wellington Paulista","W. Paulista","Wellington Pereira do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png","América-MG"
"25",87552,1,293,"mei","7",0,6,0,0,0,2.75,"vitor-bueno","Vitor Bueno","V. Bueno","Vitor Frezarin Bueno","https://s.glbimg.com/es/sde/f/2022/02/21/2a32e3c3943071802ba1b4023aaab2a0_FORMATO.png","Athlético-PR"
"26",102253,1,293,"zag","7",0,2,0,0,0,0.96,"lucas-halter","Lucas Halter","L. Halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2022/03/03/b7106014ff9611b60a9e3aa15014aba1_FORMATO.png","Athlético-PR"
"27",101594,1,293,"mei","7",0,4,0,0,0,1.85,"hugo-moura","Hugo Moura","H. Moura","Hugo Moura Arruda da Silva","https://s.glbimg.com/es/sde/f/2022/02/21/267f14bd41575e2b58bcb3d6ba014a46_FORMATO.png","Athlético-PR"
"28",90917,1,280,"ata","6",0,5,0,0,0,2.3,"carlos-eduardo","Carlos Eduardo","C. Eduardo","Carlos Eduardo Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/23/a8388dc7dd66d2d3906dd404ca7a5b8e_FORMATO.png","Bragantino"
"29",100762,1,314,"ata","6",0,4,0,0,0,1.85,"bissoli","Bissoli","Bissoli","Guilherme Bissoli Campos","https://s.glbimg.com/es/sde/f/2022/04/08/c60eb6c17dd46f0a98ac8d236bddbbd7_FORMATO.png","Avaí"
"30",81031,1,327,"tec","7",0,5,0,0,0,NA,"marquinhos-santos","Marquinhos Santos","M. Santos","Marcos Vinícius dos Santos Gonçalves","https://s.glbimg.com/es/sde/f/2022/03/08/fe2e9685b644eeed11a14b51b6b6afd4_FORMATO.png","América-MG"
"31",80079,1,327,"gol","6",0,2,0,0,0,0.96,"airton","Airton","Airton","Airton Moraes Michellon","https://s.glbimg.com/es/sde/f/2021/06/04/81208059e023912c79130d05f5ec68f0_FORMATO.png","América-MG"
"32",90302,1,293,"ata","6",0,6,0,0,0,2.75,"pedro-rocha","Pedro Rocha","P. Rocha","Pedro Rocha Neves","https://s.glbimg.com/es/sde/f/2022/02/21/bca4738ad3069733d0bb2f1c649401a9_FORMATO.png","Athlético-PR"
"33",102130,1,275,"lat","6",0,5,0,0,0,2.3,"piquerez","Piquerez","Piquerez","Joaquín Piquerez Moreira","https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png","Palmeiras"
"34",91101,1,373,"gol","6",0,4,0,0,0,1.85,"ronaldo","Ronaldo","Ronaldo","Ronaldo de Oliveira Strada","https://s.glbimg.com/es/sde/f/2022/03/03/cb6155829f59a86db540d1bc5bd52fa7_FORMATO.png","Atlético-GO"
"35",71937,1,327,"mei","6",0,5,0,0,0,2.3,"juninho-valoura","Juninho Valoura","J. Valoura","Paulo Roberto Valoura Júnior","https://s.glbimg.com/es/sde/f/2022/02/24/fd30c25ed61ca17e8b341cfc63c2e74e_FORMATO.png","América-MG"
"36",87225,1,293,"zag","7",0,6,0,0,0,2.75,"pedro-henrique","Pedro Henrique","P. Henrique","Pedro Henrique Ribeiro Gonçalves","https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png","Athlético-PR"
"37",69138,1,293,"ata","6",0,7,0,0,0,3.19,"pablo","Pablo","Pablo","Pablo Felipe Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/b4c4b5449cfdf72e5e5d92886e70852f_FORMATO.png","Athlético-PR"
"38",60795,1,373,"gol","6",0,4,0,0,0,1.85,"renan","Renan","Renan","Renan dos Santos","https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png","Atlético-GO"
"39",95220,1,373,"lat","7",0,4,0,0,0,1.85,"jefferson","Jefferson","Jefferson","Jefferson Junio Antônio da Silva","https://s.glbimg.com/es/sde/f/2022/03/03/80467cde6b46e7d96a9fc9fa200520fa_FORMATO.png","Atlético-GO"
"40",104502,1,293,"mei","2",0,5,0,0,0,2.3,"christian","Christian","Christian","Christian Roberto Alves Cardoso","https://s.glbimg.com/es/sde/f/2021/05/02/6a1bc3f98b5ff453ba48dffaa44386ab_FORMATO.png","Athlético-PR"
