"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","SG","DS","FC","FD","FF","PI","A","FS","CA","G","PC","I","PS","CV","FT","PP","GC","DE","GS"
"1",103767,6,275,"mei","6",0,6,0,0,0,NA,"gabriel-menino","Gabriel Menino","G. Menino","Gabriel Vinícius Menino","https://s.glbimg.com/es/sde/f/2022/02/21/70a1d9b700a17145850b034cd6c9a885_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",98619,6,275,"zag","7",0,4.37,0,5,1,NA,"kuscevic","Kuscevic","Kuscevic","Benjamín Kuscevic Jaramillo","https://s.glbimg.com/es/sde/f/2022/02/21/5e5dc615bd88e2dcf4171cb2082f612d_FORMATO.png","Palmeiras",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",105770,6,275,"ata","6",-0.2,4.04,-0.43,1.6,5,NA,"rafael-navarro","Rafael Navarro","R. Navarro","Rafael Navarro Leal","https://s.glbimg.com/es/sde/f/2022/02/21/a950985f87c7053fb60a65298da85bc0_FORMATO.png","Palmeiras",NA,4,9,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",110415,6,277,"ata","5",0,6.32,0,5.3,2,NA,"angelo","Ângelo","Ângelo","Ângelo Gabriel Borges Damaceno","https://s.glbimg.com/es/sde/f/2022/03/03/e0ca88eb8ab327b605082617a24e69fc_FORMATO.png","Santos",NA,1,1,2,2,8,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",83266,6,277,"ata","6",0,5.44,0,1.9,1,NA,"marcos-guilherme","Marcos Guilherme","M. Guilherme","Marcos Guilherme de Almeida Santos Matos","https://s.glbimg.com/es/sde/f/2022/03/03/56fa9c7a8cc8db7fbbfae5c4de39b4c5_FORMATO.png","Santos",NA,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",86970,6,277,"zag","7",0,9.95,0,4.85,4,NA,"eduardo-bauermann","Eduardo Bauermann","E. Bauermann","Eduardo Gabriel dos Santos Bauermann","https://s.glbimg.com/es/sde/f/2022/03/03/c89e866fa7fb43aaf3b818e5578644d5_FORMATO.png","Santos",2,5,2,NA,NA,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",68770,6,277,"mei","6",0,3.83,0,0.9,1,NA,"camacho","Camacho","Camacho","Guilherme de Aguiar Camacho","https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png","Santos",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",38141,6,276,"zag","6",0,7,0,0,0,NA,"miranda","Miranda","Miranda","João Miranda de Souza Filho","https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",80287,6,276,"ata","2",-0.6,11.29,-1.55,6.28,4,NA,"luciano","Luciano","Luciano","Luciano da Rocha Neves","https://s.glbimg.com/es/sde/f/2022/03/01/aeb1926a6ddb270206f4ceffcf701d4b_FORMATO.png","São Paulo",NA,1,1,1,2,11,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",111637,6,277,"zag","6",0,6,0,0,0,NA,"kaiky","Kaiky","Kaiky","Kaiky Fernandes Melo","https://s.glbimg.com/es/sde/f/2022/03/03/9bf3a0809a51d2c429254d36553a45f4_FORMATO.png","Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",110607,6,277,"mei","6",1.5,2.64,-0.53,0.65,2,NA,"gabriel-pirani","Gabriel Pirani","G. Pirani","Gabriel Cordeiro Pirani","https://s.glbimg.com/es/sde/f/2022/03/03/8a759e93476df07994bba444f880a615_FORMATO.png","Santos",NA,NA,3,1,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",94044,6,277,"gol","6",0,6,0,0,0,NA,"john-victor","John Victor","J. Victor","John Victor Maciel Furtado","https://s.glbimg.com/es/sde/f/2022/03/03/858342355243a12a346b0ad88639269d_FORMATO.png","Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",81845,6,276,"mei","7",1.7,9.24,-0.6,3.38,6,NA,"alisson","Alisson","Alisson","Alisson Euler de Freitas Castro","https://s.glbimg.com/es/sde/f/2022/03/01/14ebdbca4e280cd9dfdb9b7e2148afe0_FORMATO.png","São Paulo",NA,9,5,4,2,24,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",81677,6,277,"mei","6",0,6,0,0,0,NA,"carlos-sanchez","Carlos Sánchez","C. Sánchez","Carlos Andrés Sánchez Arcosa","https://s.glbimg.com/es/sde/f/2022/03/03/63b472302f16e36f871bc271d9d355d1_FORMATO.png","Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",104521,6,277,"mei","7",2.9,8.96,0.27,5.03,6,NA,"vinicius-zanocelo","Vinícius Zanocelo","V. Zanocelo","Vinícius Nelson de Souza Zanocelo","https://s.glbimg.com/es/sde/f/2022/03/03/5ec6c9924511913e6d0657f591187ca0_FORMATO.png","Santos",NA,10,8,3,3,14,NA,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"16",79035,6,277,"zag","6",0,4,0,0,0,NA,"luiz-felipe","Luiz Felipe","L. Felipe","Luiz Felipe do Nascimento dos Santos","https://s.glbimg.com/es/sde/f/2022/03/03/d93506f46370622558870dd37ada6bb5_FORMATO.png","Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",85626,6,276,"zag","2",0.7,5.03,-0.55,1.28,4,NA,"leo","Léo","Léo","Leonardo Pinheiro da Conceição","https://s.glbimg.com/es/sde/f/2022/03/01/7be60e39236cf34421178ed1ea9b2145_FORMATO.png","São Paulo",1,2,2,NA,1,20,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",93377,6,277,"mei","6",0,4,0,0,0,NA,"jobson","Jobson","Jobson","Jobson Souza Santos","https://s.glbimg.com/es/sde/f/2022/03/03/b96d7076abc1f17b19220ae8c230ff7e_FORMATO.png","Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",62130,6,286,"lat","7",0,2.17,0,1.28,4,NA,"william-matheus","William Matheus","W. Matheus","William Matheus da Silva","https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png","Juventude",NA,5,6,1,2,24,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",95466,6,276,"lat","6",0,2.21,0,0,2,NA,"igor-vinicius","Igor Vinícius","I. Vinícius","Igor Vinícius de Souza","https://s.glbimg.com/es/sde/f/2022/03/01/1896fe9a90e6307ac1586be9aafcb04e_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",99119,6,277,"ata","6",1.4,4.13,0.12,1.02,5,NA,"lucas-braga","Lucas Braga","L. Braga","Lucas Braga Ribeiro","https://s.glbimg.com/es/sde/f/2022/03/03/a3607db4d71e6018951bfe51c702fb1a_FORMATO.png","Santos",NA,3,1,1,NA,8,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"22",82764,6,286,"zag","7",0,5.13,0,3.1,5,NA,"rafael-forster","Rafael Forster","R. Forster","Rafael Forster","https://s.glbimg.com/es/sde/f/2022/03/03/1a3eff81c014dfeadd31543510923abd_FORMATO.png","Juventude",NA,13,5,1,1,31,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",93716,6,286,"lat","6",0,3.37,-0.12,-0.2,2,NA,"paulo-henrique","Paulo Henrique","P. Henrique","Paulo Henrique de Oliveira Alves","https://s.glbimg.com/es/sde/f/2022/03/03/8240fae5ce98e7a47c5fe5b7e18c773b_FORMATO.png","Juventude",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",83433,6,276,"mei","2",3,8.14,0.06,4.1,4,NA,"patrick","Patrick","Patrick","Patrick Bezerra do Nascimento","https://s.glbimg.com/es/sde/f/2022/03/01/6ebefc2dde70dd404af0145a962b55d4_FORMATO.png","São Paulo",NA,8,4,NA,4,22,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",94787,6,356,"lat","6",0,2.66,0,1.5,1,NA,"landazuri","Landázuri","Landázuri","Anthony Rigoberto Landázuri Estacio","https://s.glbimg.com/es/sde/f/2022/02/25/99227769c8cf1b0aba013765d0f00f85_FORMATO.png","Fortaleza",NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"26",113158,6,276,"ata","6",0,3.35,0,1.9,1,NA,"marquinhos","Marquinhos","Marquinhos","Marcus Vinícius Oliveira Alencar","https://s.glbimg.com/es/sde/f/2021/07/22/1a77be713031951034d96c375842ff0f_FORMATO.png","São Paulo",NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",104580,6,277,"mei","6",0.9,2.01,0.09,0.37,3,NA,"sandry","Sandry","Sandry","Sandry Roberto Santos Goes","https://s.glbimg.com/es/sde/f/2022/03/03/2b65aba4173c2f016fab56b5a734187e_FORMATO.png","Santos",NA,1,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",68817,6,286,"zag","3",1.4,2.52,0.23,1.12,5,NA,"paulo-miranda","Paulo Miranda","P. Miranda","Jonathan Doin","https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png","Juventude",NA,9,5,NA,2,18,NA,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"29",98976,6,276,"mei","6",0,5,0,0,0,NA,"gabriel","Gabriel","Gabriel","Gabriel Neves Perdomo","https://s.glbimg.com/es/sde/f/2022/03/01/adf4c737eb27b74c772b8985d18c9044_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",100084,6,276,"mei","7",0.1,6.41,-0.79,2.75,6,NA,"igor-gomes","Igor Gomes","I. Gomes","Igor Silveira Gomes","https://s.glbimg.com/es/sde/f/2022/03/01/b6d68ea91db4955b888e119a851704eb_FORMATO.png","São Paulo",NA,11,9,2,1,41,1,8,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"31",110605,6,277,"mei","6",0,4,0,0,0,NA,"vinicius-balieiro","Vinícius Balieiro","V. Balieiro","Vinícius Balieiro Lourenço de Carvalho","https://s.glbimg.com/es/sde/f/2022/03/03/d8455afbc745b2638a289c64ff3b1231_FORMATO.png","Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",102796,6,293,"ata","5",0,2,0,0,0,NA,"julimar","Julimar","Julimar","Julimar Silva Oliveira Júnior","https://s.glbimg.com/es/sde/f/2021/02/20/de210ca4fcb3c0000bf820510f8926b3_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",102909,6,276,"mei","6",0,7,0,0,0,NA,"luan","Luan","Luan","Luan Vinícius da Silva Santos ","https://s.glbimg.com/es/sde/f/2022/03/01/6b4e62b423e7b34762e0c7f626ea5ebd_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",69141,6,286,"ata","6",0,6.01,0,2,3,NA,"ricardo-bueno","Ricardo Bueno","R. Bueno","Ricardo Bueno da Silva","https://s.glbimg.com/es/sde/f/2022/03/03/5a5fd135b7af74db9adec269ad234d5b_FORMATO.png","Juventude",NA,3,1,1,NA,6,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"35",101728,6,276,"zag","6",0,6.71,0,1.94,5,NA,"diego","Diego","Diego","Diego Henrique Costa Barbosa","https://s.glbimg.com/es/sde/f/2022/03/01/996cbc8d639a3e640cf55d5326393d6d_FORMATO.png","São Paulo",1,9,9,NA,2,25,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",104096,6,286,"gol","6",0,2,0,0,0,NA,"william","William","William","William Arthur Assmann","https://s.glbimg.com/es/sde/f/2022/03/03/4965839110fe5fdcff916a2516fb313e_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",80129,6,286,"mei","7",3.1,8.22,0.52,3.3,6,NA,"jadson","Jadson","Jadson","Jadson Alves dos Santos","https://s.glbimg.com/es/sde/f/2022/03/03/f6f0935d45f36314cddff53717eee8de_FORMATO.png","Juventude",NA,16,14,2,2,37,NA,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",82407,6,286,"mei","3",0.4,5.56,-0.74,2.3,6,NA,"chico","Chico","Chico","Francisco Hyun Sol Kim","https://s.glbimg.com/es/sde/f/2022/03/03/bf75c9042be591192c025ebc1a87b001_FORMATO.png","Juventude",NA,11,11,2,1,46,NA,17,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA
"39",86675,6,286,"lat","7",-2.8,0.73,-0.25,-0.32,6,NA,"rodrigo-soares","Rodrigo Soares","R. Soares","Rodrigo Alves Soares","https://s.glbimg.com/es/sde/f/2022/03/03/9c3587675488eeeb0991d8754b8cee2b_FORMATO.png","Juventude",NA,5,8,NA,NA,40,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",95058,6,286,"lat","6",0,4,0,0,0,NA,"moraes","Moraes","Moraes","Onitlasi Júnior de Moraes Rodrigues","https://s.glbimg.com/es/sde/f/2022/03/03/c00c5622ba0fff93e7f12b5d06d142f3_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",94894,6,286,"ata","2",0,5.55,0,2.33,4,NA,"capixaba","Capixaba","Capixaba","João Victor da Vitória Fernandes","https://s.glbimg.com/es/sde/f/2022/03/03/9bdded7e0046ad8500605256f741994b_FORMATO.png","Juventude",NA,5,7,2,3,24,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",83438,6,286,"ata","7",-1.4,2.73,-0.85,1.68,5,NA,"guilherme-parede","Guilherme Parede","G. Parede","Guilherme Parede Pinheiro","https://s.glbimg.com/es/sde/f/2022/03/03/fc970f8486208ea64d2857c89a9ea781_FORMATO.png","Juventude",NA,3,2,1,1,16,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",101716,6,286,"mei","7",0,3.04,0,3,1,NA,"bruninho","Bruninho","Bruninho","Bruno Roberto Pereira da Silva","https://s.glbimg.com/es/sde/f/2022/03/03/f8167f9298a3f41c68c3acac45883644_FORMATO.png","Juventude",NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",104593,6,286,"mei","6",0,2.53,0,0.35,2,NA,"darlan","Darlan","Darlan","Darlan Pereira Mendes","https://s.glbimg.com/es/sde/f/2022/03/03/adc98792c2a04fd60c00d1c13a950544_FORMATO.png","Juventude",NA,2,1,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",110517,6,276,"mei","6",0,3.8,0,1.72,4,NA,"andres","Andrés","Andrés","Andrés Felipe Colorado Sánchez","https://s.glbimg.com/es/sde/f/2022/04/06/8155059fe14b7ffca7314dd757501fb1_FORMATO.png","São Paulo",NA,7,6,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",98219,6,285,"ata","6",-0.1,6.08,-0.45,3.68,6,NA,"alemao","Alemão","Alemão","Alexandre Zurawski","https://s.glbimg.com/es/sde/f/2022/04/02/6749aefb841e5462c4bb1cd86b5458e4_FORMATO.png","Internacional",NA,3,8,NA,1,14,NA,13,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",101885,6,276,"ata","6",0,7.2,0,7.9,1,NA,"toro","Toró","Toró","Jonas Gabriel da Silva Nunes","https://s.glbimg.com/es/sde/f/2022/03/01/5ae4b338eccde28dc4397a8e37cce503_FORMATO.png","São Paulo",NA,1,1,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",91968,6,286,"mei","6",0,4,0,0,0,NA,"bassani","Bassani","Bassani","Rodrigo Bassani da Cruz","https://s.glbimg.com/es/sde/f/2022/03/03/b1eb73f1949ff665ab7120fd00d76d28_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",107197,6,293,"ata","6",0,3.94,0,4,1,NA,"romulo","Rômulo","Rômulo","Rômulo José Cardoso da Cruz","https://s.glbimg.com/es/sde/f/2021/09/01/8c5b70b92e37e05439b2ec0a4c9a1f5f_FORMATO.png","Athlético-PR",NA,2,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",71719,6,286,"mei","6",0,4,0,0,0,NA,"elton","Elton","Elton","Elton Júnior Melo Ataíde","https://s.glbimg.com/es/sde/f/2021/03/25/4acc17c022e5e1189305c3e76afa3528_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",110013,6,293,"mei","6",0,2.25,0,0.93,3,NA,"bryan-garcia","Bryan García","B. García","Bryan Jahir García Realpe","https://s.glbimg.com/es/sde/f/2022/03/03/de27fadbce4a716ee83274374641cf71_FORMATO.png","Athlético-PR",NA,2,2,NA,2,16,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",87098,6,354,"ata","6",0,8,0,0,0,NA,"matheus-peixoto","Matheus Peixoto","M. Peixoto","Matheus Vieira Campos Peixoto","https://s.glbimg.com/es/sde/f/2022/03/14/2eb9eaecb0ea8315d3d9f2e457dac7c4_FORMATO.png","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",101596,6,286,"ata","2",2.7,2.78,0.33,1.47,3,NA,"vitor-gabriel","Vitor Gabriel","V. Gabriel","Vitor Gabriel Claudino Rego Ferreira","https://s.glbimg.com/es/sde/f/2022/03/03/0744b4a85cead311d99a4c1d6d279b39_FORMATO.png","Juventude",NA,3,2,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",102295,6,275,"ata","6",0,2,0,0,0,NA,"luan-silva","Luan Silva","L. Silva","Luan Silva dos Santos","https://s.glbimg.com/es/sde/f/2022/02/21/5b2d607b7868aa4b0e2f6d3bc4884981_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",103766,6,275,"ata","6",0,3,0,0,0,NA,"gabriel-silva","Gabriel Silva","G. Silva","Gabriel Silva Vieira","https://s.glbimg.com/es/sde/f/2021/04/30/89c3f9a0c359529df91f2489bdd05f2c_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
