,2018,2017,2016,2015,2014
"Jogo sem sofrer gol","5.0","5.0","5.0","5.0","5.0"
"Defesa de pênalti*","7.0","7.0","7.0","7.0","7.0"
"Defesa difícil*","3.0","3.0","3.0","3.0","3.0"
"Roubada de bola","1.5","1.7","1.7","1.7","1.7"
"Gol contra","-5.0","-6.0","-6.0","-6.0","-6.0"
"Cartão vermelho","-5.0","-5.0","-5.0","-5.0","-5.0"
"Cartão amarelo","-2.0","-2.0","-2.0","-2.0","-2.0"
"Gol sofrido*","-2.0","-2.0","-2.0","-2.0","-2.0"
"Falta cometida","-0.5","-0.5","-0.5","-0.5","-0.5"
"Gol","8.0","8.0","8.0","8.0","8.0"
"Assistência","5.0","5.0","5.0","5.0","5.0"
"Finalização na trave","3.0","3.5","3.5","3.5","3.5"
"Finalização defendida","1.2","1.0","1.0","1.0","1.0"
"Finalização para fora","0.8","0.7","0.7","0.7","0.7"
"Falta sofrida","0.5","0.5","0.5","0.5","0.5"
"Pênalti perdido","-4.0","-3.5","-3.5","-3.5","-3.5"
"Impedimento","-0.5","-0.5","-0.5","-0.5","-0.5"
"Passe errado","-0.3","-0.3","-0.3","-0.3","-0.3"
