nome.cbf,nome.cartola,nome.completo,cod.older,cod.2017,id
América - MG,América-MG,America MG,327,327,327
America - RN,Atlético-RN,America RN,200,200,200
Atlético - GO,Atlético-GO,Atletico GO,201,373,373
Atlético - MG,Atlético-MG,Atletico Mineiro,282,282,282
Atlético - PR,Atlético-PR,Atletico Paranaense,293,293,293
Atletico - PR,Atlético-PR,Atletico Paranaense,293,293,293
Avaí - SC,Avaí,Avai FC,202,314,314
Bahia - BA,Bahia,EC Bahia,207,265,265
Botafogo - RJ,Botafogo,Botafogo RJ,263,263,263
Brasiliense,Brasiliense,Brasiliense,203,203,203
Ceará - CE,Ceará-SC,Ceara SC,204,204,204
Ceara SC,Ceará-SC,Ceara SC,204,204,204
Ceara SC,Ceará,Ceara SC,204,204,204
Chapecoense - SC,Chapecoense,Chapecoense,315,315,315
Clube Nautico,Náutico,Clube Nautico,205,205,205
Corinthians - SP,Corinthians,Corinthians SP,264,264,264
Coritiba - PR,Coritiba,Coritiba FC,294,294,294
Criciuma - SC,Criciuma,Criciuma EC,206,206,206
Cruzeiro - MG,Cruzeiro,Cruzeiro EC,283,283,283
Figueirense - SC,Figueirense,Figueirense,316,316,316
Flamengo - RJ,Flamengo,Flamengo RJ,262,262,262
Fluminense - RJ,Fluminense,Fluminense RJ,266,266,266
Fortaleza,Fortaleza,Fortaleza,209,209,209
Goiás - GO,Goiás,Goias EC,210,210,210
Grêmio - RS,Grêmio,Gremio Porto Alegre,284,284,284
Gremio Barueri,Grêmio Barueri,Gremio Barueri,211,211,211
Gremio Prudente,Grêmio Prudente,Gremio Prudente,212,212,212
Guarani FC,Guarani,Guarani FC,213,213,213
Internacional - RS,Internacional,Internacional,285,285,285
Ipatinga FC,Ipatinga,Ipatinga FC,214,214,214
Joinville - SC,Joinville,Joinville EC,215,215,215
Juventude - RS,Juventude,Juventude RS,216,216,216
Paysandu - SC,Paysandu,Paysandu SC,218,218,218
Palmeiras - SP,Palmeiras,SE Palmeiras,275,275,275
Parana Clube,Paraná,Parana Clube,217,217,217
Paraná - PR,Paraná,Parana Clube,217,217,217
Ponte Preta - SP,Ponte Preta,Ponte Preta,303,303,303
Portuguesa,Portuguesa,Portuguesa,219,219,219
Santa Cruz - PE,Santa Cruz,Santa Cruz FC,344,344,344
Santo Andre EC,Santo André,Santo Andre EC,220,220,220
Santos - SP,Santos,Santos FC,277,277,277
São Caetano,São Caetano,São Caetano,221,221,221
São Paulo - SP,São Paulo,Sao Paulo FC,276,276,276
Sport - PE,Sport,Sport Club Recife,292,292,292
Vasco da Gama - RJ,Vasco,Vasco da Gama,221,267,267
Vitória - BA,Vitória,EC Vitoria BA,287,287,287
