"","game","round","date","home_team","score","away_team","arena","X"
"1","1","1","09/05/2015 - 18:30","Palmeiras - SP","2 x 2","Atlético - MG","Allianz Parque - Sao Paulo - SP",""
"2","2","1","09/05/2015 - 18:30","Chapecoense - SC","2 x 1","Coritiba - PR","Arena Condá - Chapeco - SC",""
"3","3","1","09/05/2015 - 21:00","Fluminense - RJ","1 x 0","Joinville - SC","Maracanã - Rio de Janeiro - RJ",""
"4","4","1","10/05/2015 - 16:00","São Paulo - SP","2 x 1","Flamengo - RJ","Morumbi - Sao Paulo - SP",""
"5","5","1","10/05/2015 - 16:00","Cruzeiro - MG","0 x 1","Corinthians - SP","Arena Pantanal - Cuiaba - MT",""
"6","6","1","10/05/2015 - 16:00","Atlético - PR","3 x 0","Internacional - RS","Arena da Baixada - Curitiba - PR",""
"7","7","1","10/05/2015 - 16:00","Sport - PE","4 x 1","Figueirense - SC","Ilha do Retiro - Recife - PE",""
"8","8","1","10/05/2015 - 18:30","Vasco da Gama - RJ","0 x 0","Goiás - GO","São Januário - Rio de Janeiro - RJ",""
"9","9","1","10/05/2015 - 11:00","Grêmio - RS","3 x 3","Ponte Preta - SP","Arena do Grêmio - Porto Alegre - RS",""
"10","10","1","10/05/2015 - 18:30","Avaí - SC","1 x 1","Santos - SP","Ressacada - Florianopolis - SC",""
"11","11","2","16/05/2015 - 18:30","Coritiba - PR","2 x 0","Grêmio - RS","Couto Pereira - Curitiba - PR",""
"12","12","2","16/05/2015 - 18:30","Goiás - GO","2 x 0","Atlético - PR","Serra Dourada - Goiania - GO",""
"13","13","2","16/05/2015 - 21:00","Corinthians - SP","1 x 0","Chapecoense - SC","Fonte Luminosa - Araraquara - SP",""
"14","14","2","17/05/2015 - 16:00","Flamengo - RJ","2 x 2","Sport - PE","Maracanã - Rio de Janeiro - RJ",""
"15","15","2","17/05/2015 - 16:00","Santos - SP","1 x 0","Cruzeiro - MG","Vila Belmiro - Santos - SP",""
"16","16","2","17/05/2015 - 16:00","Atlético - MG","4 x 1","Fluminense - RJ","Mané Garrincha - Brasilia - DF",""
"17","17","2","17/05/2015 - 18:30","Joinville - SC","0 x 0","Palmeiras - SP","Arena Joinville - Joinville - SC",""
"18","18","2","17/05/2015 - 18:30","Ponte Preta - SP","1 x 0","São Paulo - SP","Moisés Lucarelli - Campinas - SP",""
"19","19","2","17/05/2015 - 18:30","Internacional - RS","1 x 0","Avaí - SC","Beira-Rio - Porto Alegre - RS",""
"20","20","2","17/05/2015 - 11:00","Figueirense - SC","0 x 0","Vasco da Gama - RJ","Orlando Scarpelli - Florianopolis - SC",""
"21","21","3","23/05/2015 - 18:30","São Paulo - SP","3 x 0","Joinville - SC","Morumbi - Sao Paulo - SP",""
"22","22","3","23/05/2015 - 18:30","Vasco da Gama - RJ","1 x 1","Internacional - RS","São Januário - Rio de Janeiro - RJ",""
"23","23","3","23/05/2015 - 21:00","Grêmio - RS","1 x 0","Figueirense - SC","Arena do Grêmio - Porto Alegre - RS",""
"24","24","3","24/05/2015 - 16:00","Fluminense - RJ","0 x 0","Corinthians - SP","Maracanã - Rio de Janeiro - RJ",""
"25","25","3","24/05/2015 - 16:00","Avaí - SC","2 x 1","Flamengo - RJ","Ressacada - Florianopolis - SC",""
"26","26","3","24/05/2015 - 16:00","Atlético - PR","1 x 0","Atlético - MG","Arena da Baixada - Curitiba - PR",""
"27","27","3","24/05/2015 - 16:00","Chapecoense - SC","1 x 0","Santos - SP","Arena Condá - Chapeco - SC",""
"28","28","3","24/05/2015 - 11:00","Palmeiras - SP","0 x 1","Goiás - GO","Allianz Parque - Sao Paulo - SP",""
"29","29","3","24/05/2015 - 18:30","Cruzeiro - MG","1 x 1","Ponte Preta - SP","Mineirão - Belo Horizonte - MG",""
"30","30","3","24/05/2015 - 18:30","Sport - PE","1 x 0","Coritiba - PR","Ilha do Retiro - Recife - PE",""
