Rodada,Atleta,Apelido,Clube,Posicao,Status,Pontos,PontosMedia,Preco,PrecoVariacao,Mando,TimeCasa,TimeVisitante,PartidaData,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
28,77773,Vilches,293,3,7,0.1,2.34,7.08,-0.6,False,293,303,27/09/2015,8.0,20.0,NA,NA,1.0,2.0,1.0,NA,NA,8.0,10.0,NA,2.0,NA,3.0,NA,NA,NA
28,78445,Renê,292,2,7,-2.1,3.51,7.07,-0.47,False,292,315,27/09/2015,25.0,120.0,3.0,NA,3.0,3.0,1.0,NA,NA,48.0,30.0,1.0,8.0,NA,7.0,NA,NA,NA
28,37958,Felipe,316,1,6,0.0,-3.1,7.07,0.0,False,316,264,27/09/2015,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,4.0
28,82469,Douglas Coutinho ,293,5,5,0.0,1.64,7.05,0.0,False,293,303,27/09/2015,3.0,22.0,NA,NA,6.0,3.0,2.0,7.0,NA,5.0,8.0,NA,1.0,NA,NA,NA,NA,NA
28,68974,Marcão,316,5,7,2.9,1.06,7.04,0.53,False,316,264,27/09/2015,20.0,21.0,NA,NA,8.0,7.0,2.0,11.0,NA,9.0,28.0,NA,4.0,NA,NA,NA,NA,NA
28,83189,Riascos,267,5,6,0.0,2.24,7.03,0.0,True,262,267,27/09/2015,21.0,28.0,NA,NA,7.0,17.0,3.0,6.0,NA,9.0,17.0,NA,3.0,NA,NA,NA,NA,NA
28,73515,Gabriel,262,4,6,0.0,1.97,7.03,0.0,False,262,267,27/09/2015,11.0,24.0,1.0,NA,6.0,3.0,2.0,2.0,NA,3.0,8.0,NA,NA,NA,NA,NA,NA,NA
28,79887,Fabiano,283,2,6,17.0,3.42,7.01,3.04,False,283,294,27/09/2015,1.0,8.0,NA,NA,NA,NA,1.0,1.0,NA,7.0,4.0,NA,NA,NA,1.0,NA,NA,NA
28,84679,Emanuel Biancucchi,267,4,6,0.0,1.42,6.97,0.0,True,262,267,27/09/2015,9.0,10.0,NA,NA,2.0,3.0,1.0,NA,NA,2.0,9.0,NA,2.0,NA,NA,NA,NA,NA
28,60784,Rafael Carioca,282,4,7,1.4,2.49,6.96,-1.04,True,317,282,27/09/2015,34.0,56.0,1.0,NA,2.0,6.0,NA,NA,NA,35.0,15.0,NA,3.0,NA,NA,NA,NA,NA
28,73806,Samuel ,292,5,6,0.0,0.51,6.94,0.0,False,292,315,27/09/2015,5.0,14.0,NA,NA,3.0,4.0,NA,1.0,NA,5.0,7.0,NA,1.0,NA,NA,NA,NA,NA
28,37604,Paulo André,283,3,7,4.1,1.28,6.93,0.83,False,283,294,27/09/2015,5.0,30.0,NA,NA,3.0,1.0,NA,1.0,NA,8.0,9.0,NA,4.0,NA,4.0,NA,NA,NA
28,82896,Alisson,285,1,7,0.7,4.33,6.93,-0.02,True,277,285,27/09/2015,NA,8.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,2.0,NA,9.0,21.0,NA,16.0
28,37306,Gilson Kleina,314,6,7,4.39,2.35,6.92,0.07,True,284,314,26/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,85211,Thalles,267,5,6,0.0,0.34,6.85,0.0,True,262,267,27/09/2015,7.0,3.0,NA,NA,NA,3.0,NA,NA,NA,2.0,4.0,NA,1.0,NA,NA,NA,NA,NA
28,87586,Thiago Santana,316,5,6,9.3,2.55,6.8,1.95,False,316,264,27/09/2015,18.0,22.0,1.0,NA,6.0,4.0,4.0,9.0,NA,3.0,16.0,NA,NA,NA,NA,NA,NA,NA
28,72084,França,316,4,6,0.0,-3.3,6.78,0.0,False,316,264,27/09/2015,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,1.0,NA,NA,NA,NA,NA
28,38247,William,314,5,5,0.0,1.86,6.76,0.0,True,284,314,26/09/2015,11.0,5.0,NA,1.0,2.0,2.0,1.0,3.0,1.0,3.0,8.0,NA,1.0,NA,NA,NA,NA,NA
28,63020,Tinga,314,4,6,4.0,2.06,6.72,1.08,True,284,314,26/09/2015,26.0,23.0,NA,1.0,NA,3.0,NA,NA,NA,16.0,16.0,NA,1.0,NA,NA,NA,NA,NA
28,73384,Samuel Xavier,292,2,6,0.0,1.95,6.71,0.0,False,292,315,27/09/2015,20.0,59.0,1.0,NA,NA,3.0,1.0,NA,NA,21.0,18.0,2.0,4.0,1.0,6.0,NA,NA,NA
28,50462,Leandro Almeida,275,3,6,0.0,-0.05,4.57,0.0,True,276,275,27/09/2015,4.0,29.0,NA,NA,3.0,3.0,NA,2.0,NA,10.0,34.0,NA,4.0,1.0,3.0,NA,NA,NA
28,73876,Jomar,267,3,6,1.4,6.37,4.55,-0.59,True,262,267,27/09/2015,8.0,12.0,NA,NA,1.0,2.0,NA,NA,NA,11.0,2.0,NA,NA,NA,1.0,NA,NA,NA
28,63110,Alan Ruschel,293,2,5,0.0,2.47,4.52,0.0,False,293,303,27/09/2015,19.0,13.0,1.0,NA,NA,NA,NA,1.0,NA,6.0,13.0,NA,2.0,2.0,3.0,NA,NA,NA
28,60797,Eduardo Neto,314,4,7,5.4,1.35,4.51,0.74,True,284,314,26/09/2015,14.0,51.0,1.0,1.0,7.0,5.0,NA,NA,NA,31.0,35.0,NA,7.0,1.0,NA,NA,NA,NA
28,91388,Rodrigo Ramos,294,2,5,0.0,4.85,4.51,0.0,True,283,294,27/09/2015,6.0,24.0,1.0,NA,NA,1.0,NA,1.0,NA,9.0,11.0,NA,1.0,NA,6.0,NA,NA,NA
28,88850,Marco Damasceno ,293,5,6,0.0,0.7,4.51,0.0,False,293,303,27/09/2015,2.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,68758,Fernandinho,284,5,7,2.8,1.05,4.5,0.5,False,284,314,26/09/2015,20.0,25.0,NA,NA,1.0,2.0,1.0,NA,NA,3.0,5.0,NA,1.0,NA,NA,NA,NA,NA
28,90302,Pedro Rocha,284,5,6,-1.2,2.32,4.47,-0.23,False,284,314,26/09/2015,18.0,44.0,1.0,1.0,11.0,14.0,5.0,17.0,NA,7.0,14.0,NA,3.0,NA,NA,NA,NA,NA
28,79947,Marion,317,5,6,-1.6,1.43,4.46,-0.22,False,317,282,27/09/2015,11.0,18.0,NA,2.0,2.0,5.0,NA,2.0,NA,10.0,14.0,NA,3.0,NA,NA,NA,NA,NA
28,79400,Néstor Camacho,314,4,5,0.0,4.23,4.38,0.0,True,284,314,26/09/2015,5.0,18.0,3.0,1.0,4.0,9.0,1.0,4.0,NA,NA,9.0,NA,1.0,NA,NA,NA,NA,NA
28,62056,Kempes,317,5,6,0.0,1.55,4.36,0.0,False,317,282,27/09/2015,12.0,32.0,NA,NA,7.0,12.0,4.0,10.0,NA,14.0,44.0,NA,4.0,NA,NA,NA,NA,NA
28,80576,Renato,317,4,5,0.0,1.15,4.36,0.0,False,317,282,27/09/2015,3.0,2.0,NA,NA,1.0,1.0,NA,NA,NA,1.0,4.0,NA,NA,NA,NA,NA,NA,NA
28,82787,Joel,283,5,5,0.0,0.67,4.33,0.0,False,283,294,27/09/2015,5.0,7.0,NA,NA,1.0,3.0,1.0,4.0,NA,1.0,5.0,NA,1.0,NA,NA,NA,NA,NA
28,90917,Carlos ,290,5,6,0.0,2.6,4.33,0.0,True,266,290,26/09/2015,10.0,12.0,1.0,NA,1.0,4.0,2.0,4.0,NA,8.0,9.0,NA,1.0,NA,NA,NA,NA,NA
28,80400,Rafinha,266,4,5,0.0,3.37,4.32,0.0,False,266,290,26/09/2015,2.0,3.0,NA,NA,2.0,NA,NA,NA,NA,5.0,1.0,NA,NA,NA,NA,NA,NA,NA
28,89342,Caju,277,2,6,0.0,0.8,4.32,0.0,False,277,285,27/09/2015,4.0,3.0,NA,NA,NA,NA,NA,NA,NA,3.0,2.0,NA,1.0,NA,NA,NA,NA,NA
28,38178,Roberto,314,5,6,0.0,1.08,4.29,0.0,True,284,314,26/09/2015,16.0,35.0,1.0,1.0,2.0,7.0,1.0,2.0,NA,6.0,12.0,NA,4.0,NA,NA,NA,NA,NA
28,51293,Wanderson,315,4,6,0.0,-0.2,4.28,0.0,True,292,315,27/09/2015,NA,2.0,NA,NA,NA,NA,NA,NA,NA,4.0,6.0,NA,2.0,NA,NA,NA,NA,NA
28,86943,Liniker,290,4,6,1.1,3.59,4.28,0.19,True,266,290,26/09/2015,27.0,18.0,2.0,1.0,9.0,9.0,1.0,2.0,NA,10.0,14.0,NA,NA,NA,NA,NA,NA,NA
28,53189,Alexandro,303,5,6,-3.7,1.13,4.28,-2.2,True,293,303,27/09/2015,2.0,6.0,NA,NA,NA,NA,1.0,2.0,NA,1.0,5.0,NA,1.0,NA,NA,NA,NA,NA
28,86485,Keno,303,5,6,0.0,0.76,1.21,-0.11,True,293,303,27/09/2015,5.0,8.0,NA,NA,3.0,1.0,NA,2.0,NA,3.0,2.0,NA,NA,NA,NA,NA,NA,NA
28,77777,João Schmidt ,276,4,6,-0.9,-0.35,1.17,-0.09,False,276,275,27/09/2015,2.0,11.0,NA,NA,NA,NA,NA,NA,NA,2.0,5.0,NA,NA,NA,NA,NA,NA,NA
28,86618,Vitor Xavier,303,5,6,0.0,0.55,1.16,0.0,True,293,303,27/09/2015,1.0,13.0,NA,NA,1.0,NA,NA,NA,NA,5.0,6.0,NA,1.0,NA,NA,NA,NA,NA
28,68922,Fabrício,317,4,6,0.0,-1.31,1.09,0.0,False,317,282,27/09/2015,6.0,22.0,NA,NA,2.0,1.0,NA,NA,NA,3.0,16.0,NA,4.0,NA,NA,NA,NA,NA
28,82510,Romarinho,267,5,6,0.0,1.2,1.05,0.0,True,262,267,27/09/2015,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,87393,Gabriel,282,3,6,0.0,0.0,1.0,0.0,True,317,282,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,85418,Uilson,282,1,6,0.0,0.0,1.0,0.0,True,317,282,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,87229,Donato,282,3,6,0.0,0.0,1.0,0.0,True,317,282,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,91156,Jesiel,282,3,6,0.0,0.0,1.0,0.0,True,317,282,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,87268,Philipe Maia,314,3,6,0.0,0.0,1.0,0.0,True,284,314,26/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,82791,Toshi,314,4,6,0.0,0.0,1.0,0.0,True,284,314,26/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,81094,Vitor,314,1,6,0.0,0.0,1.0,0.0,True,284,314,26/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,40130,Silvio,315,1,6,0.0,0.0,1.0,0.0,True,292,315,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,71601,João Paulo,315,1,6,0.0,0.0,1.0,0.0,True,292,315,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,91099,Willian ,315,1,6,0.0,0.0,1.0,0.0,True,292,315,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,90939,Wesley,315,2,6,0.0,0.0,1.0,0.0,True,292,315,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,90290,Jajá,315,4,6,0.0,0.0,1.0,0.0,True,292,315,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,90291,Pedro,315,2,6,0.0,0.0,1.0,0.0,True,292,315,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,80286,Matheus Vidotto,264,1,6,0.0,0.0,1.0,0.0,True,316,264,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,91509,Rodrigo Sam,264,3,6,0.0,0.0,1.0,0.0,True,316,264,27/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,62069,Maikon Leite,292,5,7,0.5,3.33,7.45,0.14,False,292,315,27/09/2015,15.0,41.0,2.0,1.0,10.0,14.0,3.0,3.0,NA,6.0,9.0,NA,NA,NA,NA,NA,NA,NA
28,89275,William,285,2,7,1.8,5.28,7.44,0.05,True,277,285,27/09/2015,20.0,59.0,1.0,NA,1.0,1.0,NA,NA,NA,40.0,28.0,NA,4.0,NA,10.0,NA,NA,NA
28,68954,Marquinhos Gabriel,277,4,7,-2.4,2.66,7.44,-2.73,False,277,285,27/09/2015,24.0,42.0,2.0,NA,2.0,8.0,1.0,5.0,NA,24.0,13.0,NA,2.0,1.0,NA,NA,NA,NA
28,38194,Antônio Carlos,266,3,6,0.0,1.78,7.44,0.0,False,266,290,26/09/2015,10.0,31.0,NA,NA,2.0,1.0,NA,4.0,NA,14.0,8.0,NA,3.0,1.0,5.0,NA,NA,NA
28,81770,Clayton,316,5,7,0.2,2.3,7.43,-0.29,False,316,264,27/09/2015,25.0,57.0,4.0,NA,7.0,13.0,3.0,17.0,NA,11.0,23.0,NA,4.0,1.0,NA,NA,NA,NA
28,87399,Mário Sérgio,317,2,7,2.8,3.85,7.42,1.15,False,317,282,27/09/2015,19.0,61.0,NA,NA,2.0,7.0,1.0,NA,NA,30.0,33.0,NA,5.0,NA,7.0,NA,NA,NA
28,38311,Márcio Araújo,262,4,7,3.1,1.76,7.32,0.08,False,262,267,27/09/2015,33.0,46.0,NA,NA,NA,6.0,NA,NA,NA,28.0,20.0,NA,3.0,NA,NA,NA,NA,NA
28,80853,Pedro Geromel,284,3,5,0.0,2.98,7.3,0.0,False,284,314,26/09/2015,15.0,38.0,NA,1.0,NA,4.0,NA,4.0,NA,25.0,19.0,NA,4.0,NA,8.0,NA,NA,NA
28,50880,Keirrison,294,5,5,0.0,-0.4,7.29,0.0,True,283,294,27/09/2015,NA,3.0,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA
28,77529,Leandro Silva,316,2,7,5.1,2.47,7.26,1.5,False,316,264,27/09/2015,14.0,75.0,1.0,NA,NA,5.0,NA,NA,NA,47.0,38.0,NA,6.0,1.0,3.0,NA,NA,NA
28,79826,Douglas Santos,282,2,7,2.9,2.7,7.24,-0.48,True,317,282,27/09/2015,9.0,59.0,2.0,NA,2.0,9.0,NA,1.0,NA,21.0,27.0,NA,4.0,NA,7.0,NA,NA,NA
28,82306,Douglas Silva,317,3,6,0.0,3.97,7.23,0.0,False,317,282,27/09/2015,9.0,13.0,NA,NA,1.0,NA,NA,NA,NA,16.0,10.0,NA,1.0,NA,2.0,NA,NA,NA
28,62004,Bruno Aguiar,317,3,7,0.0,3.5,7.19,0.0,False,317,282,27/09/2015,10.0,19.0,NA,NA,1.0,4.0,2.0,1.0,NA,10.0,17.0,NA,3.0,NA,7.0,NA,NA,NA
28,73465,Luccas Claro,294,3,6,0.0,3.07,7.16,0.0,True,283,294,27/09/2015,10.0,35.0,NA,NA,3.0,2.0,NA,1.0,NA,23.0,13.0,NA,5.0,NA,5.0,NA,NA,NA
28,50402,Kayke,262,5,6,0.0,4.63,7.15,0.17,False,262,267,27/09/2015,1.0,22.0,2.0,NA,6.0,5.0,4.0,5.0,NA,3.0,14.0,NA,2.0,NA,NA,NA,NA,NA
28,60794,Pablo,314,2,6,0.5,2.07,7.13,-0.18,True,284,314,26/09/2015,44.0,55.0,NA,NA,3.0,5.0,NA,2.0,NA,18.0,18.0,NA,2.0,NA,3.0,NA,NA,NA
28,51683,Bruno Rangel,315,5,7,-0.5,4.79,7.12,-1.58,True,292,315,27/09/2015,7.0,9.0,NA,1.0,4.0,12.0,8.0,6.0,NA,5.0,15.0,NA,1.0,NA,NA,NA,NA,NA
28,63283,Esquerdinha,294,4,6,0.0,2.87,7.11,0.0,True,283,294,27/09/2015,22.0,34.0,2.0,NA,4.0,3.0,NA,1.0,NA,13.0,4.0,NA,1.0,NA,NA,NA,NA,NA
28,78497,Arnaldo,317,2,6,0.0,5.4,7.1,0.0,False,317,282,27/09/2015,3.0,11.0,NA,NA,NA,NA,NA,NA,NA,5.0,1.0,NA,NA,NA,2.0,NA,NA,NA
28,49674,Fabrício,283,2,7,2.7,0.27,7.09,0.88,False,283,294,27/09/2015,17.0,54.0,NA,NA,4.0,2.0,NA,2.0,NA,12.0,22.0,NA,6.0,1.0,3.0,NA,NA,NA
28,73863,Claudinei,314,4,6,0.0,-1.0,3.43,0.0,True,284,314,26/09/2015,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,NA
28,81612,Fernando Viana,317,5,6,0.9,0.4,3.42,-0.1,False,317,282,27/09/2015,2.0,4.0,NA,NA,3.0,2.0,NA,2.0,NA,2.0,10.0,NA,NA,NA,NA,NA,NA,NA
