"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FS","PE","RB","SG","FC","CA","DD","GS","FF","FD","I","G","A","CV","PP","FT","DP"
"1","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2016/05/02/8b88360e89cd66c3cfb3466ac323d860_FORMATO.png",37306,1,294,"tec","Provável",0,6.79,2.79,5.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Juan Silveira dos Santos","Juan","https://s.glbimg.com/es/sde/f/2016/04/20/cac9ebd94cc82a0b98f4055f9667d4e6_FORMATO.png",36540,1,262,"zag","Provável",0,13.75,6.75,11.7,1,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Leandro Domingues Barbosa","Leandro Domingues","https://s.glbimg.com/es/sde/f/2016/05/01/229b055bfda96bb451ff23fa36f34c4e_FORMATO.png",39144,1,287,"mei","Provável",0,4.56,-2.44,-0.8,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2016/05/09/245b6785a7c26b5b1c667315f40b3768_FORMATO.png",37604,1,293,"zag","Dúvida",0,0.74,-4.26,-4.3,1,2,6,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Muricy Ramalho","Muricy Ramalho","https://s.glbimg.com/es/sde/f/2016/04/20/3a92967b813f5e1ac0479ba51f910170_FORMATO.png",36934,1,262,"tec","Provável",0,12.98,1.98,6.65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Leonardo José Aparecido de Moura","Leonardo","https://s.glbimg.com/es/sde/f/2016/05/01/17c90d261be180237a80821b235423f3_FORMATO.jpeg",36591,1,344,"zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Tiago Cardoso dos Santos","Tiago Cardoso","https://s.glbimg.com/es/sde/f/2016/05/01/ae7159c592fbc29db5bbfe03c9abb68e_FORMATO.png",37601,1,344,"gol","Provável",0,6.25,-2.75,-0.5,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Paulo Autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2016/05/02/b2a269f29451119f2d3811442679dc7a_FORMATO.png",36943,1,293,"tec","Provável",0,4.69,-3.31,-1.62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/c6897c70d68e2827f58c99a251df8b57_FORMATO.png",36940,1,292,"tec","Provável",0,6.32,-0.68,1.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2016/05/01/ba32976a24a9a6f813303a9bcd016693_FORMATO.png",36612,1,275,"mei","Nulo",0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Augusto Sérgio Ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2016/05/09/40a1918975b6b4d85241f5fcfde659b3_FORMATO.png",37245,1,315,"tec","Provável",0,6.53,0.53,2.88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2016/05/01/d9abb78626aaa013bb379d82f2084409_FORMATO.png",37607,1,276,"mei","Nulo",0,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2016/04/28/ef1d2a5ff504e9d69923adec9d7edfe3_FORMATO.png",37608,1,264,"mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Dagoberto Pelentier","Dagoberto","https://s.glbimg.com/es/sde/f/2016/05/01/959bce7e4083d35acad0cf216886af9b_FORMATO.png",37613,1,287,"ata","Nulo",0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2016/04/29/d67882f35767ba55ac29318622b2d920_FORMATO.png",37656,1,283,"gol","Provável",0,13.75,4.75,9.7,1,NA,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2016/04/29/505bb95d4110ddb7f27fe3607bdc1e3d_FORMATO.png",37655,1,316,"ata","Provável",0,5.74,-2.26,-0.2,1,2,3,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"17","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2016/05/01/652eaba0da463e14e3f20b2102573e34_FORMATO.png",37657,1,275,"zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Lauro Júnior Batista da Cruz","Lauro","https://s.glbimg.com/es/sde/f/2016/05/09/249e731821db5544fc0c4fb41a95db56_FORMATO.jpeg",37659,1,282,"gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2016/04/29/342b9727e7f297bb78896cf41975a0af_FORMATO.png",37662,1,266,"lat","Provável",0,9.12,1.12,4.4,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2016/05/01/53dd91d3137e6a81cfc9afbf8cdaf283_FORMATO.png",37673,1,275,"ata","Provável",0,10.07,-2.93,0.7,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"21","Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2016/04/29/6d844ecf2e201d5ccaf0120e89a2a63f_FORMATO.png",37652,1,316,"mei","Contundido",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Magno Alves de Araújo","Magno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/c7b7baa7ccfa38f9c782090e8e24b49c_FORMATO.png",36650,1,266,"ata","Nulo",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2016/04/28/73fd5c42810ee2f6303956f06682f35e_FORMATO.png",37705,1,294,"mei","Nulo",0,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2016/05/01/1c67e891759a1d905e98b60faab6c0d8_FORMATO.png",37718,1,275,"mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2016/05/01/25183d41515e2ce759f2ba9f81973c85_FORMATO.jpeg",37701,1,344,"lat","Provável",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
